# 江西省 电信 IPTV直播源
# 生成时间: 2025-06-21 14:02:21
# 频道数量: 104
# 格式: 频道名,直播地址
CCTV1综合,http://live.gdtv.cn/live132/index.m3u8
CCTV2财经,http://live.cctv.cn/cctv10hd/index.m3u8
CCTV3综艺,http://cctv13.live.cctv.cn/cctv12hd/index.m3u8
CCTV4中文国际,http://live.hunantv.com/hdtv75/index.m3u8
CCTV5体育,http://live.cctv.cn/cctv12hd/index.m3u8
CCTV5+体育赛事,http://cctv13.live.cctv.cn/live694/index.m3u8
CCTV6电影,http://cctv13.live.cctv.cn/live271/index.m3u8
CCTV7国防军事,http://live.cctv.cn/hdtv31/index.m3u8
CCTV8电视剧,http://cctv1.live.cctv.cn/cctv1hd/index.m3u8
CCTV9纪录,http://cctv1.live.cctv.cn/hdtv52/index.m3u8
CCTV10科教,http://cctv13.live.cctv.cn/cctv1hd/index.m3u8
CCTV11戏曲,http://cctv1.live.cctv.cn/hd16/index.m3u8
CCTV12社会与法,http://cctv13.live.cctv.cn/hdtv79/index.m3u8
CCTV13新闻,http://live.hunantv.com/cctv5hd/index.m3u8
CCTV14少儿,http://live.gdtv.cn/live710/index.m3u8
CCTV15音乐,http://cctv1.live.cctv.cn/cctv1hd/index.m3u8
CCTV16奥林匹克,http://cctv13.live.cctv.cn/hd34/index.m3u8
CCTV17农业农村,http://live.cctv.cn/cctv9hd/index.m3u8
湖南卫视,rtp://239.45.1.81:9000
浙江卫视,rtp://239.253.92.163:8000
江苏卫视,rtp://239.45.1.242:8000
东方卫视,rtp://239.20.0.232:1234
北京卫视,rtp://239.20.0.105:1234
广东卫视,rtp://239.253.92.74:9000
深圳卫视,rtp://239.20.0.86:9901
山东卫视,rtp://239.45.1.11:9001
天津卫视,http://live.gdtv.cn/hdtv57/index.m3u8
辽宁卫视,rtp://239.45.1.18:9901
黑龙江卫视,rtp://239.253.92.212:9000
安徽卫视,rtp://239.45.1.46:8000
河北卫视,rtp://239.20.0.45:8080
河南卫视,rtp://239.20.0.22:8080
湖北卫视,rtp://239.45.1.110:9000
江西卫视,rtp://239.253.92.17:9001
福建卫视,rtp://239.45.1.38:9000
四川卫视,rtp://239.20.0.60:1234
重庆卫视,rtp://239.253.92.227:9001
贵州卫视,http://live.hunantv.com/hdtv72/index.m3u8
云南卫视,rtp://239.45.1.19:9000
广西卫视,rtp://239.20.0.98:8080
海南卫视,http://live.cctv.cn/live674/index.m3u8
山西卫视,rtp://239.253.92.246:8080
陕西卫视,rtp://239.20.0.71:8080
甘肃卫视,rtp://239.20.0.1:8000
青海卫视,http://live.cctv.cn/hd39/index.m3u8
宁夏卫视,rtp://239.253.92.101:8080
新疆卫视,rtp://239.45.1.220:8080
西藏卫视,rtp://239.45.1.131:9000
内蒙古卫视,rtp://239.253.92.244:8000
吉林卫视,rtp://239.45.1.50:9901
江西新闻,http://cctv13.live.cctv.cn/hd24/index.m3u8
