# 江西省 移动 IPTV直播源
# 生成时间: 2025-06-21 14:02:21
# 频道数量: 104
# 格式: 频道名,直播地址
CCTV1综合,http://live.hunantv.com/hd29/index.m3u8
CCTV2财经,http://live.hunantv.com/hd28/index.m3u8
CCTV3综艺,http://live.hunantv.com/live842/index.m3u8
CCTV4中文国际,http://live.cctv.cn/hdtv24/index.m3u8
CCTV5体育,http://live.gdtv.cn/hd16/index.m3u8
CCTV5+体育赛事,http://cctv13.live.cctv.cn/live553/index.m3u8
CCTV6电影,http://live.hunantv.com/cctv12hd/index.m3u8
CCTV7国防军事,http://live.gdtv.cn/live180/index.m3u8
CCTV8电视剧,http://cctv1.live.cctv.cn/hdtv61/index.m3u8
CCTV9纪录,http://cctv13.live.cctv.cn/hd18/index.m3u8
CCTV10科教,http://cctv13.live.cctv.cn/live780/index.m3u8
CCTV11戏曲,http://cctv1.live.cctv.cn/hdtv12/index.m3u8
CCTV12社会与法,http://cctv1.live.cctv.cn/live790/index.m3u8
CCTV13新闻,http://live.hunantv.com/hd32/index.m3u8
CCTV14少儿,http://cctv1.live.cctv.cn/live315/index.m3u8
CCTV15音乐,http://live.cctv.cn/cctv4hd/index.m3u8
CCTV16奥林匹克,http://cctv1.live.cctv.cn/live776/index.m3u8
CCTV17农业农村,http://live.hunantv.com/cctv16hd/index.m3u8
湖南卫视,rtp://239.45.1.18:9901
浙江卫视,http://cctv1.live.cctv.cn/cctv9hd/index.m3u8
江苏卫视,rtp://239.20.0.108:8000
东方卫视,rtp://239.45.1.252:5140
北京卫视,rtp://239.20.0.214:9001
广东卫视,rtp://239.20.0.65:5140
深圳卫视,rtp://239.253.92.37:8080
山东卫视,http://live.hunantv.com/live140/index.m3u8
天津卫视,rtp://239.253.92.7:9000
辽宁卫视,rtp://239.20.0.179:5140
黑龙江卫视,rtp://239.45.1.93:9000
安徽卫视,rtp://239.45.1.5:9001
河北卫视,rtp://239.253.92.244:9901
河南卫视,rtp://239.253.92.63:1234
湖北卫视,rtp://239.253.92.182:9000
江西卫视,rtp://239.20.0.113:8000
福建卫视,http://live.hunantv.com/hd15/index.m3u8
四川卫视,rtp://239.45.1.175:8000
重庆卫视,rtp://239.253.92.242:9000
贵州卫视,rtp://239.253.92.25:9901
云南卫视,rtp://239.253.92.71:5140
广西卫视,rtp://239.45.1.208:5140
海南卫视,rtp://239.253.92.225:8000
山西卫视,rtp://239.45.1.17:9000
陕西卫视,rtp://239.253.92.216:9000
甘肃卫视,http://cctv1.live.cctv.cn/live859/index.m3u8
青海卫视,http://cctv1.live.cctv.cn/live349/index.m3u8
宁夏卫视,rtp://239.20.0.160:9001
新疆卫视,rtp://239.45.1.188:5140
西藏卫视,rtp://239.45.1.65:8080
内蒙古卫视,rtp://239.253.92.24:8000
吉林卫视,rtp://239.45.1.100:8000
江西新闻,rtp://239.253.92.98:8000
江西都市,rtp://239.253.92.10:8000
