# 江西省 联通 IPTV直播源
# 生成时间: 2025-06-21 14:02:21
# 频道数量: 104
# 格式: 频道名,直播地址
CCTV1综合,http://live.hunantv.com/cctv16hd/index.m3u8
CCTV2财经,http://cctv1.live.cctv.cn/hdtv42/index.m3u8
CCTV3综艺,http://live.gdtv.cn/hdtv75/index.m3u8
CCTV4中文国际,http://live.gdtv.cn/live452/index.m3u8
CCTV5体育,http://cctv1.live.cctv.cn/cctv17hd/index.m3u8
CCTV5+体育赛事,http://live.cctv.cn/cctv5hd/index.m3u8
CCTV6电影,http://live.gdtv.cn/hd15/index.m3u8
CCTV7国防军事,http://live.gdtv.cn/live822/index.m3u8
CCTV8电视剧,http://live.hunantv.com/cctv8hd/index.m3u8
CCTV9纪录,http://cctv1.live.cctv.cn/live512/index.m3u8
CCTV10科教,http://live.gdtv.cn/hd37/index.m3u8
CCTV11戏曲,http://live.gdtv.cn/live156/index.m3u8
CCTV12社会与法,http://cctv13.live.cctv.cn/cctv15hd/index.m3u8
CCTV13新闻,http://live.cctv.cn/hdtv51/index.m3u8
CCTV14少儿,http://live.cctv.cn/hd47/index.m3u8
CCTV15音乐,http://live.hunantv.com/cctv11hd/index.m3u8
CCTV16奥林匹克,http://live.hunantv.com/live320/index.m3u8
CCTV17农业农村,http://live.cctv.cn/cctv8hd/index.m3u8
湖南卫视,rtp://239.20.0.253:5140
浙江卫视,rtp://239.20.0.45:5140
江苏卫视,rtp://239.20.0.238:8080
东方卫视,rtp://239.20.0.154:9901
北京卫视,http://live.gdtv.cn/hdtv79/index.m3u8
广东卫视,rtp://239.253.92.254:8000
深圳卫视,rtp://239.253.92.86:8000
山东卫视,rtp://239.253.92.87:8080
天津卫视,rtp://239.45.1.213:5140
辽宁卫视,rtp://239.20.0.83:9001
黑龙江卫视,rtp://239.253.92.34:8000
安徽卫视,rtp://239.45.1.76:1234
河北卫视,http://live.hunantv.com/hdtv54/index.m3u8
河南卫视,rtp://239.20.0.72:9901
湖北卫视,http://live.cctv.cn/live559/index.m3u8
江西卫视,http://live.cctv.cn/cctv4hd/index.m3u8
福建卫视,rtp://239.253.92.208:8000
四川卫视,http://live.gdtv.cn/hdtv74/index.m3u8
重庆卫视,rtp://239.253.92.172:1234
贵州卫视,rtp://239.45.1.110:8080
云南卫视,rtp://239.253.92.73:9000
广西卫视,rtp://239.45.1.110:9001
海南卫视,rtp://239.20.0.170:9000
山西卫视,rtp://239.20.0.205:9000
陕西卫视,rtp://239.45.1.135:8080
甘肃卫视,rtp://239.45.1.110:9001
青海卫视,rtp://239.20.0.73:9001
宁夏卫视,rtp://239.45.1.171:1234
新疆卫视,rtp://239.45.1.19:5140
西藏卫视,rtp://239.253.92.254:9000
内蒙古卫视,rtp://239.45.1.193:8080
吉林卫视,http://live.gdtv.cn/hd46/index.m3u8
江西新闻,rtp://239.45.1.21:8080
江西都市,http://cctv1.live.cctv.cn/hd30/index.m3u8
江西影视,rtp://239.20.0.185:9901
江西生活,http://cctv13.live.cctv.cn/hd19/index.m3u8
江西经济,http://cctv1.live.cctv.cn/hd15/index.m3u8
江西科教,rtp://239.20.0.103:5140
江西体育,rtp://239.20.0.50:9901
江西公共,rtp://239.45.1.156:8080
CCTV1 4K,http://cctv13.live.cctv.cn/live387/index.m3u8
CCTV4K,http://cctv13.live.cctv.cn/cctv17hd/index.m3u8
北京纪实4K,http://live.cctv.cn/live825/index.m3u8
上海纪实4K,http://live.hunantv.com/hdtv48/index.m3u8
广东4K,http://live.gdtv.cn/hdtv52/index.m3u8
咪咕体育4K,http://cctv1.live.cctv.cn/cctv7hd/index.m3u8
咪咕直播4K,http://live.gdtv.cn/hd1/index.m3u8
纯享4K,http://cctv13.live.cctv.cn/cctv10hd/index.m3u8
爱上4K,http://live.hunantv.com/hdtv12/index.m3u8
欢笑剧场4K,http://cctv1.live.cctv.cn/hdtv71/index.m3u8
CCTV5体育,http://live.cctv.cn/hdtv61/index.m3u8
