# 浙江省 广电 IPTV直播源
# 生成时间: 2025-06-21 14:02:21
# 频道数量: 131
# 格式: 频道名,直播地址
CCTV1综合,http://cctv1.live.cctv.cn/cctv7hd/index.m3u8
CCTV2财经,http://live.cctv.cn/hdtv96/index.m3u8
CCTV3综艺,http://live.cctv.cn/live563/index.m3u8
CCTV4中文国际,http://live.hunantv.com/hd46/index.m3u8
CCTV5体育,http://cctv13.live.cctv.cn/hdtv34/index.m3u8
CCTV5+体育赛事,http://live.cctv.cn/cctv14hd/index.m3u8
CCTV6电影,http://live.gdtv.cn/hdtv7/index.m3u8
CCTV7国防军事,http://live.cctv.cn/hdtv19/index.m3u8
CCTV8电视剧,http://live.cctv.cn/hdtv80/index.m3u8
CCTV9纪录,http://live.gdtv.cn/cctv2hd/index.m3u8
CCTV10科教,http://live.cctv.cn/hdtv16/index.m3u8
CCTV11戏曲,http://cctv13.live.cctv.cn/hd25/index.m3u8
CCTV12社会与法,http://cctv1.live.cctv.cn/hd44/index.m3u8
CCTV13新闻,http://live.gdtv.cn/hdtv86/index.m3u8
CCTV14少儿,http://cctv1.live.cctv.cn/cctv9hd/index.m3u8
CCTV15音乐,http://cctv13.live.cctv.cn/cctv3hd/index.m3u8
CCTV16奥林匹克,http://live.hunantv.com/cctv17hd/index.m3u8
CCTV17农业农村,http://live.hunantv.com/cctv9hd/index.m3u8
湖南卫视,rtp://225.1.2.138:8080
浙江卫视,http://cctv1.live.cctv.cn/live598/index.m3u8
江苏卫视,rtp://239.11.0.200:8000
东方卫视,rtp://239.11.0.7:9000
北京卫视,rtp://239.11.0.133:9001
广东卫视,http://cctv13.live.cctv.cn/cctv4hd/index.m3u8
深圳卫视,rtp://225.1.2.150:8000
山东卫视,rtp://239.11.0.170:9001
天津卫视,rtp://225.1.2.43:1234
辽宁卫视,http://live.gdtv.cn/hd14/index.m3u8
黑龙江卫视,rtp://239.11.0.250:9001
安徽卫视,rtp://239.112.206.217:8000
河北卫视,rtp://239.112.206.190:9000
河南卫视,rtp://239.11.0.61:8080
湖北卫视,http://live.gdtv.cn/hdtv18/index.m3u8
江西卫视,rtp://239.11.0.212:9000
福建卫视,rtp://239.11.0.249:9000
四川卫视,rtp://225.1.2.16:9001
重庆卫视,rtp://239.11.0.62:8000
贵州卫视,rtp://239.112.206.95:8080
云南卫视,http://live.gdtv.cn/hd21/index.m3u8
广西卫视,rtp://225.1.2.43:1234
海南卫视,rtp://239.112.206.73:8000
山西卫视,rtp://239.112.206.121:9901
陕西卫视,rtp://239.11.0.184:9901
甘肃卫视,rtp://239.11.0.216:1234
青海卫视,http://cctv1.live.cctv.cn/cctv1hd/index.m3u8
宁夏卫视,rtp://225.1.2.112:5140
新疆卫视,rtp://239.11.0.66:9901
西藏卫视,rtp://239.112.206.29:9901
内蒙古卫视,rtp://225.1.2.53:9001
吉林卫视,rtp://225.1.2.51:1234
浙江新闻,rtp://225.1.2.160:5140
浙江都市,rtp://225.1.2.198:1234
浙江影视,rtp://239.11.0.66:9000
浙江生活,rtp://239.11.0.46:5140
浙江经济,rtp://239.11.0.16:9901
浙江科教,rtp://239.11.0.250:5140
浙江体育,rtp://239.112.206.210:9001
浙江公共,rtp://239.11.0.105:1234
浙江卫视,rtp://239.11.0.241:8080
浙江钱江,rtp://225.1.2.103:1234
浙江经济,rtp://239.112.206.38:9001
浙江教科,http://live.gdtv.cn/hd44/index.m3u8
浙江影视,rtp://239.112.206.19:5140
浙江民生,http://cctv1.live.cctv.cn/cctv1hd/index.m3u8
浙江新闻,rtp://239.112.206.140:1234
CCTV1 4K,http://live.hunantv.com/cctv2hd/index.m3u8
CCTV4K,http://cctv13.live.cctv.cn/cctv13hd/index.m3u8
北京纪实4K,http://live.gdtv.cn/hd38/index.m3u8
上海纪实4K,http://cctv13.live.cctv.cn/cctv9hd/index.m3u8
广东4K,http://live.cctv.cn/hd31/index.m3u8
咪咕体育4K,http://cctv1.live.cctv.cn/hdtv55/index.m3u8
咪咕直播4K,http://live.cctv.cn/hdtv25/index.m3u8
纯享4K,http://cctv13.live.cctv.cn/hd37/index.m3u8
爱上4K,http://live.hunantv.com/live622/index.m3u8
欢笑剧场4K,http://live.hunantv.com/hdtv54/index.m3u8
CCTV5体育,http://cctv13.live.cctv.cn/cctv6hd/index.m3u8
CCTV5+体育赛事,http://cctv13.live.cctv.cn/live691/index.m3u8
CCTV16奥林匹克,http://live.gdtv.cn/live582/index.m3u8
五星体育,rtp://239.11.0.137:9901
广东体育,rtp://225.1.2.67:9901
北京体育,http://live.gdtv.cn/hd15/index.m3u8
劲爆体育,rtp://239.11.0.97:1234
魅力足球,rtp://225.1.2.18:9901
CCTV6电影,http://live.hunantv.com/hd34/index.m3u8
上海电影,rtp://239.11.0.98:9001
广东电影,rtp://239.11.0.51:9901
峨眉电影,rtp://239.11.0.201:5140
CHC高清电影,http://cctv13.live.cctv.cn/live897/index.m3u8
CHC动作电影,rtp://225.1.2.67:9001
CHC家庭影院,rtp://225.1.2.64:9000
都市剧场,http://cctv13.live.cctv.cn/hdtv91/index.m3u8
CCTV少儿,http://live.gdtv.cn/hd10/index.m3u8
金鹰卡通,rtp://239.112.206.132:9901
嘉佳卡通,rtp://239.11.0.83:9901
优漫卡通,rtp://225.1.2.90:9901
炫动卡通,rtp://239.11.0.73:9000
卡酷少儿,rtp://225.1.2.153:5140
CCTV新闻,http://live.hunantv.com/cctv16hd/index.m3u8
CCTV13,http://cctv1.live.cctv.cn/cctv4hd/index.m3u8
中国教育1台,http://cctv13.live.cctv.cn/hd26/index.m3u8
中国教育2台,http://cctv13.live.cctv.cn/cctv6hd/index.m3u8
凤凰中文,rtp://239.112.206.55:9001
凤凰资讯,rtp://239.11.0.5:9001
CCTV11戏曲,http://live.gdtv.cn/cctv10hd/index.m3u8
梨园频道,rtp://225.1.2.30:9000
文物宝库,rtp://239.112.206.135:1234
国学频道,rtp://239.112.206.97:9901
秦腔频道,rtp://239.11.0.152:8000
陕西秦腔,rtp://239.11.0.65:9901
甘肃秦腔,http://live.cctv.cn/live362/index.m3u8
宁夏秦腔,rtp://239.112.206.191:8080
浙江越剧,rtp://239.11.0.93:9001
杭州越剧,rtp://225.1.2.30:9000
绍兴越剧,rtp://239.112.206.109:5140
宁波越剧,rtp://225.1.2.58:9901
中国广电4K,http://live.hunantv.com/hdtv73/index.m3u8
广电精品,rtp://239.11.0.43:9901
广电影视,rtp://239.112.206.219:9000
广电纪实,rtp://239.112.206.177:1234
广电体育,http://live.hunantv.com/hdtv80/index.m3u8
广电新闻,rtp://239.112.206.202:9001
广电综艺,http://cctv1.live.cctv.cn/cctv4hd/index.m3u8
广电少儿,rtp://239.112.206.75:5140
广电音乐,rtp://239.11.0.2:8000
广电戏曲,rtp://239.112.206.134:8000
广电科教,rtp://239.112.206.187:1234
广电购物,rtp://239.112.206.156:9000
IPTV经典电影,rtp://239.11.0.98:9001
IPTV热播剧场,rtp://225.1.2.48:1234
IPTV魅力时尚,http://cctv13.live.cctv.cn/live291/index.m3u8
IPTV收视指南,rtp://225.1.2.16:5140
