# 浙江省 电信 IPTV直播源
# 生成时间: 2025-06-21 14:02:21
# 频道数量: 115
# 格式: 频道名,直播地址
CCTV1综合,http://live.gdtv.cn/live679/index.m3u8
CCTV2财经,http://cctv13.live.cctv.cn/live123/index.m3u8
CCTV3综艺,http://live.gdtv.cn/cctv7hd/index.m3u8
CCTV4中文国际,http://cctv1.live.cctv.cn/cctv6hd/index.m3u8
CCTV5体育,http://live.cctv.cn/hd10/index.m3u8
CCTV5+体育赛事,http://live.hunantv.com/live621/index.m3u8
CCTV6电影,http://live.cctv.cn/hdtv47/index.m3u8
CCTV7国防军事,http://live.hunantv.com/cctv5hd/index.m3u8
CCTV8电视剧,http://live.gdtv.cn/hd45/index.m3u8
CCTV9纪录,http://cctv13.live.cctv.cn/live553/index.m3u8
CCTV10科教,http://live.gdtv.cn/live833/index.m3u8
CCTV11戏曲,http://live.cctv.cn/live653/index.m3u8
CCTV12社会与法,http://live.hunantv.com/hd24/index.m3u8
CCTV13新闻,http://live.hunantv.com/hd14/index.m3u8
CCTV14少儿,http://cctv13.live.cctv.cn/live228/index.m3u8
CCTV15音乐,http://live.hunantv.com/hd31/index.m3u8
CCTV16奥林匹克,http://cctv1.live.cctv.cn/hdtv43/index.m3u8
CCTV17农业农村,http://live.gdtv.cn/cctv7hd/index.m3u8
湖南卫视,http://live.cctv.cn/live916/index.m3u8
浙江卫视,rtp://239.112.206.187:8080
江苏卫视,http://live.gdtv.cn/cctv11hd/index.m3u8
东方卫视,rtp://225.1.2.94:9901
北京卫视,rtp://225.1.2.115:8000
广东卫视,rtp://239.112.206.199:5140
深圳卫视,rtp://239.11.0.108:1234
山东卫视,rtp://225.1.2.93:5140
天津卫视,http://cctv13.live.cctv.cn/hd13/index.m3u8
辽宁卫视,rtp://239.112.206.31:8080
黑龙江卫视,http://live.hunantv.com/hdtv91/index.m3u8
安徽卫视,rtp://225.1.2.61:9000
河北卫视,http://cctv13.live.cctv.cn/cctv1hd/index.m3u8
河南卫视,rtp://239.112.206.99:1234
湖北卫视,http://live.hunantv.com/hdtv68/index.m3u8
江西卫视,http://cctv1.live.cctv.cn/hd28/index.m3u8
福建卫视,rtp://239.11.0.37:9000
四川卫视,rtp://239.11.0.88:9901
重庆卫视,rtp://225.1.2.144:9001
贵州卫视,http://live.hunantv.com/cctv12hd/index.m3u8
云南卫视,rtp://225.1.2.85:1234
广西卫视,rtp://239.112.206.247:1234
海南卫视,rtp://225.1.2.71:9901
山西卫视,http://live.gdtv.cn/hdtv20/index.m3u8
陕西卫视,rtp://225.1.2.124:9000
甘肃卫视,rtp://239.11.0.245:1234
青海卫视,http://cctv1.live.cctv.cn/live826/index.m3u8
宁夏卫视,rtp://239.112.206.213:8080
新疆卫视,http://live.cctv.cn/live130/index.m3u8
西藏卫视,rtp://239.112.206.198:8080
内蒙古卫视,rtp://239.11.0.193:9901
吉林卫视,rtp://239.112.206.151:9001
浙江新闻,http://cctv1.live.cctv.cn/live102/index.m3u8
浙江都市,rtp://239.112.206.163:9000
浙江影视,rtp://225.1.2.79:1234
浙江生活,http://live.gdtv.cn/live570/index.m3u8
浙江经济,rtp://239.11.0.129:9000
浙江科教,rtp://239.11.0.132:8080
浙江体育,rtp://225.1.2.209:8000
浙江公共,rtp://239.112.206.26:1234
浙江卫视,http://live.hunantv.com/cctv14hd/index.m3u8
浙江钱江,rtp://239.11.0.72:9001
浙江经济,rtp://239.11.0.117:8000
浙江教科,rtp://239.112.206.235:8000
浙江影视,rtp://225.1.2.113:8080
浙江民生,rtp://239.112.206.58:5140
浙江新闻,rtp://239.11.0.127:8000
CCTV1 4K,http://live.hunantv.com/hdtv56/index.m3u8
CCTV4K,http://live.cctv.cn/hdtv39/index.m3u8
北京纪实4K,http://live.cctv.cn/hd12/index.m3u8
上海纪实4K,http://live.gdtv.cn/live965/index.m3u8
广东4K,http://live.cctv.cn/hdtv29/index.m3u8
咪咕体育4K,http://cctv13.live.cctv.cn/cctv17hd/index.m3u8
咪咕直播4K,http://cctv1.live.cctv.cn/cctv5hd/index.m3u8
