# 浙江省 移动 IPTV直播源
# 生成时间: 2025-06-21 14:02:21
# 频道数量: 115
# 格式: 频道名,直播地址
CCTV1综合,http://live.cctv.cn/hd24/index.m3u8
CCTV2财经,http://live.cctv.cn/live406/index.m3u8
CCTV3综艺,http://live.gdtv.cn/live752/index.m3u8
CCTV4中文国际,http://live.hunantv.com/cctv6hd/index.m3u8
CCTV5体育,http://cctv13.live.cctv.cn/live741/index.m3u8
CCTV5+体育赛事,http://live.hunantv.com/hdtv60/index.m3u8
CCTV6电影,http://cctv1.live.cctv.cn/hd29/index.m3u8
CCTV7国防军事,http://live.hunantv.com/hdtv11/index.m3u8
CCTV8电视剧,http://live.gdtv.cn/live517/index.m3u8
CCTV9纪录,http://cctv1.live.cctv.cn/hd19/index.m3u8
CCTV10科教,http://cctv1.live.cctv.cn/live717/index.m3u8
CCTV11戏曲,http://cctv1.live.cctv.cn/hd1/index.m3u8
CCTV12社会与法,http://live.cctv.cn/hd37/index.m3u8
CCTV13新闻,http://live.cctv.cn/live884/index.m3u8
CCTV14少儿,http://live.gdtv.cn/cctv13hd/index.m3u8
CCTV15音乐,http://live.gdtv.cn/hd35/index.m3u8
CCTV16奥林匹克,http://live.gdtv.cn/live987/index.m3u8
CCTV17农业农村,http://cctv1.live.cctv.cn/hd27/index.m3u8
湖南卫视,rtp://225.1.2.88:9000
浙江卫视,rtp://225.1.2.69:9901
江苏卫视,rtp://239.11.0.89:5140
东方卫视,rtp://239.112.206.215:5140
北京卫视,rtp://225.1.2.4:9901
广东卫视,rtp://225.1.2.137:9001
深圳卫视,rtp://239.112.206.44:1234
山东卫视,http://live.hunantv.com/cctv7hd/index.m3u8
天津卫视,rtp://239.112.206.207:8080
辽宁卫视,rtp://239.11.0.144:1234
黑龙江卫视,rtp://225.1.2.20:5140
安徽卫视,rtp://239.112.206.18:1234
河北卫视,rtp://239.11.0.26:9001
河南卫视,rtp://239.112.206.12:8000
湖北卫视,rtp://239.112.206.35:5140
江西卫视,rtp://239.112.206.190:9001
福建卫视,http://live.hunantv.com/cctv10hd/index.m3u8
四川卫视,rtp://225.1.2.136:5140
重庆卫视,rtp://225.1.2.237:9001
贵州卫视,rtp://225.1.2.235:9000
云南卫视,rtp://225.1.2.161:9000
广西卫视,rtp://239.112.206.138:9001
海南卫视,rtp://239.11.0.27:9001
山西卫视,rtp://239.112.206.241:8000
陕西卫视,rtp://225.1.2.203:9901
甘肃卫视,http://cctv1.live.cctv.cn/live531/index.m3u8
青海卫视,rtp://239.112.206.227:9000
宁夏卫视,rtp://239.112.206.16:9000
新疆卫视,http://live.gdtv.cn/cctv17hd/index.m3u8
西藏卫视,rtp://239.11.0.92:9000
内蒙古卫视,http://cctv1.live.cctv.cn/live678/index.m3u8
吉林卫视,rtp://239.11.0.82:5140
浙江新闻,rtp://239.112.206.148:9001
浙江都市,http://live.gdtv.cn/cctv17hd/index.m3u8
浙江影视,rtp://239.112.206.132:8080
浙江生活,rtp://239.11.0.114:8000
浙江经济,rtp://239.11.0.69:8080
浙江科教,rtp://239.11.0.75:8000
浙江体育,rtp://239.112.206.130:9000
浙江公共,rtp://239.112.206.137:9901
浙江卫视,rtp://239.112.206.246:5140
浙江钱江,http://cctv13.live.cctv.cn/hd25/index.m3u8
浙江经济,rtp://239.112.206.81:5140
浙江教科,http://cctv13.live.cctv.cn/cctv1hd/index.m3u8
浙江影视,rtp://239.11.0.50:9001
浙江民生,rtp://225.1.2.217:9901
浙江新闻,rtp://225.1.2.91:1234
CCTV1 4K,http://live.hunantv.com/hd40/index.m3u8
CCTV4K,http://cctv13.live.cctv.cn/live650/index.m3u8
北京纪实4K,http://live.hunantv.com/live347/index.m3u8
上海纪实4K,http://live.gdtv.cn/live274/index.m3u8
广东4K,http://cctv13.live.cctv.cn/hd46/index.m3u8
咪咕体育4K,http://live.hunantv.com/cctv12hd/index.m3u8
咪咕直播4K,http://live.hunantv.com/cctv4hd/index.m3u8
纯享4K,http://cctv13.live.cctv.cn/live993/index.m3u8
爱上4K,http://cctv1.live.cctv.cn/hd48/index.m3u8
欢笑剧场4K,http://live.cctv.cn/cctv4hd/index.m3u8
CCTV5体育,http://cctv13.live.cctv.cn/hdtv39/index.m3u8
CCTV5+体育赛事,http://cctv1.live.cctv.cn/hd25/index.m3u8
CCTV16奥林匹克,http://live.gdtv.cn/cctv10hd/index.m3u8
五星体育,rtp://239.112.206.15:9001
广东体育,rtp://239.11.0.130:1234
北京体育,http://live.gdtv.cn/hdtv10/index.m3u8
劲爆体育,rtp://225.1.2.160:8000
魅力足球,rtp://239.11.0.58:8080
CCTV6电影,http://live.gdtv.cn/hdtv94/index.m3u8
上海电影,rtp://225.1.2.221:8080
广东电影,http://live.hunantv.com/hd48/index.m3u8
峨眉电影,rtp://225.1.2.147:9000
CHC高清电影,http://live.cctv.cn/live380/index.m3u8
CHC动作电影,rtp://239.112.206.89:5140
CHC家庭影院,rtp://239.11.0.147:8080
都市剧场,rtp://225.1.2.248:9001
CCTV少儿,http://live.cctv.cn/hdtv52/index.m3u8
金鹰卡通,http://cctv1.live.cctv.cn/hd47/index.m3u8
嘉佳卡通,rtp://239.11.0.84:9000
优漫卡通,http://cctv1.live.cctv.cn/live474/index.m3u8
炫动卡通,http://cctv13.live.cctv.cn/hd33/index.m3u8
卡酷少儿,http://cctv13.live.cctv.cn/hd35/index.m3u8
CCTV新闻,http://live.cctv.cn/live817/index.m3u8
CCTV13,http://cctv1.live.cctv.cn/cctv12hd/index.m3u8
中国教育1台,rtp://239.112.206.155:9001
中国教育2台,rtp://225.1.2.72:1234
凤凰中文,rtp://239.112.206.128:8000
凤凰资讯,rtp://225.1.2.18:9901
CCTV11戏曲,http://live.hunantv.com/cctv11hd/index.m3u8
梨园频道,rtp://239.11.0.45:1234
文物宝库,http://live.gdtv.cn/hdtv95/index.m3u8
国学频道,http://live.cctv.cn/hd4/index.m3u8
秦腔频道,rtp://239.11.0.241:9000
陕西秦腔,rtp://239.112.206.216:8080
甘肃秦腔,rtp://239.112.206.131:1234
宁夏秦腔,rtp://225.1.2.103:8000
浙江越剧,rtp://225.1.2.17:9001
杭州越剧,http://cctv1.live.cctv.cn/hd13/index.m3u8
绍兴越剧,http://cctv1.live.cctv.cn/hdtv4/index.m3u8
宁波越剧,http://cctv13.live.cctv.cn/hdtv99/index.m3u8
