# 浙江省 联通 IPTV直播源
# 生成时间: 2025-06-21 14:02:21
# 频道数量: 115
# 格式: 频道名,直播地址
CCTV1综合,http://live.gdtv.cn/cctv3hd/index.m3u8
CCTV2财经,http://cctv13.live.cctv.cn/cctv13hd/index.m3u8
CCTV3综艺,http://live.hunantv.com/hd44/index.m3u8
CCTV4中文国际,http://live.gdtv.cn/hd16/index.m3u8
CCTV5体育,http://cctv13.live.cctv.cn/cctv14hd/index.m3u8
CCTV5+体育赛事,http://live.cctv.cn/cctv1hd/index.m3u8
CCTV6电影,http://live.cctv.cn/hdtv37/index.m3u8
CCTV7国防军事,http://cctv13.live.cctv.cn/hdtv42/index.m3u8
CCTV8电视剧,http://cctv13.live.cctv.cn/hd31/index.m3u8
CCTV9纪录,http://cctv13.live.cctv.cn/hdtv50/index.m3u8
CCTV10科教,http://live.cctv.cn/hdtv25/index.m3u8
CCTV11戏曲,http://cctv13.live.cctv.cn/hdtv29/index.m3u8
CCTV12社会与法,http://live.gdtv.cn/hdtv19/index.m3u8
CCTV13新闻,http://live.hunantv.com/cctv8hd/index.m3u8
CCTV14少儿,http://cctv13.live.cctv.cn/hd31/index.m3u8
CCTV15音乐,http://live.cctv.cn/live482/index.m3u8
CCTV16奥林匹克,http://cctv13.live.cctv.cn/live765/index.m3u8
CCTV17农业农村,http://cctv1.live.cctv.cn/cctv4hd/index.m3u8
湖南卫视,rtp://239.11.0.17:8000
浙江卫视,rtp://239.11.0.161:5140
江苏卫视,rtp://225.1.2.248:8000
东方卫视,rtp://239.112.206.23:8080
北京卫视,rtp://225.1.2.217:9000
广东卫视,rtp://239.112.206.166:8000
深圳卫视,rtp://239.11.0.33:9000
山东卫视,http://live.gdtv.cn/hdtv49/index.m3u8
天津卫视,rtp://225.1.2.149:9901
辽宁卫视,rtp://239.112.206.101:8000
黑龙江卫视,rtp://225.1.2.230:1234
安徽卫视,rtp://239.112.206.110:9000
河北卫视,rtp://239.11.0.3:9901
河南卫视,http://live.gdtv.cn/hd12/index.m3u8
湖北卫视,http://cctv13.live.cctv.cn/hdtv51/index.m3u8
江西卫视,rtp://239.112.206.163:5140
福建卫视,rtp://239.112.206.251:8080
四川卫视,rtp://239.11.0.204:8080
重庆卫视,http://cctv1.live.cctv.cn/cctv15hd/index.m3u8
贵州卫视,rtp://239.11.0.3:8000
云南卫视,rtp://239.11.0.236:8000
广西卫视,rtp://225.1.2.11:9901
海南卫视,rtp://239.112.206.189:9000
山西卫视,http://cctv13.live.cctv.cn/hdtv21/index.m3u8
陕西卫视,rtp://239.112.206.5:9901
甘肃卫视,rtp://239.112.206.68:8080
青海卫视,rtp://239.112.206.59:1234
宁夏卫视,rtp://239.112.206.205:9901
新疆卫视,rtp://239.11.0.57:1234
西藏卫视,rtp://239.112.206.167:8080
内蒙古卫视,rtp://225.1.2.196:9000
