# 湖南省 广电 IPTV直播源
# 生成时间: 2025-06-21 14:02:21
# 频道数量: 131
# 格式: 频道名,直播地址
CCTV1综合,http://live.cctv.cn/hd13/index.m3u8
CCTV2财经,http://live.hunantv.com/live119/index.m3u8
CCTV3综艺,http://cctv1.live.cctv.cn/hdtv57/index.m3u8
CCTV4中文国际,http://cctv13.live.cctv.cn/hdtv81/index.m3u8
CCTV5体育,http://live.hunantv.com/cctv9hd/index.m3u8
CCTV5+体育赛事,http://live.gdtv.cn/hd11/index.m3u8
CCTV6电影,http://cctv13.live.cctv.cn/hdtv6/index.m3u8
CCTV7国防军事,http://live.gdtv.cn/live183/index.m3u8
CCTV8电视剧,http://cctv1.live.cctv.cn/hdtv60/index.m3u8
CCTV9纪录,http://cctv1.live.cctv.cn/hd18/index.m3u8
CCTV10科教,http://live.hunantv.com/hdtv90/index.m3u8
CCTV11戏曲,http://live.cctv.cn/cctv3hd/index.m3u8
CCTV12社会与法,http://live.gdtv.cn/cctv12hd/index.m3u8
CCTV13新闻,http://live.hunantv.com/live943/index.m3u8
CCTV14少儿,http://live.hunantv.com/hdtv33/index.m3u8
CCTV15音乐,http://live.gdtv.cn/hd4/index.m3u8
CCTV16奥林匹克,http://live.hunantv.com/live116/index.m3u8
CCTV17农业农村,http://live.gdtv.cn/cctv11hd/index.m3u8
湖南卫视,rtp://239.112.206.225:5140
浙江卫视,rtp://239.112.207.37:9000
江苏卫视,rtp://239.112.207.86:5140
东方卫视,http://live.hunantv.com/live832/index.m3u8
北京卫视,rtp://239.112.207.88:9901
广东卫视,http://live.hunantv.com/cctv14hd/index.m3u8
深圳卫视,rtp://239.254.97.202:5140
山东卫视,rtp://239.112.207.93:9901
天津卫视,rtp://239.112.206.124:9001
辽宁卫视,http://live.gdtv.cn/cctv9hd/index.m3u8
黑龙江卫视,rtp://239.112.207.130:8080
安徽卫视,rtp://239.254.97.158:9901
河北卫视,rtp://239.254.97.57:1234
河南卫视,rtp://239.112.206.11:9000
湖北卫视,rtp://239.254.97.100:9901
江西卫视,rtp://239.112.206.140:1234
福建卫视,rtp://239.112.207.169:8080
四川卫视,rtp://239.112.207.4:9901
重庆卫视,rtp://239.112.207.88:8000
贵州卫视,http://live.hunantv.com/cctv15hd/index.m3u8
云南卫视,rtp://239.112.207.87:9001
广西卫视,rtp://239.112.207.176:5140
海南卫视,rtp://239.112.207.159:9001
山西卫视,rtp://239.254.97.191:9000
陕西卫视,rtp://239.112.207.28:9901
甘肃卫视,rtp://239.254.97.210:1234
青海卫视,rtp://239.112.207.200:9000
宁夏卫视,rtp://239.112.206.214:9001
新疆卫视,rtp://239.112.207.95:9000
西藏卫视,http://live.cctv.cn/live831/index.m3u8
内蒙古卫视,http://live.hunantv.com/hd19/index.m3u8
吉林卫视,rtp://239.254.97.64:8000
湖南新闻,rtp://239.112.207.99:9000
湖南都市,rtp://239.112.206.72:9901
湖南影视,http://live.gdtv.cn/live398/index.m3u8
湖南生活,rtp://239.254.97.30:9901
湖南经济,rtp://239.254.97.3:1234
湖南科教,http://live.gdtv.cn/hdtv77/index.m3u8
湖南体育,rtp://239.254.97.93:8000
湖南公共,rtp://239.112.207.196:9901
湖南卫视,http://cctv1.live.cctv.cn/cctv15hd/index.m3u8
湖南经视,rtp://239.254.97.121:8080
湖南都市,rtp://239.254.97.150:1234
湖南娱乐,rtp://239.112.206.237:9001
湖南电影,http://live.gdtv.cn/hdtv76/index.m3u8
金鹰纪实,rtp://239.112.207.109:8080
金鹰卡通,rtp://239.112.206.114:9000
CCTV1 4K,http://live.hunantv.com/hdtv7/index.m3u8
CCTV4K,http://live.gdtv.cn/live943/index.m3u8
