# 湖南省 移动 IPTV直播源
# 生成时间: 2025-06-21 14:02:21
# 频道数量: 115
# 格式: 频道名,直播地址
CCTV1综合,http://live.cctv.cn/hdtv59/index.m3u8
CCTV2财经,http://live.hunantv.com/cctv13hd/index.m3u8
CCTV3综艺,http://live.cctv.cn/hd44/index.m3u8
CCTV4中文国际,http://live.hunantv.com/hd49/index.m3u8
CCTV5体育,http://live.gdtv.cn/live944/index.m3u8
CCTV5+体育赛事,http://live.gdtv.cn/hd4/index.m3u8
CCTV6电影,http://live.hunantv.com/hdtv2/index.m3u8
CCTV7国防军事,http://cctv1.live.cctv.cn/hd12/index.m3u8
CCTV8电视剧,http://cctv13.live.cctv.cn/hd50/index.m3u8
CCTV9纪录,http://live.cctv.cn/live333/index.m3u8
CCTV10科教,http://live.cctv.cn/cctv17hd/index.m3u8
CCTV11戏曲,http://live.cctv.cn/cctv4hd/index.m3u8
CCTV12社会与法,http://cctv13.live.cctv.cn/cctv10hd/index.m3u8
CCTV13新闻,http://live.hunantv.com/live590/index.m3u8
CCTV14少儿,http://live.cctv.cn/hd35/index.m3u8
CCTV15音乐,http://live.cctv.cn/hdtv75/index.m3u8
CCTV16奥林匹克,http://live.gdtv.cn/hdtv29/index.m3u8
CCTV17农业农村,http://live.cctv.cn/hd32/index.m3u8
湖南卫视,rtp://239.112.207.123:8000
浙江卫视,rtp://239.112.207.12:8000
江苏卫视,rtp://239.112.207.248:8000
东方卫视,rtp://239.112.207.74:9001
北京卫视,rtp://239.112.207.236:8000
广东卫视,rtp://239.112.207.44:1234
深圳卫视,http://live.hunantv.com/cctv17hd/index.m3u8
山东卫视,rtp://239.254.97.55:9000
天津卫视,rtp://239.254.97.78:9901
辽宁卫视,rtp://239.112.206.77:5140
黑龙江卫视,rtp://239.254.97.224:1234
安徽卫视,rtp://239.112.207.70:5140
河北卫视,rtp://239.112.206.242:9901
河南卫视,rtp://239.254.97.210:8000
湖北卫视,rtp://239.254.97.75:9000
江西卫视,rtp://239.112.207.41:9000
福建卫视,rtp://239.112.206.213:8000
四川卫视,rtp://239.254.97.232:9001
重庆卫视,rtp://239.112.206.71:9000
贵州卫视,rtp://239.112.207.201:8000
云南卫视,rtp://239.112.207.105:9000
广西卫视,rtp://239.254.97.81:5140
海南卫视,rtp://239.112.207.4:8000
山西卫视,rtp://239.112.207.16:8000
陕西卫视,rtp://239.112.206.129:9001
甘肃卫视,rtp://239.112.206.32:8000
青海卫视,rtp://239.112.207.68:8000
