# 湖南省 联通 IPTV直播源
# 生成时间: 2025-06-21 14:02:21
# 频道数量: 115
# 格式: 频道名,直播地址
CCTV1综合,http://cctv1.live.cctv.cn/live577/index.m3u8
CCTV2财经,http://live.cctv.cn/live359/index.m3u8
CCTV3综艺,http://cctv13.live.cctv.cn/hdtv42/index.m3u8
CCTV4中文国际,http://live.hunantv.com/hd12/index.m3u8
CCTV5体育,http://cctv1.live.cctv.cn/live613/index.m3u8
CCTV5+体育赛事,http://cctv1.live.cctv.cn/hd17/index.m3u8
CCTV6电影,http://live.cctv.cn/hd11/index.m3u8
CCTV7国防军事,http://live.hunantv.com/hdtv40/index.m3u8
CCTV8电视剧,http://live.cctv.cn/live115/index.m3u8
CCTV9纪录,http://live.gdtv.cn/cctv4hd/index.m3u8
CCTV10科教,http://cctv13.live.cctv.cn/live675/index.m3u8
CCTV11戏曲,http://cctv13.live.cctv.cn/live287/index.m3u8
CCTV12社会与法,http://live.cctv.cn/live122/index.m3u8
CCTV13新闻,http://cctv13.live.cctv.cn/live273/index.m3u8
CCTV14少儿,http://cctv1.live.cctv.cn/live218/index.m3u8
CCTV15音乐,http://live.gdtv.cn/hd27/index.m3u8
CCTV16奥林匹克,http://live.gdtv.cn/hdtv8/index.m3u8
CCTV17农业农村,http://live.hunantv.com/hdtv96/index.m3u8
湖南卫视,rtp://239.112.207.88:9000
浙江卫视,http://cctv1.live.cctv.cn/live205/index.m3u8
江苏卫视,rtp://239.112.207.6:8000
东方卫视,rtp://239.112.207.26:9001
北京卫视,rtp://239.112.206.70:8080
广东卫视,rtp://239.254.97.245:8080
深圳卫视,http://live.hunantv.com/live239/index.m3u8
山东卫视,http://live.hunantv.com/live421/index.m3u8
天津卫视,rtp://239.112.206.117:1234
辽宁卫视,http://cctv1.live.cctv.cn/cctv11hd/index.m3u8
黑龙江卫视,rtp://239.112.206.101:8080
安徽卫视,rtp://239.112.206.50:8080
河北卫视,rtp://239.254.97.180:1234
河南卫视,rtp://239.254.97.111:8000
湖北卫视,rtp://239.254.97.87:8080
江西卫视,rtp://239.112.207.91:1234
福建卫视,rtp://239.112.206.60:5140
四川卫视,rtp://239.254.97.149:8000
重庆卫视,rtp://239.112.207.238:9000
贵州卫视,rtp://239.254.97.75:1234
云南卫视,http://cctv13.live.cctv.cn/live183/index.m3u8
广西卫视,rtp://239.112.206.243:8000
海南卫视,rtp://239.254.97.237:9901
山西卫视,rtp://239.112.207.113:8080
陕西卫视,rtp://239.112.206.244:9901
甘肃卫视,rtp://239.254.97.46:1234
青海卫视,rtp://239.112.207.127:9001
宁夏卫视,rtp://239.112.206.197:9001
新疆卫视,rtp://239.112.207.113:9001
西藏卫视,rtp://239.112.206.122:8000
内蒙古卫视,rtp://239.254.97.84:8080
吉林卫视,rtp://239.112.207.58:9001
湖南新闻,rtp://239.112.207.9:5140
湖南都市,rtp://239.112.206.115:8000
湖南影视,rtp://239.112.207.13:9000
湖南生活,rtp://239.254.97.138:9901
湖南经济,rtp://239.112.207.45:8000
湖南科教,http://cctv13.live.cctv.cn/hd48/index.m3u8
湖南体育,rtp://239.112.207.127:5140
湖南公共,rtp://239.112.207.242:9901
湖南卫视,rtp://239.112.207.127:1234
湖南经视,rtp://239.112.206.6:1234
湖南都市,rtp://239.254.97.167:5140
湖南娱乐,rtp://239.254.97.238:1234
湖南电影,rtp://239.254.97.230:9000
金鹰纪实,rtp://239.112.207.187:1234
金鹰卡通,rtp://239.112.206.35:9000
CCTV1 4K,http://live.hunantv.com/hd12/index.m3u8
CCTV4K,http://cctv13.live.cctv.cn/hd43/index.m3u8
北京纪实4K,http://cctv13.live.cctv.cn/cctv4hd/index.m3u8
上海纪实4K,http://live.gdtv.cn/cctv5hd/index.m3u8
广东4K,http://live.hunantv.com/live461/index.m3u8
咪咕体育4K,http://live.hunantv.com/cctv11hd/index.m3u8
咪咕直播4K,http://cctv1.live.cctv.cn/hd40/index.m3u8
纯享4K,http://live.hunantv.com/hd20/index.m3u8
爱上4K,http://cctv1.live.cctv.cn/cctv5hd/index.m3u8
欢笑剧场4K,http://live.hunantv.com/hd28/index.m3u8
CCTV5体育,http://cctv13.live.cctv.cn/live806/index.m3u8
CCTV5+体育赛事,http://live.hunantv.com/live244/index.m3u8
CCTV16奥林匹克,http://live.cctv.cn/hdtv81/index.m3u8
五星体育,rtp://239.112.207.63:5140
广东体育,rtp://239.112.207.36:5140
北京体育,rtp://239.254.97.195:1234
劲爆体育,rtp://239.112.207.243:8080
魅力足球,http://live.gdtv.cn/live733/index.m3u8
CCTV6电影,http://cctv1.live.cctv.cn/hd16/index.m3u8
上海电影,rtp://239.112.206.10:8080
广东电影,http://cctv1.live.cctv.cn/live326/index.m3u8
峨眉电影,rtp://239.254.97.187:8080
CHC高清电影,http://cctv1.live.cctv.cn/live674/index.m3u8
CHC动作电影,rtp://239.112.206.70:8000
CHC家庭影院,rtp://239.112.207.204:8000
都市剧场,rtp://239.112.207.54:9901
CCTV少儿,http://live.gdtv.cn/hd24/index.m3u8
金鹰卡通,http://cctv13.live.cctv.cn/live406/index.m3u8
嘉佳卡通,rtp://239.112.206.227:5140
优漫卡通,rtp://239.254.97.5:1234
炫动卡通,rtp://239.254.97.242:8000
卡酷少儿,http://cctv13.live.cctv.cn/hd20/index.m3u8
CCTV新闻,http://live.hunantv.com/hd25/index.m3u8
CCTV13,http://cctv1.live.cctv.cn/live373/index.m3u8
中国教育1台,http://cctv13.live.cctv.cn/hd50/index.m3u8
中国教育2台,http://cctv13.live.cctv.cn/hdtv83/index.m3u8
凤凰中文,rtp://239.254.97.41:1234
凤凰资讯,rtp://239.112.207.205:9000
CCTV11戏曲,http://live.gdtv.cn/cctv10hd/index.m3u8
梨园频道,rtp://239.112.207.46:1234
文物宝库,http://live.cctv.cn/hdtv64/index.m3u8
国学频道,rtp://239.254.97.60:8000
秦腔频道,http://cctv1.live.cctv.cn/hd47/index.m3u8
陕西秦腔,rtp://239.112.207.241:1234
甘肃秦腔,rtp://239.112.207.128:5140
宁夏秦腔,rtp://239.112.206.213:8000
湖南湘剧,rtp://239.112.207.238:8080
长沙湘剧,rtp://239.254.97.31:8000
株洲湘剧,rtp://239.254.97.135:9901
湘潭湘剧,rtp://239.112.206.245:9000
