# 甘肃省 广电 IPTV直播源
# 生成时间: 2025-06-21 14:02:21
# 频道数量: 127
# 格式: 频道名,直播地址
CCTV1综合,http://live.gdtv.cn/hd39/index.m3u8
CCTV2财经,http://cctv13.live.cctv.cn/hdtv5/index.m3u8
CCTV3综艺,http://live.hunantv.com/hd44/index.m3u8
CCTV4中文国际,http://live.cctv.cn/hdtv93/index.m3u8
CCTV5体育,http://live.cctv.cn/live211/index.m3u8
CCTV5+体育赛事,http://cctv13.live.cctv.cn/cctv4hd/index.m3u8
CCTV6电影,http://live.gdtv.cn/hdtv94/index.m3u8
CCTV7国防军事,http://live.gdtv.cn/live826/index.m3u8
CCTV8电视剧,http://cctv1.live.cctv.cn/hdtv92/index.m3u8
CCTV9纪录,http://live.cctv.cn/hdtv34/index.m3u8
CCTV10科教,http://live.gdtv.cn/cctv6hd/index.m3u8
CCTV11戏曲,http://live.cctv.cn/hdtv26/index.m3u8
CCTV12社会与法,http://live.gdtv.cn/hdtv1/index.m3u8
CCTV13新闻,http://live.hunantv.com/live597/index.m3u8
CCTV14少儿,http://cctv1.live.cctv.cn/cctv4hd/index.m3u8
CCTV15音乐,http://live.cctv.cn/live902/index.m3u8
CCTV16奥林匹克,http://cctv13.live.cctv.cn/live702/index.m3u8
CCTV17农业农村,http://cctv13.live.cctv.cn/hd27/index.m3u8
湖南卫视,rtp://239.112.207.64:5140
浙江卫视,rtp://239.112.207.5:9901
江苏卫视,rtp://239.45.9.243:9000
东方卫视,rtp://239.112.207.252:9000
北京卫视,rtp://239.112.207.248:9000
广东卫视,http://live.gdtv.cn/cctv4hd/index.m3u8
深圳卫视,rtp://239.112.207.69:9901
山东卫视,rtp://239.112.207.9:1234
天津卫视,rtp://239.45.9.78:9001
辽宁卫视,http://live.cctv.cn/live877/index.m3u8
黑龙江卫视,rtp://239.45.9.113:8000
安徽卫视,rtp://239.45.9.57:9001
河北卫视,rtp://225.1.1.248:9000
河南卫视,rtp://239.45.9.197:5140
湖北卫视,rtp://225.1.1.234:5140
江西卫视,rtp://225.1.1.84:8000
福建卫视,rtp://239.45.9.25:8000
四川卫视,rtp://225.1.1.203:9001
重庆卫视,rtp://225.1.1.90:9001
贵州卫视,rtp://225.1.1.73:8080
云南卫视,http://cctv13.live.cctv.cn/live117/index.m3u8
广西卫视,rtp://225.1.1.31:5140
海南卫视,rtp://239.112.207.34:8080
山西卫视,rtp://239.45.9.219:9001
陕西卫视,rtp://225.1.1.252:9001
甘肃卫视,rtp://225.1.1.152:9001
青海卫视,rtp://239.112.207.245:9001
宁夏卫视,rtp://225.1.1.229:9901
新疆卫视,http://cctv1.live.cctv.cn/hd11/index.m3u8
西藏卫视,rtp://239.112.207.5:8000
内蒙古卫视,rtp://239.112.207.15:9000
吉林卫视,rtp://225.1.1.240:9001
甘肃新闻,http://live.cctv.cn/hdtv64/index.m3u8
甘肃都市,rtp://239.112.207.254:5140
甘肃影视,rtp://239.45.9.150:8000
甘肃生活,http://cctv13.live.cctv.cn/live260/index.m3u8
甘肃经济,rtp://239.45.9.245:8000
甘肃科教,rtp://239.112.207.218:9901
甘肃体育,rtp://225.1.1.30:9000
甘肃公共,rtp://239.45.9.222:9000
