# 甘肃省 电信 IPTV直播源
# 生成时间: 2025-06-21 14:02:21
# 频道数量: 111
# 格式: 频道名,直播地址
CCTV1综合,http://live.gdtv.cn/hdtv80/index.m3u8
CCTV2财经,http://live.hunantv.com/cctv4hd/index.m3u8
CCTV3综艺,http://cctv13.live.cctv.cn/hd33/index.m3u8
CCTV4中文国际,http://cctv1.live.cctv.cn/cctv10hd/index.m3u8
CCTV5体育,http://cctv1.live.cctv.cn/live785/index.m3u8
CCTV5+体育赛事,http://cctv1.live.cctv.cn/hdtv93/index.m3u8
CCTV6电影,http://cctv1.live.cctv.cn/live444/index.m3u8
CCTV7国防军事,http://cctv13.live.cctv.cn/live544/index.m3u8
CCTV8电视剧,http://live.hunantv.com/hd32/index.m3u8
CCTV9纪录,http://cctv1.live.cctv.cn/hd45/index.m3u8
CCTV10科教,http://live.hunantv.com/hd4/index.m3u8
CCTV11戏曲,http://cctv1.live.cctv.cn/cctv15hd/index.m3u8
CCTV12社会与法,http://live.cctv.cn/hd44/index.m3u8
CCTV13新闻,http://cctv1.live.cctv.cn/cctv14hd/index.m3u8
CCTV14少儿,http://cctv13.live.cctv.cn/live755/index.m3u8
CCTV15音乐,http://cctv1.live.cctv.cn/live295/index.m3u8
CCTV16奥林匹克,http://live.hunantv.com/hd33/index.m3u8
CCTV17农业农村,http://live.hunantv.com/hdtv97/index.m3u8
湖南卫视,rtp://239.112.207.205:9001
浙江卫视,rtp://225.1.1.162:9901
江苏卫视,rtp://239.112.207.101:8000
东方卫视,rtp://239.45.9.31:9000
北京卫视,rtp://239.112.207.71:8080
广东卫视,http://cctv13.live.cctv.cn/hd11/index.m3u8
深圳卫视,http://live.hunantv.com/hd40/index.m3u8
山东卫视,http://live.cctv.cn/cctv5hd/index.m3u8
天津卫视,http://cctv1.live.cctv.cn/hd1/index.m3u8
辽宁卫视,rtp://239.112.207.212:1234
黑龙江卫视,rtp://225.1.1.171:8080
安徽卫视,rtp://239.112.207.113:8080
河北卫视,rtp://239.45.9.233:8080
河南卫视,rtp://239.45.9.12:9901
湖北卫视,rtp://225.1.1.218:9001
江西卫视,rtp://225.1.1.191:9001
福建卫视,rtp://239.45.9.213:8000
四川卫视,http://live.hunantv.com/hdtv37/index.m3u8
重庆卫视,rtp://225.1.1.193:9901
贵州卫视,rtp://239.45.9.171:9000
云南卫视,rtp://239.112.207.94:5140
广西卫视,rtp://225.1.1.14:9901
海南卫视,rtp://225.1.1.105:8000
山西卫视,rtp://225.1.1.253:5140
陕西卫视,http://live.cctv.cn/hdtv58/index.m3u8
甘肃卫视,http://cctv13.live.cctv.cn/hd4/index.m3u8
青海卫视,http://live.hunantv.com/hd50/index.m3u8
宁夏卫视,rtp://225.1.1.171:8000
新疆卫视,rtp://239.112.207.216:9000
西藏卫视,rtp://239.45.9.110:8080
内蒙古卫视,rtp://239.112.207.170:8080
吉林卫视,rtp://225.1.1.103:8000
甘肃新闻,rtp://239.45.9.162:8000
甘肃都市,rtp://239.112.207.227:1234
甘肃影视,rtp://239.45.9.36:8080
甘肃生活,rtp://239.112.207.24:8080
甘肃经济,rtp://239.45.9.56:8000
甘肃科教,rtp://239.112.207.37:1234
甘肃体育,rtp://225.1.1.65:9001
甘肃公共,rtp://225.1.1.99:9901
CCTV1 4K,http://live.gdtv.cn/live265/index.m3u8
CCTV4K,http://live.gdtv.cn/hd28/index.m3u8
北京纪实4K,http://live.cctv.cn/live315/index.m3u8
上海纪实4K,http://live.cctv.cn/live621/index.m3u8
广东4K,http://live.gdtv.cn/hdtv78/index.m3u8
咪咕体育4K,http://live.hunantv.com/hdtv70/index.m3u8
咪咕直播4K,http://live.hunantv.com/hdtv1/index.m3u8
纯享4K,http://cctv13.live.cctv.cn/hd20/index.m3u8
爱上4K,http://live.hunantv.com/cctv4hd/index.m3u8
欢笑剧场4K,http://live.hunantv.com/hd6/index.m3u8
CCTV5体育,http://cctv13.live.cctv.cn/cctv16hd/index.m3u8
CCTV5+体育赛事,http://live.gdtv.cn/live410/index.m3u8
CCTV16奥林匹克,http://cctv1.live.cctv.cn/hdtv92/index.m3u8
五星体育,rtp://225.1.1.220:5140
广东体育,rtp://239.45.9.65:8080
北京体育,rtp://239.45.9.128:5140
劲爆体育,rtp://225.1.1.60:1234
