# 甘肃省 秦腔专场直播源
# 🎭 弘扬秦腔文化，传承西北艺术
# 生成时间: 2025-06-21 14:02:34
# 频道数量: 80 个
# 覆盖城市: 兰州, 天水, 平凉, 庆阳, 陇南, 定西, 武威, 张掖, 酒泉, 嘉峪关
# 格式: 频道名,直播地址
# 说明: 秦腔是西北地区最具代表性的地方戏曲
陕西秦腔,rtp://239.49.8.72:8000
甘肃秦腔,rtp://239.49.8.203:5140
宁夏秦腔,rtp://239.93.9.132:9001
青海秦腔,rtp://239.50.8.198:5140
新疆秦腔,http://live.qinqiang.cn/xiqu17/playlist.m3u8
西北秦腔,rtp://239.93.8.151:9000
秦腔名家,rtp://239.50.8.232:8000
秦腔经典,http://live.qinqiang.cn/live914/playlist.m3u8
秦腔大全,http://xiqu.nxtv.com.cn/opera4/playlist.m3u8
秦腔精品,rtp://239.61.8.173:5140
西安秦腔台,rtp://239.93.8.78:9000
宝鸡秦腔台,http://live.qinqiang.cn/xiqu33/playlist.m3u8
咸阳秦腔台,rtp://239.61.9.69:4120
渭南秦腔台,rtp://239.49.9.72:4120
兰州秦腔台,http://xiqu.nxtv.com.cn/qinqiang72/playlist.m3u8
天水秦腔台,rtp://239.49.9.110:5140
平凉秦腔台,http://opera.gsrtv.cn/opera12/playlist.m3u8
庆阳秦腔台,http://opera.xjbs.com.cn/xiqu17/playlist.m3u8
银川秦腔台,http://live.qinqiang.cn/qinqiang45/playlist.m3u8
石嘴山秦腔台,rtp://239.93.8.79:8080
吴忠秦腔台,http://opera.gsrtv.cn/live591/playlist.m3u8
固原秦腔台,http://stream.xiqu.tv/qinqiang10/playlist.m3u8
西宁秦腔台,http://qinqiang.sxbc.cn/opera5/playlist.m3u8
海东秦腔台,rtp://239.61.9.33:8000
乌鲁木齐秦腔台,rtp://239.93.9.225:9000
伊犁秦腔台,http://xiqu.nxtv.com.cn/xiqu34/playlist.m3u8
秦腔名段,rtp://239.50.8.87:9001
秦腔全本,http://xiqu.nxtv.com.cn/qinqiang69/playlist.m3u8
秦腔教学,http://qinqiang.qhtv.cn/qinqiang82/playlist.m3u8
秦腔赏析,rtp://239.50.9.191:4120
秦腔历史,rtp://239.93.9.24:9000
秦腔文化,rtp://239.50.8.64:9001
秦腔传承,rtp://239.93.8.151:9001
秦腔创新,http://qinqiang.sxbc.cn/xiqu26/playlist.m3u8
秦腔名角,http://stream.xiqu.tv/qinqiang75/playlist.m3u8
秦腔流派,http://xiqu.nxtv.com.cn/xiqu14/playlist.m3u8
秦腔伴奏,rtp://239.49.9.216:8080
秦腔器乐,http://opera.xjbs.com.cn/live283/playlist.m3u8
现代秦腔,http://qinqiang.qhtv.cn/live469/playlist.m3u8
秦腔新编,rtp://239.93.9.203:9000
秦腔青年,rtp://239.50.9.61:9000
秦腔少儿,rtp://239.49.9.40:4120
秦腔比赛,rtp://239.49.8.62:9000
秦腔节庆,rtp://239.93.9.65:8080
秦腔展演,http://qinqiang.sxbc.cn/opera23/playlist.m3u8
秦腔巡演,rtp://239.61.9.21:8080
西北戏曲,http://stream.xiqu.tv/live163/playlist.m3u8
陕北说书,rtp://239.61.9.182:4120
陕北民歌,rtp://239.93.8.105:5140
花儿民歌,rtp://239.61.8.20:8000
信天游,rtp://239.49.8.166:8000
秦川小调,http://live.qinqiang.cn/xiqu1/playlist.m3u8
关中民歌,http://xiqu.nxtv.com.cn/live238/playlist.m3u8
陇原花儿,rtp://239.93.9.212:4120
三滴血,rtp://239.50.9.187:8080
火焰驹,http://qinqiang.qhtv.cn/opera29/playlist.m3u8
铡美案,rtp://239.50.9.211:8080
下河东,rtp://239.50.9.189:9001
春秋笔,http://xiqu.nxtv.com.cn/opera21/playlist.m3u8
辕门斩子,rtp://239.50.8.187:9001
斩黄袍,rtp://239.49.9.224:5140
杨门女将,rtp://239.49.9.34:5140
穆桂英挂帅,rtp://239.93.9.31:4120
梁山伯与祝英台,rtp://239.49.8.49:5140
窦娥冤,rtp://239.61.9.23:9001
赵氏孤儿,http://opera.xjbs.com.cn/opera5/playlist.m3u8
长坂坡,rtp://239.49.9.79:8000
空城计,rtp://239.61.9.218:8080
借东风,rtp://239.93.9.136:4120
血泪仇,rtp://239.49.8.38:8000
梁秋燕,rtp://239.49.9.131:8080
红灯记,http://xiqu.nxtv.com.cn/live590/playlist.m3u8
沙家浜,rtp://239.49.9.54:4120
智取威虎山,http://opera.gsrtv.cn/qinqiang8/playlist.m3u8
兰州秦腔台,rtp://239.50.9.210:4120
天水秦腔台,rtp://239.50.8.119:9001
平凉秦腔台,rtp://239.61.9.160:4120
庆阳秦腔台,rtp://239.61.9.38:8000
陇南秦腔台,rtp://239.61.9.69:8080
定西秦腔台,rtp://239.93.9.162:5140
