# 甘肃省 移动 IPTV直播源
# 生成时间: 2025-06-21 14:02:21
# 频道数量: 111
# 格式: 频道名,直播地址
CCTV1综合,http://cctv1.live.cctv.cn/live490/index.m3u8
CCTV2财经,http://live.cctv.cn/live637/index.m3u8
CCTV3综艺,http://cctv13.live.cctv.cn/hdtv12/index.m3u8
CCTV4中文国际,http://cctv13.live.cctv.cn/hdtv10/index.m3u8
CCTV5体育,http://live.gdtv.cn/cctv7hd/index.m3u8
CCTV5+体育赛事,http://cctv13.live.cctv.cn/hd41/index.m3u8
CCTV6电影,http://live.gdtv.cn/hd23/index.m3u8
CCTV7国防军事,http://live.hunantv.com/cctv15hd/index.m3u8
CCTV8电视剧,http://cctv1.live.cctv.cn/hdtv33/index.m3u8
CCTV9纪录,http://cctv13.live.cctv.cn/hd1/index.m3u8
CCTV10科教,http://cctv13.live.cctv.cn/hd15/index.m3u8
CCTV11戏曲,http://cctv13.live.cctv.cn/cctv15hd/index.m3u8
CCTV12社会与法,http://live.hunantv.com/live541/index.m3u8
CCTV13新闻,http://live.cctv.cn/hd44/index.m3u8
CCTV14少儿,http://cctv13.live.cctv.cn/live435/index.m3u8
CCTV15音乐,http://live.gdtv.cn/live794/index.m3u8
CCTV16奥林匹克,http://live.gdtv.cn/live280/index.m3u8
CCTV17农业农村,http://live.cctv.cn/cctv17hd/index.m3u8
湖南卫视,rtp://239.112.207.86:9001
浙江卫视,rtp://239.45.9.88:8080
江苏卫视,rtp://239.45.9.178:5140
东方卫视,rtp://239.45.9.60:9001
北京卫视,rtp://239.112.207.68:8000
广东卫视,rtp://225.1.1.38:8000
深圳卫视,rtp://225.1.1.239:8000
山东卫视,http://live.hunantv.com/live149/index.m3u8
天津卫视,rtp://239.45.9.151:9000
辽宁卫视,http://cctv13.live.cctv.cn/hd32/index.m3u8
黑龙江卫视,rtp://239.45.9.153:1234
安徽卫视,rtp://239.112.207.109:9001
河北卫视,rtp://239.112.207.198:9000
河南卫视,rtp://239.112.207.151:1234
湖北卫视,rtp://239.45.9.130:8000
江西卫视,rtp://225.1.1.75:9000
福建卫视,http://live.hunantv.com/cctv7hd/index.m3u8
四川卫视,rtp://239.45.9.214:8080
重庆卫视,rtp://239.45.9.74:9001
贵州卫视,rtp://225.1.1.47:8080
云南卫视,rtp://239.45.9.15:9001
广西卫视,http://cctv1.live.cctv.cn/cctv12hd/index.m3u8
海南卫视,rtp://225.1.1.222:9000
山西卫视,rtp://225.1.1.90:9901
陕西卫视,http://cctv13.live.cctv.cn/cctv13hd/index.m3u8
甘肃卫视,rtp://239.112.207.51:5140
青海卫视,rtp://225.1.1.14:5140
宁夏卫视,rtp://239.45.9.244:9901
新疆卫视,rtp://225.1.1.77:1234
西藏卫视,rtp://225.1.1.110:8080
内蒙古卫视,http://cctv13.live.cctv.cn/hd2/index.m3u8
吉林卫视,rtp://239.45.9.158:5140
甘肃新闻,rtp://225.1.1.50:8080
甘肃都市,rtp://225.1.1.156:9001
甘肃影视,rtp://239.45.9.209:1234
甘肃生活,rtp://239.112.207.161:9001
甘肃经济,rtp://239.112.207.47:8000
甘肃科教,rtp://225.1.1.188:8080
甘肃体育,rtp://239.112.207.195:5140
甘肃公共,rtp://239.112.207.168:9901
CCTV1 4K,http://live.gdtv.cn/cctv6hd/index.m3u8
CCTV4K,http://live.hunantv.com/live802/index.m3u8
北京纪实4K,http://live.gdtv.cn/hdtv24/index.m3u8
上海纪实4K,http://cctv13.live.cctv.cn/hd24/index.m3u8
广东4K,http://live.cctv.cn/hd36/index.m3u8
咪咕体育4K,http://live.gdtv.cn/hdtv85/index.m3u8
咪咕直播4K,http://live.cctv.cn/live135/index.m3u8
纯享4K,http://live.cctv.cn/live227/index.m3u8
爱上4K,http://live.hunantv.com/cctv1hd/index.m3u8
欢笑剧场4K,http://live.cctv.cn/cctv7hd/index.m3u8
CCTV5体育,http://cctv13.live.cctv.cn/live455/index.m3u8
CCTV5+体育赛事,http://cctv13.live.cctv.cn/live792/index.m3u8
CCTV16奥林匹克,http://live.cctv.cn/hdtv34/index.m3u8
五星体育,rtp://239.112.207.90:5140
广东体育,http://cctv1.live.cctv.cn/hd6/index.m3u8
北京体育,http://cctv1.live.cctv.cn/live376/index.m3u8
劲爆体育,rtp://225.1.1.22:1234
魅力足球,rtp://225.1.1.121:9001
CCTV6电影,http://live.hunantv.com/hd48/index.m3u8
上海电影,rtp://225.1.1.125:5140
广东电影,rtp://239.112.207.108:9001
峨眉电影,rtp://239.112.207.102:9901
CHC高清电影,http://live.hunantv.com/hdtv61/index.m3u8
CHC动作电影,http://cctv13.live.cctv.cn/live727/index.m3u8
CHC家庭影院,rtp://239.45.9.20:9001
都市剧场,rtp://239.45.9.139:1234
CCTV少儿,http://cctv13.live.cctv.cn/hd4/index.m3u8
金鹰卡通,rtp://239.112.207.163:8080
嘉佳卡通,rtp://239.45.9.236:5140
优漫卡通,rtp://239.45.9.70:8000
炫动卡通,http://cctv13.live.cctv.cn/cctv9hd/index.m3u8
卡酷少儿,rtp://239.45.9.37:8080
CCTV新闻,http://live.gdtv.cn/cctv7hd/index.m3u8
CCTV13,http://cctv13.live.cctv.cn/hdtv68/index.m3u8
中国教育1台,http://cctv1.live.cctv.cn/live690/index.m3u8
中国教育2台,rtp://225.1.1.220:8000
凤凰中文,rtp://225.1.1.26:8000
凤凰资讯,http://live.gdtv.cn/hdtv23/index.m3u8
CCTV11戏曲,http://live.hunantv.com/cctv13hd/index.m3u8
梨园频道,rtp://239.112.207.226:5140
文物宝库,rtp://239.45.9.119:9001
国学频道,rtp://225.1.1.229:9901
