# 甘肃省 联通 IPTV直播源
# 生成时间: 2025-06-21 14:02:21
# 频道数量: 111
# 格式: 频道名,直播地址
CCTV1综合,http://live.gdtv.cn/hdtv19/index.m3u8
CCTV2财经,http://live.cctv.cn/live282/index.m3u8
CCTV3综艺,http://live.gdtv.cn/cctv5hd/index.m3u8
CCTV4中文国际,http://live.gdtv.cn/hdtv93/index.m3u8
CCTV5体育,http://live.gdtv.cn/live964/index.m3u8
CCTV5+体育赛事,http://cctv1.live.cctv.cn/hd10/index.m3u8
CCTV6电影,http://live.cctv.cn/cctv11hd/index.m3u8
CCTV7国防军事,http://cctv13.live.cctv.cn/hdtv17/index.m3u8
CCTV8电视剧,http://live.gdtv.cn/live325/index.m3u8
CCTV9纪录,http://cctv13.live.cctv.cn/hd15/index.m3u8
CCTV10科教,http://live.cctv.cn/hdtv66/index.m3u8
CCTV11戏曲,http://cctv13.live.cctv.cn/cctv10hd/index.m3u8
CCTV12社会与法,http://live.gdtv.cn/hdtv93/index.m3u8
CCTV13新闻,http://cctv13.live.cctv.cn/hdtv10/index.m3u8
CCTV14少儿,http://cctv1.live.cctv.cn/hdtv38/index.m3u8
CCTV15音乐,http://cctv1.live.cctv.cn/cctv9hd/index.m3u8
CCTV16奥林匹克,http://cctv13.live.cctv.cn/live243/index.m3u8
CCTV17农业农村,http://live.cctv.cn/hd7/index.m3u8
湖南卫视,rtp://225.1.1.17:8000
浙江卫视,rtp://239.45.9.156:9000
江苏卫视,rtp://225.1.1.72:1234
东方卫视,rtp://225.1.1.165:9001
北京卫视,rtp://239.45.9.157:9901
广东卫视,rtp://225.1.1.17:5140
深圳卫视,rtp://239.45.9.253:9901
山东卫视,http://live.hunantv.com/hd8/index.m3u8
天津卫视,rtp://239.112.207.102:1234
辽宁卫视,rtp://225.1.1.38:9000
黑龙江卫视,http://cctv13.live.cctv.cn/cctv14hd/index.m3u8
安徽卫视,rtp://239.45.9.202:8080
河北卫视,rtp://225.1.1.12:1234
河南卫视,http://live.hunantv.com/hdtv99/index.m3u8
湖北卫视,rtp://239.45.9.86:5140
江西卫视,rtp://239.45.9.37:1234
福建卫视,rtp://239.45.9.118:9000
四川卫视,rtp://239.45.9.28:8080
重庆卫视,rtp://239.112.207.229:9901
贵州卫视,http://live.cctv.cn/live342/index.m3u8
云南卫视,rtp://239.112.207.83:9901
广西卫视,http://live.hunantv.com/cctv1hd/index.m3u8
海南卫视,rtp://225.1.1.100:1234
山西卫视,rtp://225.1.1.249:9001
陕西卫视,rtp://239.112.207.228:8000
甘肃卫视,rtp://225.1.1.209:9000
青海卫视,rtp://225.1.1.180:9001
宁夏卫视,http://live.cctv.cn/hd29/index.m3u8
新疆卫视,rtp://239.112.207.141:8080
西藏卫视,rtp://239.45.9.80:8000
内蒙古卫视,rtp://239.45.9.4:1234
吉林卫视,rtp://239.112.207.245:9901
甘肃新闻,rtp://225.1.1.121:1234
甘肃都市,rtp://225.1.1.233:8080
甘肃影视,rtp://239.112.207.153:9000
甘肃生活,rtp://225.1.1.141:9000
甘肃经济,rtp://225.1.1.211:9001
甘肃科教,rtp://239.45.9.48:9000
甘肃体育,rtp://225.1.1.251:9901
甘肃公共,http://live.hunantv.com/live992/index.m3u8
CCTV1 4K,http://cctv1.live.cctv.cn/cctv3hd/index.m3u8
CCTV4K,http://live.cctv.cn/live871/index.m3u8
北京纪实4K,http://live.cctv.cn/hdtv39/index.m3u8
上海纪实4K,http://cctv1.live.cctv.cn/cctv14hd/index.m3u8
广东4K,http://live.cctv.cn/hdtv31/index.m3u8
咪咕体育4K,http://cctv1.live.cctv.cn/hd4/index.m3u8
咪咕直播4K,http://cctv1.live.cctv.cn/hd30/index.m3u8
纯享4K,http://live.cctv.cn/live998/index.m3u8
爱上4K,http://live.hunantv.com/hd4/index.m3u8
欢笑剧场4K,http://live.cctv.cn/hd17/index.m3u8
CCTV5体育,http://cctv1.live.cctv.cn/hd19/index.m3u8
CCTV5+体育赛事,http://live.hunantv.com/cctv15hd/index.m3u8
CCTV16奥林匹克,http://cctv13.live.cctv.cn/hd23/index.m3u8
五星体育,rtp://225.1.1.115:9901
广东体育,rtp://225.1.1.82:1234
北京体育,rtp://239.45.9.104:9000
劲爆体育,rtp://225.1.1.5:5140
魅力足球,http://live.cctv.cn/hdtv96/index.m3u8
CCTV6电影,http://live.hunantv.com/cctv1hd/index.m3u8
上海电影,http://live.hunantv.com/live382/index.m3u8
广东电影,rtp://225.1.1.227:8000
峨眉电影,rtp://225.1.1.112:8080
CHC高清电影,http://cctv1.live.cctv.cn/cctv6hd/index.m3u8
CHC动作电影,rtp://239.45.9.212:5140
CHC家庭影院,rtp://225.1.1.210:9000
都市剧场,rtp://225.1.1.157:8080
CCTV少儿,http://live.cctv.cn/hdtv42/index.m3u8
金鹰卡通,rtp://225.1.1.78:8080
嘉佳卡通,http://live.cctv.cn/hd46/index.m3u8
优漫卡通,rtp://239.45.9.223:9901
炫动卡通,rtp://239.112.207.235:9000
卡酷少儿,rtp://239.45.9.159:9901
CCTV新闻,http://live.hunantv.com/live297/index.m3u8
CCTV13,http://live.hunantv.com/hd20/index.m3u8
中国教育1台,rtp://239.45.9.5:8000
中国教育2台,rtp://225.1.1.244:8080
凤凰中文,rtp://239.112.207.205:9000
凤凰资讯,rtp://239.45.9.22:8080
CCTV11戏曲,http://live.cctv.cn/live409/index.m3u8
梨园频道,rtp://225.1.1.189:1234
文物宝库,rtp://239.45.9.17:8080
国学频道,rtp://239.112.207.158:8080
秦腔频道,rtp://225.1.1.68:1234
陕西秦腔,rtp://239.112.207.243:8000
甘肃秦腔,rtp://225.1.1.41:8000
