# 福建省 广电 IPTV直播源
# 生成时间: 2025-06-21 14:02:21
# 频道数量: 124
# 格式: 频道名,直播地址
CCTV1综合,http://live.gdtv.cn/hd7/index.m3u8
CCTV2财经,http://live.cctv.cn/cctv12hd/index.m3u8
CCTV3综艺,http://live.gdtv.cn/live544/index.m3u8
CCTV4中文国际,http://live.cctv.cn/cctv6hd/index.m3u8
CCTV5体育,http://cctv13.live.cctv.cn/hdtv9/index.m3u8
CCTV5+体育赛事,http://live.hunantv.com/hdtv37/index.m3u8
CCTV6电影,http://live.hunantv.com/hdtv4/index.m3u8
CCTV7国防军事,http://live.cctv.cn/hdtv25/index.m3u8
CCTV8电视剧,http://live.gdtv.cn/cctv13hd/index.m3u8
CCTV9纪录,http://live.cctv.cn/hd21/index.m3u8
CCTV10科教,http://cctv13.live.cctv.cn/live970/index.m3u8
CCTV11戏曲,http://cctv13.live.cctv.cn/live784/index.m3u8
CCTV12社会与法,http://live.cctv.cn/cctv12hd/index.m3u8
CCTV13新闻,http://cctv13.live.cctv.cn/hd27/index.m3u8
CCTV14少儿,http://live.hunantv.com/hd38/index.m3u8
CCTV15音乐,http://live.gdtv.cn/hd28/index.m3u8
CCTV16奥林匹克,http://live.gdtv.cn/hdtv94/index.m3u8
CCTV17农业农村,http://live.cctv.cn/hdtv86/index.m3u8
湖南卫视,rtp://239.45.0.193:1234
浙江卫视,rtp://239.253.43.26:8080
江苏卫视,rtp://239.45.0.33:5140
东方卫视,rtp://225.1.8.11:5140
北京卫视,http://live.gdtv.cn/hdtv97/index.m3u8
广东卫视,rtp://239.253.43.229:8080
深圳卫视,http://live.hunantv.com/live153/index.m3u8
山东卫视,rtp://239.45.0.35:8080
天津卫视,rtp://239.253.43.22:8000
辽宁卫视,rtp://239.45.0.80:9901
黑龙江卫视,rtp://225.1.8.177:5140
安徽卫视,rtp://239.45.0.180:8000
河北卫视,rtp://239.253.43.117:8080
河南卫视,http://live.cctv.cn/cctv3hd/index.m3u8
湖北卫视,rtp://225.1.8.144:8000
江西卫视,rtp://239.45.0.170:9001
福建卫视,rtp://225.1.8.89:8080
四川卫视,http://live.cctv.cn/hd49/index.m3u8
重庆卫视,rtp://239.45.0.226:5140
贵州卫视,rtp://225.1.8.196:1234
云南卫视,rtp://225.1.8.237:9000
广西卫视,rtp://239.253.43.254:9901
海南卫视,rtp://239.253.43.26:9001
山西卫视,rtp://225.1.8.66:9001
陕西卫视,rtp://225.1.8.115:5140
甘肃卫视,rtp://239.45.0.205:1234
青海卫视,rtp://225.1.8.49:8000
宁夏卫视,rtp://239.253.43.204:5140
新疆卫视,rtp://239.45.0.171:8000
西藏卫视,rtp://239.253.43.32:9901
内蒙古卫视,rtp://239.45.0.253:1234
吉林卫视,rtp://225.1.8.243:9001
福建新闻,http://cctv1.live.cctv.cn/live845/index.m3u8
福建都市,rtp://239.253.43.177:9901
福建影视,http://live.gdtv.cn/hdtv76/index.m3u8
福建生活,rtp://239.45.0.42:9901
福建经济,rtp://225.1.8.153:9901
福建科教,rtp://239.253.43.252:5140
福建体育,rtp://239.253.43.33:9000
福建公共,rtp://225.1.8.69:9001
