# 福建省 电信 IPTV直播源
# 生成时间: 2025-06-21 14:02:21
# 频道数量: 108
# 格式: 频道名,直播地址
CCTV1综合,http://cctv1.live.cctv.cn/hdtv54/index.m3u8
CCTV2财经,http://live.cctv.cn/cctv14hd/index.m3u8
CCTV3综艺,http://live.hunantv.com/hd49/index.m3u8
CCTV4中文国际,http://live.cctv.cn/hdtv90/index.m3u8
CCTV5体育,http://cctv1.live.cctv.cn/hdtv61/index.m3u8
CCTV5+体育赛事,http://live.hunantv.com/hdtv33/index.m3u8
CCTV6电影,http://live.gdtv.cn/live189/index.m3u8
CCTV7国防军事,http://cctv13.live.cctv.cn/hd7/index.m3u8
CCTV8电视剧,http://live.cctv.cn/hdtv78/index.m3u8
CCTV9纪录,http://cctv1.live.cctv.cn/hdtv49/index.m3u8
CCTV10科教,http://live.gdtv.cn/live674/index.m3u8
CCTV11戏曲,http://cctv1.live.cctv.cn/hd25/index.m3u8
CCTV12社会与法,http://live.gdtv.cn/cctv14hd/index.m3u8
CCTV13新闻,http://live.cctv.cn/live481/index.m3u8
CCTV14少儿,http://cctv13.live.cctv.cn/hdtv14/index.m3u8
CCTV15音乐,http://cctv13.live.cctv.cn/hd39/index.m3u8
CCTV16奥林匹克,http://cctv13.live.cctv.cn/cctv7hd/index.m3u8
CCTV17农业农村,http://cctv13.live.cctv.cn/hdtv81/index.m3u8
湖南卫视,http://live.cctv.cn/live738/index.m3u8
浙江卫视,rtp://239.45.0.161:9001
江苏卫视,http://cctv13.live.cctv.cn/hdtv52/index.m3u8
东方卫视,rtp://239.253.43.71:8000
北京卫视,rtp://239.253.43.130:9901
广东卫视,http://live.hunantv.com/cctv7hd/index.m3u8
深圳卫视,rtp://225.1.8.186:1234
山东卫视,rtp://239.45.0.160:8080
天津卫视,rtp://239.253.43.81:8080
辽宁卫视,rtp://239.45.0.32:9901
黑龙江卫视,rtp://225.1.8.41:8080
安徽卫视,http://live.gdtv.cn/hd37/index.m3u8
河北卫视,rtp://239.253.43.18:1234
河南卫视,rtp://239.253.43.163:9901
湖北卫视,rtp://239.253.43.102:9901
江西卫视,rtp://225.1.8.139:8080
福建卫视,rtp://239.253.43.84:9901
四川卫视,rtp://225.1.8.92:8000
重庆卫视,rtp://239.253.43.193:5140
贵州卫视,http://cctv13.live.cctv.cn/live714/index.m3u8
云南卫视,rtp://225.1.8.25:9901
广西卫视,rtp://239.253.43.110:9000
海南卫视,rtp://239.253.43.100:8080
山西卫视,rtp://225.1.8.120:8000
陕西卫视,rtp://225.1.8.207:9001
甘肃卫视,http://cctv1.live.cctv.cn/hdtv32/index.m3u8
青海卫视,rtp://239.45.0.193:1234
宁夏卫视,rtp://225.1.8.123:1234
新疆卫视,rtp://239.45.0.81:1234
西藏卫视,rtp://239.45.0.25:8000
内蒙古卫视,rtp://239.253.43.168:8080
吉林卫视,http://cctv13.live.cctv.cn/live368/index.m3u8
福建新闻,rtp://239.253.43.228:9901
福建都市,rtp://225.1.8.91:9001
福建影视,http://cctv13.live.cctv.cn/cctv6hd/index.m3u8
福建生活,rtp://239.45.0.221:1234
福建经济,rtp://239.253.43.182:8000
福建科教,rtp://239.253.43.93:9901
福建体育,http://live.gdtv.cn/live645/index.m3u8
福建公共,rtp://239.45.0.112:9000
CCTV1 4K,http://live.gdtv.cn/live302/index.m3u8
CCTV4K,http://live.hunantv.com/live702/index.m3u8
北京纪实4K,http://live.cctv.cn/hd28/index.m3u8
上海纪实4K,http://cctv13.live.cctv.cn/hd6/index.m3u8
广东4K,http://cctv13.live.cctv.cn/hd41/index.m3u8
咪咕体育4K,http://live.cctv.cn/hd22/index.m3u8
咪咕直播4K,http://cctv1.live.cctv.cn/hdtv58/index.m3u8
纯享4K,http://cctv1.live.cctv.cn/live582/index.m3u8
爱上4K,http://live.gdtv.cn/hd21/index.m3u8
欢笑剧场4K,http://cctv1.live.cctv.cn/hd34/index.m3u8
CCTV5体育,http://live.gdtv.cn/cctv10hd/index.m3u8
CCTV5+体育赛事,http://live.hunantv.com/cctv11hd/index.m3u8
CCTV16奥林匹克,http://live.cctv.cn/hd9/index.m3u8
五星体育,rtp://225.1.8.44:8000
广东体育,rtp://239.253.43.173:8000
北京体育,rtp://239.253.43.115:9000
劲爆体育,rtp://239.45.0.229:9901
魅力足球,rtp://225.1.8.116:8080
CCTV6电影,http://cctv1.live.cctv.cn/hd11/index.m3u8
上海电影,http://live.cctv.cn/cctv17hd/index.m3u8
广东电影,rtp://239.45.0.212:9901
峨眉电影,http://live.gdtv.cn/hdtv89/index.m3u8
CHC高清电影,http://cctv1.live.cctv.cn/hdtv44/index.m3u8
CHC动作电影,rtp://225.1.8.179:8080
