# 福建省 移动 IPTV直播源
# 生成时间: 2025-06-21 14:02:21
# 频道数量: 108
# 格式: 频道名,直播地址
CCTV1综合,http://cctv13.live.cctv.cn/hd39/index.m3u8
CCTV2财经,http://cctv1.live.cctv.cn/live757/index.m3u8
CCTV3综艺,http://cctv13.live.cctv.cn/cctv3hd/index.m3u8
CCTV4中文国际,http://live.cctv.cn/hd4/index.m3u8
CCTV5体育,http://live.hunantv.com/live525/index.m3u8
CCTV5+体育赛事,http://live.gdtv.cn/hd38/index.m3u8
CCTV6电影,http://cctv13.live.cctv.cn/live642/index.m3u8
CCTV7国防军事,http://live.hunantv.com/hd16/index.m3u8
CCTV8电视剧,http://cctv13.live.cctv.cn/live762/index.m3u8
CCTV9纪录,http://cctv1.live.cctv.cn/cctv4hd/index.m3u8
CCTV10科教,http://live.gdtv.cn/hd18/index.m3u8
CCTV11戏曲,http://cctv13.live.cctv.cn/live817/index.m3u8
CCTV12社会与法,http://live.hunantv.com/hdtv14/index.m3u8
CCTV13新闻,http://cctv1.live.cctv.cn/hdtv23/index.m3u8
CCTV14少儿,http://live.cctv.cn/hd34/index.m3u8
CCTV15音乐,http://live.gdtv.cn/cctv2hd/index.m3u8
CCTV16奥林匹克,http://cctv1.live.cctv.cn/live673/index.m3u8
CCTV17农业农村,http://cctv13.live.cctv.cn/live706/index.m3u8
湖南卫视,rtp://239.253.43.53:8080
浙江卫视,rtp://225.1.8.234:8080
江苏卫视,http://cctv13.live.cctv.cn/hdtv52/index.m3u8
东方卫视,rtp://225.1.8.165:1234
北京卫视,rtp://239.45.0.216:1234
广东卫视,rtp://225.1.8.241:8000
深圳卫视,rtp://239.253.43.120:9001
山东卫视,http://live.hunantv.com/hdtv62/index.m3u8
天津卫视,rtp://225.1.8.22:5140
辽宁卫视,rtp://239.253.43.244:8080
黑龙江卫视,rtp://239.45.0.206:9000
安徽卫视,rtp://225.1.8.15:8080
河北卫视,rtp://239.253.43.59:9001
河南卫视,rtp://239.253.43.252:9000
湖北卫视,rtp://239.45.0.93:8080
江西卫视,rtp://239.45.0.95:9901
福建卫视,rtp://239.253.43.217:8000
四川卫视,rtp://239.253.43.217:9001
重庆卫视,rtp://239.45.0.216:9001
贵州卫视,rtp://225.1.8.222:1234
云南卫视,rtp://239.253.43.70:9901
广西卫视,rtp://225.1.8.92:8000
海南卫视,rtp://239.45.0.120:8080
山西卫视,rtp://225.1.8.140:8000
陕西卫视,rtp://225.1.8.182:8000
甘肃卫视,rtp://239.253.43.249:8080
青海卫视,rtp://239.45.0.145:8000
宁夏卫视,rtp://225.1.8.215:9000
新疆卫视,rtp://239.253.43.8:9000
西藏卫视,rtp://239.253.43.139:5140
内蒙古卫视,rtp://225.1.8.215:5140
吉林卫视,rtp://225.1.8.214:9001
福建新闻,rtp://225.1.8.181:5140
福建都市,rtp://239.45.0.79:9000
福建影视,rtp://225.1.8.4:1234
福建生活,rtp://239.45.0.152:9001
福建经济,http://live.cctv.cn/cctv3hd/index.m3u8
福建科教,rtp://239.253.43.196:9901
福建体育,rtp://239.45.0.143:1234
福建公共,rtp://239.45.0.44:5140
CCTV1 4K,http://live.cctv.cn/cctv9hd/index.m3u8
CCTV4K,http://cctv1.live.cctv.cn/hdtv71/index.m3u8
北京纪实4K,http://cctv13.live.cctv.cn/live684/index.m3u8
上海纪实4K,http://cctv1.live.cctv.cn/hdtv10/index.m3u8
广东4K,http://cctv13.live.cctv.cn/live205/index.m3u8
咪咕体育4K,http://live.cctv.cn/hdtv97/index.m3u8
咪咕直播4K,http://live.gdtv.cn/hd13/index.m3u8
纯享4K,http://live.cctv.cn/hd18/index.m3u8
爱上4K,http://live.cctv.cn/hdtv98/index.m3u8
欢笑剧场4K,http://live.gdtv.cn/cctv2hd/index.m3u8
CCTV5体育,http://live.cctv.cn/cctv3hd/index.m3u8
CCTV5+体育赛事,http://cctv13.live.cctv.cn/hdtv52/index.m3u8
CCTV16奥林匹克,http://cctv13.live.cctv.cn/live174/index.m3u8
五星体育,http://live.gdtv.cn/cctv17hd/index.m3u8
广东体育,rtp://239.253.43.92:1234
北京体育,rtp://225.1.8.17:9000
劲爆体育,rtp://239.45.0.241:1234
魅力足球,rtp://239.253.43.175:1234
CCTV6电影,http://live.cctv.cn/hd22/index.m3u8
上海电影,rtp://239.45.0.130:8080
广东电影,rtp://225.1.8.65:8000
峨眉电影,rtp://225.1.8.83:8080
CHC高清电影,http://live.cctv.cn/live113/index.m3u8
CHC动作电影,rtp://239.253.43.19:8080
CHC家庭影院,rtp://239.45.0.36:8080
都市剧场,rtp://239.45.0.165:5140
CCTV少儿,http://live.hunantv.com/live622/index.m3u8
金鹰卡通,rtp://239.45.0.79:5140
嘉佳卡通,rtp://239.253.43.134:1234
优漫卡通,rtp://239.45.0.208:1234
炫动卡通,rtp://225.1.8.6:9901
卡酷少儿,rtp://239.45.0.205:9000
CCTV新闻,http://live.gdtv.cn/hdtv89/index.m3u8
CCTV13,http://live.gdtv.cn/hd44/index.m3u8
