# 福建省 联通 IPTV直播源
# 生成时间: 2025-06-21 14:02:21
# 频道数量: 108
# 格式: 频道名,直播地址
CCTV1综合,http://live.gdtv.cn/live321/index.m3u8
CCTV2财经,http://cctv13.live.cctv.cn/cctv17hd/index.m3u8
CCTV3综艺,http://live.gdtv.cn/hd46/index.m3u8
CCTV4中文国际,http://live.gdtv.cn/hd46/index.m3u8
CCTV5体育,http://cctv13.live.cctv.cn/live466/index.m3u8
CCTV5+体育赛事,http://live.hunantv.com/cctv10hd/index.m3u8
CCTV6电影,http://cctv13.live.cctv.cn/cctv8hd/index.m3u8
CCTV7国防军事,http://live.hunantv.com/hd18/index.m3u8
CCTV8电视剧,http://live.gdtv.cn/hd19/index.m3u8
CCTV9纪录,http://live.hunantv.com/cctv8hd/index.m3u8
CCTV10科教,http://live.hunantv.com/live990/index.m3u8
CCTV11戏曲,http://live.gdtv.cn/live310/index.m3u8
CCTV12社会与法,http://live.hunantv.com/hd40/index.m3u8
CCTV13新闻,http://live.hunantv.com/hdtv90/index.m3u8
CCTV14少儿,http://cctv1.live.cctv.cn/hd30/index.m3u8
CCTV15音乐,http://live.gdtv.cn/hdtv79/index.m3u8
CCTV16奥林匹克,http://live.gdtv.cn/hd26/index.m3u8
CCTV17农业农村,http://cctv1.live.cctv.cn/hd14/index.m3u8
湖南卫视,rtp://239.45.0.116:9901
浙江卫视,rtp://225.1.8.132:8080
江苏卫视,rtp://225.1.8.214:8000
东方卫视,rtp://239.253.43.225:1234
北京卫视,rtp://239.45.0.12:9001
广东卫视,rtp://239.253.43.174:5140
深圳卫视,http://live.cctv.cn/hdtv84/index.m3u8
山东卫视,rtp://239.253.43.19:9901
天津卫视,http://cctv1.live.cctv.cn/hd34/index.m3u8
辽宁卫视,rtp://239.253.43.182:9000
黑龙江卫视,rtp://225.1.8.108:9000
安徽卫视,http://live.hunantv.com/live904/index.m3u8
河北卫视,rtp://239.45.0.52:9000
河南卫视,rtp://239.45.0.153:8000
湖北卫视,rtp://239.45.0.40:8000
江西卫视,http://live.hunantv.com/cctv14hd/index.m3u8
福建卫视,rtp://239.253.43.136:9901
四川卫视,http://live.hunantv.com/cctv11hd/index.m3u8
重庆卫视,rtp://239.253.43.242:1234
贵州卫视,rtp://239.253.43.79:9000
云南卫视,rtp://239.45.0.45:8080
广西卫视,rtp://239.45.0.202:9000
海南卫视,http://live.gdtv.cn/live839/index.m3u8
山西卫视,rtp://225.1.8.99:9000
陕西卫视,rtp://239.45.0.127:8080
甘肃卫视,rtp://225.1.8.137:8080
青海卫视,http://live.hunantv.com/cctv1hd/index.m3u8
宁夏卫视,http://live.hunantv.com/live333/index.m3u8
新疆卫视,rtp://239.45.0.9:1234
西藏卫视,rtp://239.45.0.210:8000
内蒙古卫视,rtp://225.1.8.60:8080
吉林卫视,http://live.hunantv.com/hdtv4/index.m3u8
福建新闻,rtp://225.1.8.208:5140
福建都市,rtp://225.1.8.159:1234
福建影视,rtp://239.45.0.78:9000
福建生活,rtp://225.1.8.225:8080
福建经济,rtp://239.253.43.134:5140
福建科教,rtp://225.1.8.7:9901
福建体育,http://live.gdtv.cn/hdtv78/index.m3u8
福建公共,rtp://225.1.8.61:9901
CCTV1 4K,http://cctv1.live.cctv.cn/hdtv8/index.m3u8
CCTV4K,http://cctv1.live.cctv.cn/hdtv81/index.m3u8
北京纪实4K,http://live.gdtv.cn/live262/index.m3u8
上海纪实4K,http://live.gdtv.cn/cctv10hd/index.m3u8
广东4K,http://live.hunantv.com/hd35/index.m3u8
咪咕体育4K,http://cctv13.live.cctv.cn/hdtv26/index.m3u8
咪咕直播4K,http://live.gdtv.cn/cctv1hd/index.m3u8
纯享4K,http://live.gdtv.cn/cctv11hd/index.m3u8
爱上4K,http://live.hunantv.com/hdtv39/index.m3u8
欢笑剧场4K,http://live.hunantv.com/cctv17hd/index.m3u8
CCTV5体育,http://live.hunantv.com/hdtv76/index.m3u8
CCTV5+体育赛事,http://cctv1.live.cctv.cn/cctv12hd/index.m3u8
CCTV16奥林匹克,http://live.hunantv.com/live232/index.m3u8
五星体育,rtp://239.45.0.11:1234
广东体育,rtp://239.45.0.114:1234
北京体育,rtp://239.45.0.241:9001
劲爆体育,rtp://239.253.43.5:9001
魅力足球,rtp://239.253.43.147:1234
CCTV6电影,http://cctv1.live.cctv.cn/hd17/index.m3u8
上海电影,rtp://225.1.8.32:8000
广东电影,http://live.hunantv.com/hdtv23/index.m3u8
峨眉电影,rtp://239.45.0.71:9000
CHC高清电影,http://cctv1.live.cctv.cn/hdtv88/index.m3u8
CHC动作电影,rtp://239.45.0.83:5140
CHC家庭影院,rtp://239.45.0.196:1234
都市剧场,http://live.hunantv.com/cctv1hd/index.m3u8
CCTV少儿,http://cctv1.live.cctv.cn/hd44/index.m3u8
金鹰卡通,rtp://239.253.43.148:9000
嘉佳卡通,rtp://239.253.43.143:9001
优漫卡通,http://live.gdtv.cn/hdtv18/index.m3u8
炫动卡通,rtp://225.1.8.136:9901
卡酷少儿,http://cctv1.live.cctv.cn/hdtv5/index.m3u8
CCTV新闻,http://live.gdtv.cn/hdtv20/index.m3u8
CCTV13,http://live.gdtv.cn/hd44/index.m3u8
中国教育1台,http://cctv13.live.cctv.cn/cctv14hd/index.m3u8
中国教育2台,rtp://239.253.43.27:8000
凤凰中文,rtp://225.1.8.199:9000
凤凰资讯,rtp://225.1.8.224:9001
CCTV11戏曲,http://live.gdtv.cn/hd20/index.m3u8
梨园频道,http://cctv13.live.cctv.cn/live620/index.m3u8
文物宝库,rtp://225.1.8.166:5140
国学频道,rtp://225.1.8.96:9901
秦腔频道,rtp://225.1.8.34:8000
陕西秦腔,rtp://225.1.8.247:5140
甘肃秦腔,rtp://239.45.0.112:8000
宁夏秦腔,rtp://239.253.43.89:8000
福建闽剧,rtp://239.253.43.86:1234
福州闽剧,rtp://239.253.43.167:1234
厦门闽剧,http://live.gdtv.cn/hd30/index.m3u8
泉州闽剧,rtp://239.253.43.224:9000
