# 西藏自治区 广电 IPTV直播源
# 生成时间: 2025-06-21 14:02:21
# 频道数量: 120
# 格式: 频道名,直播地址
CCTV1综合,http://cctv1.live.cctv.cn/live352/index.m3u8
CCTV2财经,http://cctv1.live.cctv.cn/hd20/index.m3u8
CCTV3综艺,http://live.hunantv.com/cctv12hd/index.m3u8
CCTV4中文国际,http://live.gdtv.cn/hdtv16/index.m3u8
CCTV5体育,http://live.cctv.cn/live400/index.m3u8
CCTV5+体育赛事,http://cctv13.live.cctv.cn/cctv2hd/index.m3u8
CCTV6电影,http://live.cctv.cn/live398/index.m3u8
CCTV7国防军事,http://live.gdtv.cn/hdtv67/index.m3u8
CCTV8电视剧,http://cctv1.live.cctv.cn/hdtv44/index.m3u8
CCTV9纪录,http://cctv1.live.cctv.cn/cctv2hd/index.m3u8
CCTV10科教,http://live.gdtv.cn/hd38/index.m3u8
CCTV11戏曲,http://live.hunantv.com/cctv17hd/index.m3u8
CCTV12社会与法,http://live.gdtv.cn/hdtv23/index.m3u8
CCTV13新闻,http://cctv13.live.cctv.cn/hd48/index.m3u8
CCTV14少儿,http://live.gdtv.cn/live986/index.m3u8
CCTV15音乐,http://live.cctv.cn/live622/index.m3u8
CCTV16奥林匹克,http://cctv13.live.cctv.cn/cctv13hd/index.m3u8
CCTV17农业农村,http://live.gdtv.cn/cctv2hd/index.m3u8
湖南卫视,rtp://239.45.1.20:9000
浙江卫视,rtp://239.81.0.206:8000
江苏卫视,rtp://239.81.0.83:8080
东方卫视,rtp://239.81.0.159:9000
北京卫视,rtp://239.81.0.226:8080
广东卫视,rtp://239.45.1.8:9901
深圳卫视,rtp://239.112.205.146:8080
山东卫视,rtp://239.45.1.165:8080
天津卫视,rtp://239.112.205.244:9001
辽宁卫视,rtp://239.81.0.84:8000
黑龙江卫视,rtp://239.81.0.60:1234
安徽卫视,rtp://239.81.0.70:1234
河北卫视,rtp://239.45.1.69:9001
河南卫视,rtp://239.112.205.8:9000
湖北卫视,rtp://239.112.205.183:9001
江西卫视,rtp://239.45.1.209:8080
福建卫视,rtp://239.45.1.148:8000
四川卫视,rtp://239.112.205.103:8000
重庆卫视,rtp://239.112.205.27:9901
贵州卫视,rtp://239.45.1.178:9000
云南卫视,rtp://239.45.1.94:8080
广西卫视,http://cctv1.live.cctv.cn/hdtv42/index.m3u8
海南卫视,rtp://239.45.1.113:8000
山西卫视,rtp://239.45.1.192:8080
陕西卫视,rtp://239.45.1.62:8080
甘肃卫视,rtp://239.112.205.3:1234
青海卫视,rtp://239.112.205.69:5140
宁夏卫视,rtp://239.112.205.81:9901
新疆卫视,rtp://239.112.205.170:9001
西藏卫视,rtp://239.45.1.187:1234
内蒙古卫视,rtp://239.45.1.199:8080
吉林卫视,rtp://239.112.205.125:1234
西藏新闻,rtp://239.81.0.62:1234
西藏都市,rtp://239.81.0.178:9901
西藏影视,rtp://239.45.1.150:8000
西藏生活,rtp://239.45.1.84:8000
西藏经济,rtp://239.45.1.92:9901
西藏科教,rtp://239.81.0.90:9001
西藏体育,rtp://239.112.205.128:1234
西藏公共,rtp://239.45.1.89:1234
CCTV1 4K,http://cctv13.live.cctv.cn/live682/index.m3u8
CCTV4K,http://live.gdtv.cn/hd34/index.m3u8
