# 西藏自治区 电信 IPTV直播源
# 生成时间: 2025-06-21 14:02:21
# 频道数量: 104
# 格式: 频道名,直播地址
CCTV1综合,http://cctv13.live.cctv.cn/hd10/index.m3u8
CCTV2财经,http://live.gdtv.cn/hd5/index.m3u8
CCTV3综艺,http://live.gdtv.cn/hdtv53/index.m3u8
CCTV4中文国际,http://cctv13.live.cctv.cn/cctv10hd/index.m3u8
CCTV5体育,http://cctv1.live.cctv.cn/live501/index.m3u8
CCTV5+体育赛事,http://live.gdtv.cn/hdtv85/index.m3u8
CCTV6电影,http://cctv13.live.cctv.cn/hd9/index.m3u8
CCTV7国防军事,http://live.gdtv.cn/live439/index.m3u8
CCTV8电视剧,http://live.hunantv.com/cctv13hd/index.m3u8
CCTV9纪录,http://live.cctv.cn/hd8/index.m3u8
CCTV10科教,http://cctv13.live.cctv.cn/live121/index.m3u8
CCTV11戏曲,http://live.hunantv.com/hdtv82/index.m3u8
CCTV12社会与法,http://live.cctv.cn/hd41/index.m3u8
CCTV13新闻,http://live.cctv.cn/hdtv70/index.m3u8
CCTV14少儿,http://cctv1.live.cctv.cn/hdtv50/index.m3u8
CCTV15音乐,http://cctv1.live.cctv.cn/live576/index.m3u8
CCTV16奥林匹克,http://cctv13.live.cctv.cn/cctv7hd/index.m3u8
CCTV17农业农村,http://cctv13.live.cctv.cn/live509/index.m3u8
湖南卫视,rtp://239.81.0.231:9000
浙江卫视,rtp://239.112.205.83:5140
江苏卫视,rtp://239.45.1.35:8000
东方卫视,rtp://239.81.0.69:9000
北京卫视,rtp://239.45.1.74:9000
广东卫视,http://live.gdtv.cn/hd29/index.m3u8
深圳卫视,rtp://239.81.0.100:9000
山东卫视,rtp://239.112.205.158:9901
天津卫视,http://cctv13.live.cctv.cn/cctv6hd/index.m3u8
辽宁卫视,rtp://239.112.205.249:9901
黑龙江卫视,rtp://239.81.0.16:8080
安徽卫视,rtp://239.81.0.68:9901
河北卫视,rtp://239.81.0.10:1234
河南卫视,rtp://239.45.1.101:8080
湖北卫视,http://live.hunantv.com/hd36/index.m3u8
江西卫视,rtp://239.81.0.206:9000
福建卫视,http://cctv1.live.cctv.cn/hd43/index.m3u8
四川卫视,rtp://239.81.0.109:5140
重庆卫视,rtp://239.45.1.70:9901
贵州卫视,http://cctv1.live.cctv.cn/hdtv47/index.m3u8
云南卫视,rtp://239.45.1.20:9000
广西卫视,http://live.hunantv.com/cctv10hd/index.m3u8
海南卫视,rtp://239.45.1.201:8080
山西卫视,http://live.hunantv.com/hdtv63/index.m3u8
陕西卫视,rtp://239.45.1.247:1234
甘肃卫视,rtp://239.81.0.224:8080
青海卫视,rtp://239.81.0.242:9000
宁夏卫视,rtp://239.81.0.80:9901
新疆卫视,rtp://239.112.205.143:5140
西藏卫视,rtp://239.81.0.20:8080
内蒙古卫视,rtp://239.81.0.78:8000
吉林卫视,rtp://239.45.1.135:9001
西藏新闻,http://live.hunantv.com/cctv1hd/index.m3u8
西藏都市,rtp://239.45.1.14:5140
西藏影视,rtp://239.45.1.203:8000
西藏生活,rtp://239.45.1.119:8080
西藏经济,rtp://239.45.1.171:1234
西藏科教,rtp://239.81.0.214:8000
西藏体育,rtp://239.81.0.22:5140
西藏公共,http://cctv13.live.cctv.cn/cctv3hd/index.m3u8
CCTV1 4K,http://cctv13.live.cctv.cn/live640/index.m3u8
CCTV4K,http://live.hunantv.com/cctv5hd/index.m3u8
北京纪实4K,http://live.cctv.cn/hd16/index.m3u8
上海纪实4K,http://cctv13.live.cctv.cn/live323/index.m3u8
广东4K,http://cctv1.live.cctv.cn/live829/index.m3u8
咪咕体育4K,http://live.cctv.cn/cctv10hd/index.m3u8
咪咕直播4K,http://live.hunantv.com/hd28/index.m3u8
纯享4K,http://cctv1.live.cctv.cn/live752/index.m3u8
爱上4K,http://cctv13.live.cctv.cn/cctv2hd/index.m3u8
欢笑剧场4K,http://live.gdtv.cn/live434/index.m3u8
CCTV5体育,http://cctv13.live.cctv.cn/hd48/index.m3u8
CCTV5+体育赛事,http://live.gdtv.cn/cctv5hd/index.m3u8
CCTV16奥林匹克,http://live.hunantv.com/hdtv89/index.m3u8
五星体育,rtp://239.81.0.56:8080
广东体育,rtp://239.81.0.206:5140
北京体育,rtp://239.81.0.56:5140
劲爆体育,rtp://239.112.205.211:8000
魅力足球,rtp://239.112.205.241:9001
CCTV6电影,http://live.gdtv.cn/cctv1hd/index.m3u8
上海电影,rtp://239.45.1.159:5140
广东电影,rtp://239.112.205.138:8000
峨眉电影,rtp://239.112.205.23:8080
CHC高清电影,http://live.cctv.cn/cctv15hd/index.m3u8
CHC动作电影,rtp://239.81.0.40:5140
CHC家庭影院,rtp://239.81.0.96:9001
都市剧场,rtp://239.112.205.91:5140
CCTV少儿,http://live.cctv.cn/hd50/index.m3u8
金鹰卡通,rtp://239.81.0.51:1234
嘉佳卡通,rtp://239.112.205.183:5140
优漫卡通,http://cctv1.live.cctv.cn/hdtv98/index.m3u8
炫动卡通,rtp://239.45.1.105:9001
卡酷少儿,rtp://239.81.0.176:9001
CCTV新闻,http://live.gdtv.cn/live387/index.m3u8
CCTV13,http://cctv1.live.cctv.cn/live889/index.m3u8
中国教育1台,rtp://239.112.205.169:9000
中国教育2台,rtp://239.81.0.251:9901
凤凰中文,rtp://239.45.1.165:8000
凤凰资讯,rtp://239.81.0.171:1234
CCTV11戏曲,http://cctv13.live.cctv.cn/hdtv68/index.m3u8
梨园频道,rtp://239.45.1.181:8080
文物宝库,rtp://239.112.205.10:1234
国学频道,rtp://239.81.0.230:5140
秦腔频道,rtp://239.112.205.65:1234
陕西秦腔,rtp://239.81.0.183:5140
甘肃秦腔,rtp://239.81.0.70:9000
宁夏秦腔,rtp://239.45.1.144:9000
