# 西藏自治区 移动 IPTV直播源
# 生成时间: 2025-06-21 14:02:21
# 频道数量: 104
# 格式: 频道名,直播地址
CCTV1综合,http://cctv13.live.cctv.cn/cctv17hd/index.m3u8
CCTV2财经,http://live.gdtv.cn/cctv10hd/index.m3u8
CCTV3综艺,http://live.gdtv.cn/hd40/index.m3u8
CCTV4中文国际,http://cctv1.live.cctv.cn/cctv15hd/index.m3u8
CCTV5体育,http://cctv13.live.cctv.cn/hdtv53/index.m3u8
CCTV5+体育赛事,http://live.hunantv.com/cctv5hd/index.m3u8
CCTV6电影,http://cctv1.live.cctv.cn/live180/index.m3u8
CCTV7国防军事,http://cctv1.live.cctv.cn/live238/index.m3u8
CCTV8电视剧,http://cctv1.live.cctv.cn/hdtv32/index.m3u8
CCTV9纪录,http://live.cctv.cn/hd43/index.m3u8
CCTV10科教,http://live.gdtv.cn/live794/index.m3u8
CCTV11戏曲,http://live.cctv.cn/hd27/index.m3u8
CCTV12社会与法,http://live.gdtv.cn/hdtv94/index.m3u8
CCTV13新闻,http://cctv13.live.cctv.cn/cctv12hd/index.m3u8
CCTV14少儿,http://live.hunantv.com/cctv13hd/index.m3u8
CCTV15音乐,http://live.gdtv.cn/live956/index.m3u8
CCTV16奥林匹克,http://cctv13.live.cctv.cn/cctv13hd/index.m3u8
CCTV17农业农村,http://live.hunantv.com/hd14/index.m3u8
湖南卫视,rtp://239.112.205.84:1234
浙江卫视,rtp://239.81.0.148:9901
江苏卫视,rtp://239.45.1.107:8080
东方卫视,rtp://239.81.0.225:5140
北京卫视,rtp://239.45.1.5:8000
广东卫视,rtp://239.112.205.11:9000
深圳卫视,rtp://239.112.205.19:1234
山东卫视,rtp://239.112.205.80:9001
天津卫视,rtp://239.45.1.194:9000
辽宁卫视,rtp://239.45.1.178:9000
黑龙江卫视,rtp://239.112.205.125:9901
安徽卫视,rtp://239.112.205.29:1234
河北卫视,http://cctv13.live.cctv.cn/cctv17hd/index.m3u8
河南卫视,rtp://239.45.1.247:9000
湖北卫视,rtp://239.45.1.105:9901
江西卫视,rtp://239.81.0.76:9901
福建卫视,rtp://239.81.0.187:5140
四川卫视,rtp://239.45.1.19:9901
重庆卫视,rtp://239.45.1.181:9000
贵州卫视,rtp://239.45.1.104:1234
云南卫视,rtp://239.45.1.185:9000
广西卫视,rtp://239.81.0.83:9000
海南卫视,http://live.cctv.cn/hdtv37/index.m3u8
山西卫视,http://cctv1.live.cctv.cn/hdtv65/index.m3u8
陕西卫视,rtp://239.45.1.230:9901
甘肃卫视,rtp://239.81.0.166:1234
青海卫视,http://cctv1.live.cctv.cn/hdtv51/index.m3u8
宁夏卫视,rtp://239.45.1.175:5140
新疆卫视,rtp://239.45.1.242:9901
西藏卫视,rtp://239.45.1.254:9901
内蒙古卫视,rtp://239.45.1.229:5140
吉林卫视,rtp://239.81.0.17:1234
西藏新闻,rtp://239.45.1.57:9001
西藏都市,rtp://239.81.0.161:8080
西藏影视,rtp://239.112.205.11:9901
西藏生活,rtp://239.45.1.214:9901
西藏经济,http://live.cctv.cn/cctv11hd/index.m3u8
西藏科教,rtp://239.45.1.3:5140
西藏体育,rtp://239.45.1.121:1234
西藏公共,rtp://239.81.0.195:5140
CCTV1 4K,http://live.gdtv.cn/hd45/index.m3u8
CCTV4K,http://live.cctv.cn/hdtv48/index.m3u8
北京纪实4K,http://live.cctv.cn/live308/index.m3u8
上海纪实4K,http://live.gdtv.cn/hdtv64/index.m3u8
广东4K,http://live.hunantv.com/hd35/index.m3u8
咪咕体育4K,http://live.hunantv.com/live265/index.m3u8
咪咕直播4K,http://cctv1.live.cctv.cn/hdtv85/index.m3u8
纯享4K,http://live.hunantv.com/hdtv51/index.m3u8
爱上4K,http://cctv13.live.cctv.cn/cctv12hd/index.m3u8
欢笑剧场4K,http://live.cctv.cn/cctv8hd/index.m3u8
CCTV5体育,http://live.cctv.cn/cctv11hd/index.m3u8
CCTV5+体育赛事,http://live.gdtv.cn/hd2/index.m3u8
CCTV16奥林匹克,http://cctv1.live.cctv.cn/live475/index.m3u8
五星体育,rtp://239.81.0.66:9901
广东体育,rtp://239.45.1.213:9901
北京体育,rtp://239.81.0.60:5140
劲爆体育,http://cctv1.live.cctv.cn/live568/index.m3u8
魅力足球,rtp://239.45.1.66:8000
CCTV6电影,http://cctv1.live.cctv.cn/cctv17hd/index.m3u8
上海电影,rtp://239.112.205.2:1234
广东电影,rtp://239.81.0.181:1234
峨眉电影,rtp://239.45.1.240:9901
CHC高清电影,http://cctv13.live.cctv.cn/hdtv78/index.m3u8
CHC动作电影,http://live.gdtv.cn/live283/index.m3u8
CHC家庭影院,rtp://239.112.205.18:9000
都市剧场,rtp://239.112.205.78:9000
CCTV少儿,http://cctv13.live.cctv.cn/hd45/index.m3u8
金鹰卡通,rtp://239.112.205.236:8000
嘉佳卡通,rtp://239.112.205.5:9000
优漫卡通,rtp://239.112.205.27:8080
炫动卡通,rtp://239.81.0.170:9901
卡酷少儿,rtp://239.81.0.12:9000
CCTV新闻,http://live.gdtv.cn/hd33/index.m3u8
CCTV13,http://cctv1.live.cctv.cn/live292/index.m3u8
中国教育1台,http://live.gdtv.cn/cctv4hd/index.m3u8
中国教育2台,http://live.gdtv.cn/live949/index.m3u8
凤凰中文,http://cctv13.live.cctv.cn/cctv10hd/index.m3u8
凤凰资讯,rtp://239.45.1.54:9901
CCTV11戏曲,http://cctv1.live.cctv.cn/hd26/index.m3u8
梨园频道,rtp://239.112.205.101:9000
文物宝库,rtp://239.81.0.197:5140
国学频道,rtp://239.81.0.146:8080
秦腔频道,rtp://239.112.205.230:9000
陕西秦腔,rtp://239.112.205.16:8080
甘肃秦腔,rtp://239.45.1.49:9001
宁夏秦腔,rtp://239.112.205.122:9901
