# 西藏自治区 联通 IPTV直播源
# 生成时间: 2025-06-21 14:02:21
# 频道数量: 104
# 格式: 频道名,直播地址
CCTV1综合,http://live.hunantv.com/cctv6hd/index.m3u8
CCTV2财经,http://live.gdtv.cn/hd27/index.m3u8
CCTV3综艺,http://live.hunantv.com/hd38/index.m3u8
CCTV4中文国际,http://live.gdtv.cn/hd34/index.m3u8
CCTV5体育,http://live.cctv.cn/cctv1hd/index.m3u8
CCTV5+体育赛事,http://cctv1.live.cctv.cn/cctv10hd/index.m3u8
CCTV6电影,http://cctv1.live.cctv.cn/live783/index.m3u8
CCTV7国防军事,http://live.gdtv.cn/hdtv21/index.m3u8
CCTV8电视剧,http://cctv13.live.cctv.cn/hd20/index.m3u8
CCTV9纪录,http://live.cctv.cn/cctv15hd/index.m3u8
CCTV10科教,http://cctv13.live.cctv.cn/live146/index.m3u8
CCTV11戏曲,http://live.hunantv.com/live317/index.m3u8
CCTV12社会与法,http://live.gdtv.cn/hdtv40/index.m3u8
CCTV13新闻,http://cctv13.live.cctv.cn/cctv13hd/index.m3u8
CCTV14少儿,http://live.cctv.cn/hdtv56/index.m3u8
CCTV15音乐,http://live.hunantv.com/hd22/index.m3u8
CCTV16奥林匹克,http://live.gdtv.cn/hd50/index.m3u8
CCTV17农业农村,http://cctv13.live.cctv.cn/live479/index.m3u8
湖南卫视,rtp://239.112.205.168:8080
浙江卫视,rtp://239.81.0.91:8080
江苏卫视,rtp://239.45.1.150:9001
东方卫视,http://live.gdtv.cn/hdtv59/index.m3u8
北京卫视,rtp://239.112.205.208:1234
广东卫视,rtp://239.81.0.58:5140
深圳卫视,rtp://239.112.205.174:8080
山东卫视,rtp://239.81.0.101:8080
天津卫视,rtp://239.112.205.246:9901
辽宁卫视,rtp://239.45.1.5:8000
黑龙江卫视,rtp://239.81.0.133:8000
安徽卫视,rtp://239.112.205.213:8000
河北卫视,rtp://239.45.1.183:9901
河南卫视,rtp://239.45.1.52:5140
湖北卫视,rtp://239.81.0.251:5140
江西卫视,http://live.hunantv.com/hdtv63/index.m3u8
福建卫视,rtp://239.45.1.131:9000
四川卫视,rtp://239.112.205.186:9901
重庆卫视,rtp://239.112.205.150:5140
贵州卫视,rtp://239.45.1.81:9001
云南卫视,rtp://239.81.0.216:8080
广西卫视,http://live.gdtv.cn/hdtv62/index.m3u8
海南卫视,rtp://239.81.0.251:9901
山西卫视,rtp://239.45.1.202:1234
陕西卫视,rtp://239.81.0.149:8000
甘肃卫视,rtp://239.45.1.208:9000
青海卫视,http://live.hunantv.com/cctv8hd/index.m3u8
宁夏卫视,rtp://239.45.1.32:5140
新疆卫视,rtp://239.81.0.215:9000
西藏卫视,http://live.hunantv.com/cctv13hd/index.m3u8
内蒙古卫视,rtp://239.81.0.184:5140
吉林卫视,rtp://239.112.205.134:1234
西藏新闻,rtp://239.81.0.143:8080
西藏都市,rtp://239.112.205.229:9001
西藏影视,http://live.gdtv.cn/cctv17hd/index.m3u8
西藏生活,rtp://239.81.0.86:8000
西藏经济,rtp://239.45.1.65:9000
西藏科教,rtp://239.45.1.158:9901
西藏体育,rtp://239.81.0.116:8000
西藏公共,rtp://239.45.1.47:9000
CCTV1 4K,http://cctv1.live.cctv.cn/hdtv25/index.m3u8
CCTV4K,http://live.hunantv.com/hd48/index.m3u8
北京纪实4K,http://live.cctv.cn/live709/index.m3u8
上海纪实4K,http://live.gdtv.cn/hdtv39/index.m3u8
广东4K,http://live.hunantv.com/live323/index.m3u8
咪咕体育4K,http://cctv13.live.cctv.cn/hdtv42/index.m3u8
咪咕直播4K,http://live.hunantv.com/hd38/index.m3u8
纯享4K,http://cctv13.live.cctv.cn/hdtv24/index.m3u8
爱上4K,http://live.cctv.cn/hd2/index.m3u8
欢笑剧场4K,http://live.cctv.cn/hd20/index.m3u8
CCTV5体育,http://cctv1.live.cctv.cn/hdtv73/index.m3u8
CCTV5+体育赛事,http://live.cctv.cn/hd36/index.m3u8
CCTV16奥林匹克,http://live.hunantv.com/live272/index.m3u8
五星体育,rtp://239.81.0.49:5140
广东体育,rtp://239.81.0.205:8080
北京体育,rtp://239.81.0.212:8080
劲爆体育,rtp://239.112.205.79:8000
魅力足球,rtp://239.112.205.237:8000
CCTV6电影,http://cctv13.live.cctv.cn/cctv14hd/index.m3u8
上海电影,rtp://239.112.205.5:5140
广东电影,rtp://239.81.0.184:5140
峨眉电影,http://cctv13.live.cctv.cn/hd29/index.m3u8
CHC高清电影,http://live.hunantv.com/hd12/index.m3u8
CHC动作电影,rtp://239.81.0.192:8000
CHC家庭影院,rtp://239.45.1.127:9000
都市剧场,rtp://239.45.1.105:9901
CCTV少儿,http://live.gdtv.cn/hdtv34/index.m3u8
金鹰卡通,http://live.hunantv.com/live659/index.m3u8
嘉佳卡通,http://live.cctv.cn/hdtv8/index.m3u8
优漫卡通,rtp://239.112.205.50:8000
炫动卡通,http://live.hunantv.com/live874/index.m3u8
卡酷少儿,rtp://239.81.0.109:8000
CCTV新闻,http://cctv1.live.cctv.cn/hdtv29/index.m3u8
CCTV13,http://cctv1.live.cctv.cn/hd34/index.m3u8
中国教育1台,rtp://239.81.0.3:9000
中国教育2台,rtp://239.112.205.77:5140
凤凰中文,rtp://239.112.205.43:5140
凤凰资讯,rtp://239.81.0.102:1234
CCTV11戏曲,http://cctv13.live.cctv.cn/cctv9hd/index.m3u8
梨园频道,http://live.gdtv.cn/live393/index.m3u8
文物宝库,rtp://239.81.0.118:9001
国学频道,rtp://239.45.1.146:9901
秦腔频道,rtp://239.45.1.93:9000
陕西秦腔,rtp://239.112.205.231:8000
甘肃秦腔,http://live.gdtv.cn/cctv13hd/index.m3u8
宁夏秦腔,rtp://239.45.1.87:9000
