# 辽宁省 广电 IPTV直播源
# 生成时间: 2025-06-21 14:02:21
# 频道数量: 124
# 格式: 频道名,直播地址
CCTV1综合,http://live.hunantv.com/hdtv34/index.m3u8
CCTV2财经,http://cctv13.live.cctv.cn/hdtv27/index.m3u8
CCTV3综艺,http://cctv13.live.cctv.cn/hd38/index.m3u8
CCTV4中文国际,http://cctv13.live.cctv.cn/cctv8hd/index.m3u8
CCTV5体育,http://cctv13.live.cctv.cn/live640/index.m3u8
CCTV5+体育赛事,http://live.gdtv.cn/live671/index.m3u8
CCTV6电影,http://cctv1.live.cctv.cn/hdtv3/index.m3u8
CCTV7国防军事,http://live.hunantv.com/cctv4hd/index.m3u8
CCTV8电视剧,http://cctv13.live.cctv.cn/live334/index.m3u8
CCTV9纪录,http://live.cctv.cn/hdtv44/index.m3u8
CCTV10科教,http://live.hunantv.com/hd1/index.m3u8
CCTV11戏曲,http://live.cctv.cn/hd46/index.m3u8
CCTV12社会与法,http://cctv1.live.cctv.cn/live138/index.m3u8
CCTV13新闻,http://cctv13.live.cctv.cn/hd9/index.m3u8
CCTV14少儿,http://live.gdtv.cn/hd4/index.m3u8
CCTV15音乐,http://live.gdtv.cn/hd3/index.m3u8
CCTV16奥林匹克,http://live.gdtv.cn/cctv11hd/index.m3u8
CCTV17农业农村,http://cctv13.live.cctv.cn/cctv3hd/index.m3u8
湖南卫视,http://live.cctv.cn/cctv1hd/index.m3u8
浙江卫视,rtp://239.45.3.24:9000
江苏卫视,rtp://239.253.43.117:5140
东方卫视,rtp://239.45.3.30:9901
北京卫视,rtp://239.253.43.81:9000
广东卫视,rtp://239.45.3.64:9001
深圳卫视,rtp://239.253.43.221:8000
山东卫视,rtp://239.45.3.11:5140
天津卫视,rtp://239.45.3.109:9901
辽宁卫视,rtp://239.253.43.103:9000
黑龙江卫视,rtp://239.21.0.172:8000
安徽卫视,http://live.hunantv.com/hd33/index.m3u8
河北卫视,rtp://239.45.3.194:5140
河南卫视,http://cctv13.live.cctv.cn/hd4/index.m3u8
湖北卫视,rtp://239.21.0.205:8000
江西卫视,rtp://239.253.43.120:5140
福建卫视,rtp://239.21.0.223:8000
四川卫视,http://live.gdtv.cn/cctv4hd/index.m3u8
重庆卫视,rtp://239.45.3.113:1234
贵州卫视,http://live.cctv.cn/live188/index.m3u8
云南卫视,rtp://239.21.0.192:9901
广西卫视,http://live.gdtv.cn/cctv9hd/index.m3u8
海南卫视,rtp://239.45.3.240:8080
山西卫视,http://cctv13.live.cctv.cn/live939/index.m3u8
陕西卫视,http://cctv1.live.cctv.cn/hdtv9/index.m3u8
甘肃卫视,rtp://239.45.3.19:9000
青海卫视,http://cctv13.live.cctv.cn/cctv2hd/index.m3u8
宁夏卫视,rtp://239.21.0.228:9901
新疆卫视,http://live.gdtv.cn/hd8/index.m3u8
西藏卫视,http://cctv1.live.cctv.cn/hdtv85/index.m3u8
内蒙古卫视,rtp://239.45.3.251:9901
吉林卫视,rtp://239.21.0.23:9901
辽宁新闻,rtp://239.45.3.36:9001
辽宁都市,rtp://239.253.43.109:5140
辽宁影视,rtp://239.253.43.71:8080
辽宁生活,rtp://239.253.43.209:9001
辽宁经济,http://live.cctv.cn/hdtv19/index.m3u8
辽宁科教,rtp://239.45.3.195:8000
辽宁体育,http://live.cctv.cn/hd49/index.m3u8
辽宁公共,rtp://239.45.3.65:5140
CCTV1 4K,http://live.gdtv.cn/hdtv72/index.m3u8
CCTV4K,http://cctv13.live.cctv.cn/hdtv96/index.m3u8
北京纪实4K,http://cctv1.live.cctv.cn/hd20/index.m3u8
上海纪实4K,http://cctv13.live.cctv.cn/cctv12hd/index.m3u8
广东4K,http://cctv13.live.cctv.cn/live126/index.m3u8
咪咕体育4K,http://live.cctv.cn/hd37/index.m3u8
咪咕直播4K,http://live.gdtv.cn/cctv11hd/index.m3u8
纯享4K,http://cctv13.live.cctv.cn/cctv6hd/index.m3u8
爱上4K,http://live.gdtv.cn/cctv9hd/index.m3u8
欢笑剧场4K,http://live.hunantv.com/cctv9hd/index.m3u8
CCTV5体育,http://live.gdtv.cn/live937/index.m3u8
CCTV5+体育赛事,http://cctv13.live.cctv.cn/cctv4hd/index.m3u8
CCTV16奥林匹克,http://live.cctv.cn/cctv7hd/index.m3u8
五星体育,http://live.hunantv.com/hd17/index.m3u8
广东体育,rtp://239.253.43.113:5140
北京体育,rtp://239.253.43.48:9901
劲爆体育,rtp://239.253.43.16:9901
魅力足球,rtp://239.21.0.205:9901
CCTV6电影,http://cctv1.live.cctv.cn/hd43/index.m3u8
上海电影,http://live.gdtv.cn/cctv8hd/index.m3u8
广东电影,http://cctv1.live.cctv.cn/live806/index.m3u8
峨眉电影,http://cctv1.live.cctv.cn/live706/index.m3u8
CHC高清电影,http://live.cctv.cn/hd9/index.m3u8
CHC动作电影,rtp://239.253.43.97:5140
CHC家庭影院,http://live.cctv.cn/live815/index.m3u8
都市剧场,rtp://239.45.3.203:1234
CCTV少儿,http://live.hunantv.com/cctv6hd/index.m3u8
金鹰卡通,rtp://239.45.3.34:1234
嘉佳卡通,rtp://239.21.0.48:8000
优漫卡通,rtp://239.253.43.160:1234
炫动卡通,rtp://239.45.3.60:9000
卡酷少儿,rtp://239.21.0.236:9000
CCTV新闻,http://cctv1.live.cctv.cn/cctv15hd/index.m3u8
CCTV13,http://cctv13.live.cctv.cn/hd42/index.m3u8
中国教育1台,http://cctv1.live.cctv.cn/live720/index.m3u8
中国教育2台,rtp://239.21.0.164:9001
凤凰中文,rtp://239.253.43.110:1234
凤凰资讯,rtp://239.21.0.45:9000
CCTV11戏曲,http://cctv13.live.cctv.cn/hd24/index.m3u8
梨园频道,rtp://239.45.3.25:9001
文物宝库,rtp://239.253.43.154:5140
国学频道,rtp://239.21.0.176:1234
秦腔频道,http://live.cctv.cn/hdtv31/index.m3u8
陕西秦腔,rtp://239.21.0.171:5140
甘肃秦腔,rtp://239.21.0.214:9000
宁夏秦腔,rtp://239.253.43.22:9000
辽宁评剧,rtp://239.21.0.54:5140
沈阳评剧,rtp://239.45.3.96:9000
大连评剧,http://cctv1.live.cctv.cn/hd22/index.m3u8
鞍山评剧,rtp://239.45.3.1:9000
中国广电4K,http://live.gdtv.cn/hdtv85/index.m3u8
广电精品,rtp://239.253.43.39:1234
广电影视,rtp://239.21.0.225:9001
广电纪实,rtp://239.21.0.238:9901
广电体育,rtp://239.45.3.113:9901
广电新闻,rtp://239.21.0.224:9901
广电综艺,http://cctv13.live.cctv.cn/hdtv15/index.m3u8
广电少儿,rtp://239.253.43.105:8080
广电音乐,rtp://239.253.43.215:5140
广电戏曲,http://live.cctv.cn/live430/index.m3u8
广电科教,rtp://239.21.0.166:5140
广电购物,rtp://239.45.3.34:9901
IPTV经典电影,rtp://239.21.0.57:9001
IPTV热播剧场,rtp://239.253.43.227:9001
IPTV魅力时尚,http://cctv13.live.cctv.cn/live614/index.m3u8
IPTV收视指南,rtp://239.45.3.151:9901
