# 辽宁省 电信 IPTV直播源
# 生成时间: 2025-06-21 14:02:21
# 频道数量: 108
# 格式: 频道名,直播地址
CCTV1综合,http://cctv13.live.cctv.cn/cctv17hd/index.m3u8
CCTV2财经,http://live.gdtv.cn/live745/index.m3u8
CCTV3综艺,http://cctv13.live.cctv.cn/hd30/index.m3u8
CCTV4中文国际,http://live.hunantv.com/live301/index.m3u8
CCTV5体育,http://cctv13.live.cctv.cn/hd39/index.m3u8
CCTV5+体育赛事,http://live.hunantv.com/hd12/index.m3u8
CCTV6电影,http://cctv1.live.cctv.cn/cctv8hd/index.m3u8
CCTV7国防军事,http://cctv1.live.cctv.cn/hd12/index.m3u8
CCTV8电视剧,http://live.hunantv.com/cctv2hd/index.m3u8
CCTV9纪录,http://live.hunantv.com/cctv8hd/index.m3u8
CCTV10科教,http://cctv1.live.cctv.cn/hd22/index.m3u8
CCTV11戏曲,http://cctv13.live.cctv.cn/hd46/index.m3u8
CCTV12社会与法,http://live.cctv.cn/live851/index.m3u8
CCTV13新闻,http://cctv1.live.cctv.cn/live886/index.m3u8
CCTV14少儿,http://cctv1.live.cctv.cn/live604/index.m3u8
CCTV15音乐,http://live.cctv.cn/hd38/index.m3u8
CCTV16奥林匹克,http://cctv1.live.cctv.cn/hdtv22/index.m3u8
CCTV17农业农村,http://live.cctv.cn/live803/index.m3u8
湖南卫视,rtp://239.45.3.166:9000
浙江卫视,http://cctv1.live.cctv.cn/hdtv63/index.m3u8
江苏卫视,rtp://239.21.0.32:9001
东方卫视,http://live.hunantv.com/cctv9hd/index.m3u8
北京卫视,rtp://239.45.3.20:9901
广东卫视,rtp://239.21.0.55:9901
深圳卫视,rtp://239.45.3.85:5140
山东卫视,rtp://239.253.43.142:9000
天津卫视,http://live.hunantv.com/hd19/index.m3u8
辽宁卫视,http://cctv13.live.cctv.cn/cctv6hd/index.m3u8
黑龙江卫视,rtp://239.21.0.148:8000
安徽卫视,rtp://239.21.0.11:9901
河北卫视,rtp://239.45.3.72:9001
河南卫视,rtp://239.253.43.1:9001
湖北卫视,rtp://239.21.0.180:9000
江西卫视,rtp://239.253.43.241:1234
福建卫视,rtp://239.45.3.112:1234
四川卫视,rtp://239.45.3.128:9901
重庆卫视,http://live.hunantv.com/cctv12hd/index.m3u8
贵州卫视,rtp://239.21.0.201:8080
云南卫视,rtp://239.253.43.78:9000
广西卫视,rtp://239.45.3.233:1234
海南卫视,http://live.gdtv.cn/cctv17hd/index.m3u8
山西卫视,rtp://239.45.3.215:9001
陕西卫视,rtp://239.21.0.212:8000
甘肃卫视,http://live.hunantv.com/hd7/index.m3u8
青海卫视,http://live.hunantv.com/live378/index.m3u8
宁夏卫视,rtp://239.253.43.204:1234
新疆卫视,rtp://239.253.43.20:8000
西藏卫视,rtp://239.21.0.145:1234
内蒙古卫视,rtp://239.21.0.37:8080
吉林卫视,rtp://239.45.3.31:9901
辽宁新闻,rtp://239.253.43.20:9901
辽宁都市,rtp://239.45.3.6:5140
辽宁影视,rtp://239.253.43.91:8080
辽宁生活,rtp://239.253.43.155:8000
辽宁经济,http://live.gdtv.cn/cctv5hd/index.m3u8
辽宁科教,http://cctv13.live.cctv.cn/hdtv3/index.m3u8
辽宁体育,rtp://239.21.0.162:9000
辽宁公共,rtp://239.253.43.227:5140
CCTV1 4K,http://cctv13.live.cctv.cn/live800/index.m3u8
CCTV4K,http://live.hunantv.com/hdtv59/index.m3u8
北京纪实4K,http://live.gdtv.cn/live325/index.m3u8
上海纪实4K,http://live.gdtv.cn/hdtv89/index.m3u8
广东4K,http://live.cctv.cn/cctv17hd/index.m3u8
咪咕体育4K,http://cctv13.live.cctv.cn/cctv14hd/index.m3u8
咪咕直播4K,http://cctv1.live.cctv.cn/cctv11hd/index.m3u8
纯享4K,http://cctv1.live.cctv.cn/hd23/index.m3u8
爱上4K,http://cctv13.live.cctv.cn/hd42/index.m3u8
欢笑剧场4K,http://live.hunantv.com/live765/index.m3u8
CCTV5体育,http://cctv13.live.cctv.cn/cctv12hd/index.m3u8
CCTV5+体育赛事,http://live.gdtv.cn/cctv9hd/index.m3u8
CCTV16奥林匹克,http://live.hunantv.com/hd6/index.m3u8
五星体育,rtp://239.45.3.244:9901
广东体育,http://live.cctv.cn/cctv4hd/index.m3u8
北京体育,http://cctv1.live.cctv.cn/hdtv57/index.m3u8
劲爆体育,rtp://239.21.0.89:8000
魅力足球,rtp://239.253.43.166:8000
CCTV6电影,http://live.cctv.cn/hdtv54/index.m3u8
上海电影,rtp://239.21.0.205:9001
广东电影,rtp://239.21.0.1:9901
峨眉电影,http://live.hunantv.com/hdtv4/index.m3u8
CHC高清电影,http://cctv1.live.cctv.cn/hd3/index.m3u8
CHC动作电影,rtp://239.253.43.58:9901
CHC家庭影院,rtp://239.45.3.227:9901
都市剧场,rtp://239.45.3.128:9001
CCTV少儿,http://cctv13.live.cctv.cn/hdtv56/index.m3u8
金鹰卡通,rtp://239.45.3.134:9001
嘉佳卡通,rtp://239.45.3.180:9000
优漫卡通,rtp://239.253.43.135:9001
炫动卡通,rtp://239.45.3.31:9901
卡酷少儿,rtp://239.21.0.44:8000
CCTV新闻,http://live.gdtv.cn/hd14/index.m3u8
CCTV13,http://live.gdtv.cn/cctv12hd/index.m3u8
中国教育1台,rtp://239.253.43.232:9901
中国教育2台,rtp://239.253.43.37:9901
凤凰中文,rtp://239.21.0.64:9901
凤凰资讯,rtp://239.253.43.157:9000
CCTV11戏曲,http://cctv13.live.cctv.cn/cctv13hd/index.m3u8
梨园频道,rtp://239.21.0.17:9901
文物宝库,rtp://239.21.0.216:9901
国学频道,http://live.cctv.cn/hdtv78/index.m3u8
秦腔频道,http://live.cctv.cn/hd16/index.m3u8
陕西秦腔,rtp://239.45.3.215:9901
甘肃秦腔,rtp://239.253.43.174:8000
宁夏秦腔,rtp://239.45.3.189:5140
辽宁评剧,rtp://239.21.0.225:1234
沈阳评剧,rtp://239.253.43.237:8080
大连评剧,rtp://239.45.3.204:1234
鞍山评剧,http://live.hunantv.com/hdtv99/index.m3u8
