# 辽宁省 移动 IPTV直播源
# 生成时间: 2025-06-21 14:02:21
# 频道数量: 108
# 格式: 频道名,直播地址
CCTV1综合,http://cctv13.live.cctv.cn/live148/index.m3u8
CCTV2财经,http://cctv1.live.cctv.cn/hdtv26/index.m3u8
CCTV3综艺,http://cctv1.live.cctv.cn/hdtv27/index.m3u8
CCTV4中文国际,http://cctv13.live.cctv.cn/hdtv76/index.m3u8
CCTV5体育,http://cctv13.live.cctv.cn/live591/index.m3u8
CCTV5+体育赛事,http://cctv1.live.cctv.cn/hdtv85/index.m3u8
CCTV6电影,http://cctv13.live.cctv.cn/cctv4hd/index.m3u8
CCTV7国防军事,http://live.cctv.cn/live271/index.m3u8
CCTV8电视剧,http://live.hunantv.com/live385/index.m3u8
CCTV9纪录,http://live.gdtv.cn/live295/index.m3u8
CCTV10科教,http://live.gdtv.cn/hdtv9/index.m3u8
CCTV11戏曲,http://live.hunantv.com/cctv13hd/index.m3u8
CCTV12社会与法,http://live.cctv.cn/cctv16hd/index.m3u8
CCTV13新闻,http://cctv1.live.cctv.cn/cctv10hd/index.m3u8
CCTV14少儿,http://live.hunantv.com/hd11/index.m3u8
CCTV15音乐,http://cctv13.live.cctv.cn/live728/index.m3u8
CCTV16奥林匹克,http://live.gdtv.cn/hdtv47/index.m3u8
CCTV17农业农村,http://cctv13.live.cctv.cn/hdtv40/index.m3u8
湖南卫视,rtp://239.253.43.218:5140
浙江卫视,http://cctv1.live.cctv.cn/cctv6hd/index.m3u8
江苏卫视,http://live.hunantv.com/cctv9hd/index.m3u8
东方卫视,rtp://239.253.43.110:9001
北京卫视,rtp://239.21.0.228:5140
广东卫视,rtp://239.253.43.217:9901
深圳卫视,http://live.hunantv.com/hd35/index.m3u8
山东卫视,rtp://239.45.3.127:8080
天津卫视,http://cctv13.live.cctv.cn/live933/index.m3u8
辽宁卫视,rtp://239.21.0.252:8080
黑龙江卫视,http://live.gdtv.cn/hd36/index.m3u8
安徽卫视,rtp://239.21.0.150:9001
河北卫视,rtp://239.21.0.54:9000
河南卫视,rtp://239.21.0.232:9001
湖北卫视,rtp://239.21.0.102:9000
江西卫视,rtp://239.253.43.45:1234
福建卫视,rtp://239.21.0.155:9901
四川卫视,rtp://239.45.3.142:5140
重庆卫视,rtp://239.45.3.29:8000
贵州卫视,rtp://239.45.3.136:9001
云南卫视,rtp://239.21.0.26:8000
广西卫视,rtp://239.45.3.65:9901
海南卫视,rtp://239.21.0.203:9001
山西卫视,rtp://239.253.43.155:9001
陕西卫视,rtp://239.45.3.97:9901
甘肃卫视,rtp://239.21.0.48:9001
青海卫视,rtp://239.21.0.142:1234
宁夏卫视,rtp://239.253.43.77:8080
新疆卫视,rtp://239.253.43.135:8000
西藏卫视,rtp://239.253.43.118:1234
内蒙古卫视,http://live.gdtv.cn/cctv3hd/index.m3u8
吉林卫视,http://live.cctv.cn/cctv9hd/index.m3u8
辽宁新闻,rtp://239.45.3.206:8000
辽宁都市,rtp://239.21.0.24:8080
辽宁影视,rtp://239.45.3.80:5140
辽宁生活,rtp://239.253.43.48:8080
辽宁经济,rtp://239.45.3.49:1234
辽宁科教,rtp://239.21.0.144:8080
辽宁体育,rtp://239.253.43.108:1234
辽宁公共,rtp://239.45.3.253:9000
CCTV1 4K,http://live.cctv.cn/hd22/index.m3u8
CCTV4K,http://cctv13.live.cctv.cn/cctv4hd/index.m3u8
北京纪实4K,http://live.cctv.cn/cctv11hd/index.m3u8
上海纪实4K,http://cctv1.live.cctv.cn/hdtv64/index.m3u8
广东4K,http://cctv1.live.cctv.cn/live955/index.m3u8
咪咕体育4K,http://cctv13.live.cctv.cn/hdtv78/index.m3u8
咪咕直播4K,http://live.cctv.cn/hdtv79/index.m3u8
纯享4K,http://cctv13.live.cctv.cn/hd27/index.m3u8
爱上4K,http://live.cctv.cn/hdtv75/index.m3u8
欢笑剧场4K,http://live.hunantv.com/hd27/index.m3u8
CCTV5体育,http://live.cctv.cn/hd42/index.m3u8
CCTV5+体育赛事,http://live.hunantv.com/cctv5hd/index.m3u8
CCTV16奥林匹克,http://cctv13.live.cctv.cn/hd37/index.m3u8
五星体育,rtp://239.21.0.209:9001
广东体育,rtp://239.253.43.170:5140
北京体育,rtp://239.45.3.31:1234
劲爆体育,rtp://239.21.0.194:8080
魅力足球,rtp://239.253.43.174:9000
CCTV6电影,http://cctv1.live.cctv.cn/live589/index.m3u8
上海电影,rtp://239.45.3.174:8080
广东电影,rtp://239.45.3.165:5140
峨眉电影,rtp://239.21.0.68:9001
CHC高清电影,http://live.gdtv.cn/hd2/index.m3u8
CHC动作电影,rtp://239.21.0.208:9000
CHC家庭影院,http://cctv13.live.cctv.cn/live800/index.m3u8
都市剧场,rtp://239.21.0.158:1234
CCTV少儿,http://live.hunantv.com/live498/index.m3u8
金鹰卡通,rtp://239.21.0.43:5140
嘉佳卡通,rtp://239.253.43.153:8080
优漫卡通,rtp://239.253.43.247:8080
炫动卡通,rtp://239.253.43.81:9000
卡酷少儿,http://live.hunantv.com/hdtv53/index.m3u8
CCTV新闻,http://live.gdtv.cn/hd28/index.m3u8
CCTV13,http://cctv1.live.cctv.cn/hdtv53/index.m3u8
中国教育1台,rtp://239.253.43.170:8000
中国教育2台,rtp://239.253.43.216:8080
凤凰中文,rtp://239.21.0.213:9000
凤凰资讯,rtp://239.45.3.56:8000
CCTV11戏曲,http://cctv1.live.cctv.cn/hd29/index.m3u8
梨园频道,http://live.hunantv.com/cctv4hd/index.m3u8
文物宝库,rtp://239.253.43.179:9000
国学频道,rtp://239.21.0.137:9901
