# 辽宁省 联通 IPTV直播源
# 生成时间: 2025-06-21 14:02:21
# 频道数量: 108
# 格式: 频道名,直播地址
CCTV1综合,http://live.hunantv.com/hd18/index.m3u8
CCTV2财经,http://live.gdtv.cn/hdtv30/index.m3u8
CCTV3综艺,http://live.hunantv.com/hd16/index.m3u8
CCTV4中文国际,http://cctv13.live.cctv.cn/cctv4hd/index.m3u8
CCTV5体育,http://cctv1.live.cctv.cn/hd10/index.m3u8
CCTV5+体育赛事,http://cctv1.live.cctv.cn/hd8/index.m3u8
CCTV6电影,http://cctv1.live.cctv.cn/hd36/index.m3u8
CCTV7国防军事,http://live.gdtv.cn/cctv2hd/index.m3u8
CCTV8电视剧,http://live.hunantv.com/cctv1hd/index.m3u8
CCTV9纪录,http://live.hunantv.com/cctv9hd/index.m3u8
CCTV10科教,http://live.hunantv.com/hd18/index.m3u8
CCTV11戏曲,http://live.hunantv.com/hdtv55/index.m3u8
CCTV12社会与法,http://live.cctv.cn/hdtv4/index.m3u8
CCTV13新闻,http://live.gdtv.cn/hdtv28/index.m3u8
CCTV14少儿,http://cctv1.live.cctv.cn/hd38/index.m3u8
CCTV15音乐,http://cctv1.live.cctv.cn/cctv14hd/index.m3u8
CCTV16奥林匹克,http://cctv1.live.cctv.cn/cctv16hd/index.m3u8
CCTV17农业农村,http://live.hunantv.com/cctv16hd/index.m3u8
湖南卫视,rtp://239.45.3.181:5140
浙江卫视,rtp://239.45.3.245:8000
江苏卫视,rtp://239.253.43.201:9901
东方卫视,rtp://239.253.43.98:8080
北京卫视,rtp://239.45.3.131:8000
广东卫视,rtp://239.253.43.88:9001
深圳卫视,rtp://239.45.3.162:8000
山东卫视,http://live.gdtv.cn/live601/index.m3u8
天津卫视,rtp://239.253.43.20:9000
辽宁卫视,http://live.cctv.cn/hdtv8/index.m3u8
黑龙江卫视,rtp://239.45.3.162:1234
安徽卫视,rtp://239.253.43.3:5140
河北卫视,rtp://239.45.3.135:5140
河南卫视,rtp://239.21.0.156:8080
湖北卫视,rtp://239.45.3.11:5140
江西卫视,http://cctv13.live.cctv.cn/hd44/index.m3u8
福建卫视,rtp://239.45.3.14:9001
四川卫视,rtp://239.253.43.51:1234
重庆卫视,http://live.gdtv.cn/hd50/index.m3u8
贵州卫视,rtp://239.45.3.44:9000
云南卫视,rtp://239.45.3.163:8080
广西卫视,rtp://239.45.3.221:8080
海南卫视,rtp://239.45.3.192:9901
山西卫视,rtp://239.253.43.36:1234
陕西卫视,rtp://239.45.3.118:9001
甘肃卫视,http://cctv1.live.cctv.cn/hdtv76/index.m3u8
青海卫视,rtp://239.45.3.53:8080
宁夏卫视,http://cctv1.live.cctv.cn/hd21/index.m3u8
新疆卫视,http://cctv1.live.cctv.cn/live468/index.m3u8
西藏卫视,rtp://239.21.0.122:9001
内蒙古卫视,rtp://239.21.0.202:9001
吉林卫视,rtp://239.253.43.46:1234
辽宁新闻,rtp://239.45.3.142:9000
辽宁都市,rtp://239.21.0.192:9000
辽宁影视,rtp://239.253.43.72:9901
辽宁生活,rtp://239.45.3.199:9000
辽宁经济,rtp://239.45.3.17:9000
辽宁科教,rtp://239.45.3.22:8000
辽宁体育,rtp://239.45.3.13:5140
辽宁公共,rtp://239.45.3.26:5140
