# 重庆市 广电 IPTV直播源
# 生成时间: 2025-06-21 14:02:21
# 频道数量: 120
# 格式: 频道名,直播地址
CCTV1综合,http://live.hunantv.com/live948/index.m3u8
CCTV2财经,http://live.cctv.cn/live217/index.m3u8
CCTV3综艺,http://cctv13.live.cctv.cn/hdtv46/index.m3u8
CCTV4中文国际,http://live.gdtv.cn/hdtv56/index.m3u8
CCTV5体育,http://live.gdtv.cn/cctv4hd/index.m3u8
CCTV5+体育赛事,http://cctv13.live.cctv.cn/hdtv1/index.m3u8
CCTV6电影,http://cctv1.live.cctv.cn/cctv7hd/index.m3u8
CCTV7国防军事,http://cctv13.live.cctv.cn/live557/index.m3u8
CCTV8电视剧,http://live.gdtv.cn/live747/index.m3u8
CCTV9纪录,http://live.gdtv.cn/live561/index.m3u8
CCTV10科教,http://cctv13.live.cctv.cn/cctv9hd/index.m3u8
CCTV11戏曲,http://live.hunantv.com/cctv17hd/index.m3u8
CCTV12社会与法,http://cctv1.live.cctv.cn/hdtv24/index.m3u8
CCTV13新闻,http://cctv1.live.cctv.cn/cctv5hd/index.m3u8
CCTV14少儿,http://cctv13.live.cctv.cn/hd9/index.m3u8
CCTV15音乐,http://live.gdtv.cn/live309/index.m3u8
CCTV16奥林匹克,http://cctv13.live.cctv.cn/hd9/index.m3u8
CCTV17农业农村,http://live.gdtv.cn/hd8/index.m3u8
湖南卫视,rtp://225.1.8.40:8080
浙江卫视,rtp://225.1.8.220:9901
江苏卫视,rtp://239.11.0.142:1234
东方卫视,rtp://239.11.0.75:9001
北京卫视,rtp://225.1.8.232:9001
广东卫视,rtp://239.253.43.131:9901
深圳卫视,rtp://225.1.8.228:9000
山东卫视,rtp://225.1.8.234:9901
天津卫视,rtp://225.1.8.60:8000
辽宁卫视,rtp://239.11.0.122:9901
黑龙江卫视,rtp://225.1.8.229:8080
安徽卫视,rtp://239.11.0.145:5140
河北卫视,rtp://239.11.0.147:5140
河南卫视,http://live.gdtv.cn/hd11/index.m3u8
湖北卫视,rtp://225.1.8.189:1234
江西卫视,rtp://225.1.8.131:1234
福建卫视,rtp://225.1.8.245:9001
四川卫视,http://cctv1.live.cctv.cn/hdtv98/index.m3u8
重庆卫视,rtp://225.1.8.43:9001
贵州卫视,http://live.cctv.cn/cctv6hd/index.m3u8
云南卫视,rtp://225.1.8.68:9001
广西卫视,rtp://225.1.8.58:9901
海南卫视,rtp://239.253.43.165:9001
山西卫视,rtp://239.11.0.109:9000
陕西卫视,http://live.cctv.cn/live348/index.m3u8
甘肃卫视,rtp://225.1.8.188:1234
青海卫视,http://cctv13.live.cctv.cn/hd23/index.m3u8
宁夏卫视,rtp://239.11.0.140:8000
新疆卫视,rtp://225.1.8.246:8080
西藏卫视,rtp://225.1.8.171:5140
内蒙古卫视,rtp://225.1.8.166:9001
吉林卫视,rtp://239.11.0.232:8000
重庆新闻,rtp://239.11.0.80:8080
