# 重庆市 电信 IPTV直播源
# 生成时间: 2025-06-21 14:02:21
# 频道数量: 104
# 格式: 频道名,直播地址
CCTV1综合,http://cctv1.live.cctv.cn/cctv15hd/index.m3u8
CCTV2财经,http://cctv1.live.cctv.cn/live345/index.m3u8
CCTV3综艺,http://live.hunantv.com/live184/index.m3u8
CCTV4中文国际,http://cctv1.live.cctv.cn/live230/index.m3u8
CCTV5体育,http://live.hunantv.com/hdtv66/index.m3u8
CCTV5+体育赛事,http://cctv1.live.cctv.cn/live830/index.m3u8
CCTV6电影,http://cctv13.live.cctv.cn/hdtv26/index.m3u8
CCTV7国防军事,http://cctv1.live.cctv.cn/cctv13hd/index.m3u8
CCTV8电视剧,http://live.gdtv.cn/hd50/index.m3u8
CCTV9纪录,http://live.hunantv.com/hd29/index.m3u8
CCTV10科教,http://live.gdtv.cn/cctv6hd/index.m3u8
CCTV11戏曲,http://live.gdtv.cn/live904/index.m3u8
CCTV12社会与法,http://live.cctv.cn/hd33/index.m3u8
CCTV13新闻,http://cctv1.live.cctv.cn/hdtv7/index.m3u8
CCTV14少儿,http://live.gdtv.cn/live997/index.m3u8
CCTV15音乐,http://cctv1.live.cctv.cn/live709/index.m3u8
CCTV16奥林匹克,http://live.hunantv.com/live145/index.m3u8
CCTV17农业农村,http://live.hunantv.com/hd32/index.m3u8
湖南卫视,rtp://225.1.8.52:8000
浙江卫视,rtp://239.253.43.220:9001
江苏卫视,rtp://239.253.43.142:9000
东方卫视,rtp://239.253.43.16:9001
北京卫视,rtp://239.253.43.96:9000
广东卫视,rtp://239.11.0.83:5140
深圳卫视,rtp://225.1.8.205:8080
山东卫视,rtp://239.11.0.34:8080
天津卫视,rtp://239.253.43.113:8080
辽宁卫视,rtp://225.1.8.197:9001
黑龙江卫视,rtp://239.11.0.220:9001
安徽卫视,rtp://239.11.0.93:9901
河北卫视,rtp://225.1.8.179:9000
河南卫视,http://live.hunantv.com/hd46/index.m3u8
湖北卫视,rtp://239.253.43.212:9001
江西卫视,rtp://239.11.0.73:5140
福建卫视,rtp://239.253.43.248:9001
四川卫视,rtp://225.1.8.64:9000
重庆卫视,rtp://239.11.0.135:9001
贵州卫视,http://live.cctv.cn/cctv4hd/index.m3u8
云南卫视,rtp://225.1.8.204:1234
广西卫视,http://cctv13.live.cctv.cn/live556/index.m3u8
海南卫视,rtp://239.253.43.27:1234
山西卫视,rtp://225.1.8.57:1234
陕西卫视,rtp://239.253.43.115:9901
甘肃卫视,http://live.gdtv.cn/cctv10hd/index.m3u8
青海卫视,rtp://239.11.0.119:1234
宁夏卫视,rtp://239.253.43.142:5140
新疆卫视,rtp://225.1.8.201:9901
西藏卫视,rtp://239.11.0.170:8080
内蒙古卫视,rtp://239.11.0.121:9901
吉林卫视,rtp://239.253.43.111:5140
重庆新闻,http://live.hunantv.com/hd22/index.m3u8
重庆都市,rtp://225.1.8.126:8080
重庆影视,rtp://239.11.0.146:9000
重庆生活,rtp://225.1.8.25:5140
重庆经济,rtp://225.1.8.160:1234
重庆科教,rtp://239.11.0.249:8080
重庆体育,rtp://239.11.0.146:5140
重庆公共,rtp://239.11.0.121:8000
CCTV1 4K,http://live.cctv.cn/live830/index.m3u8
CCTV4K,http://cctv13.live.cctv.cn/hd7/index.m3u8
北京纪实4K,http://live.hunantv.com/cctv16hd/index.m3u8
上海纪实4K,http://live.gdtv.cn/hdtv66/index.m3u8
广东4K,http://cctv13.live.cctv.cn/live871/index.m3u8
咪咕体育4K,http://live.cctv.cn/live643/index.m3u8
咪咕直播4K,http://live.cctv.cn/hdtv74/index.m3u8
纯享4K,http://live.gdtv.cn/cctv6hd/index.m3u8
爱上4K,http://live.gdtv.cn/hd35/index.m3u8
欢笑剧场4K,http://live.gdtv.cn/hd7/index.m3u8
CCTV5体育,http://cctv13.live.cctv.cn/cctv6hd/index.m3u8
CCTV5+体育赛事,http://cctv1.live.cctv.cn/hd46/index.m3u8
CCTV16奥林匹克,http://live.cctv.cn/live426/index.m3u8
五星体育,rtp://239.253.43.185:9901
广东体育,rtp://225.1.8.220:1234
北京体育,rtp://239.11.0.156:1234
劲爆体育,rtp://239.11.0.194:5140
魅力足球,rtp://239.11.0.17:9000
CCTV6电影,http://live.hunantv.com/hdtv95/index.m3u8
上海电影,rtp://239.11.0.210:8080
广东电影,http://live.cctv.cn/live194/index.m3u8
峨眉电影,rtp://225.1.8.125:5140
CHC高清电影,http://cctv1.live.cctv.cn/hdtv42/index.m3u8
CHC动作电影,rtp://239.11.0.20:8080
CHC家庭影院,rtp://225.1.8.241:9901
都市剧场,rtp://225.1.8.151:8000
CCTV少儿,http://cctv1.live.cctv.cn/live193/index.m3u8
金鹰卡通,rtp://239.253.43.162:9000
嘉佳卡通,rtp://239.253.43.141:8000
优漫卡通,rtp://239.253.43.225:9000
炫动卡通,rtp://239.11.0.139:9000
卡酷少儿,rtp://239.253.43.239:9901
CCTV新闻,http://cctv1.live.cctv.cn/cctv5hd/index.m3u8
CCTV13,http://cctv1.live.cctv.cn/hdtv14/index.m3u8
中国教育1台,rtp://239.253.43.218:9901
中国教育2台,rtp://239.11.0.112:1234
凤凰中文,rtp://239.253.43.90:1234
凤凰资讯,rtp://239.11.0.195:8000
CCTV11戏曲,http://cctv13.live.cctv.cn/hdtv37/index.m3u8
梨园频道,rtp://239.253.43.210:8080
文物宝库,http://cctv1.live.cctv.cn/hd35/index.m3u8
国学频道,http://cctv1.live.cctv.cn/cctv16hd/index.m3u8
秦腔频道,rtp://239.11.0.49:5140
陕西秦腔,rtp://239.253.43.39:8080
甘肃秦腔,rtp://239.253.43.88:8000
宁夏秦腔,rtp://225.1.8.106:8000
