# 重庆市 移动 IPTV直播源
# 生成时间: 2025-06-21 14:02:21
# 频道数量: 104
# 格式: 频道名,直播地址
CCTV1综合,http://live.gdtv.cn/cctv3hd/index.m3u8
CCTV2财经,http://live.hunantv.com/live574/index.m3u8
CCTV3综艺,http://live.cctv.cn/hdtv2/index.m3u8
CCTV4中文国际,http://live.hunantv.com/cctv8hd/index.m3u8
CCTV5体育,http://cctv1.live.cctv.cn/hd38/index.m3u8
CCTV5+体育赛事,http://cctv1.live.cctv.cn/live546/index.m3u8
CCTV6电影,http://cctv1.live.cctv.cn/cctv3hd/index.m3u8
CCTV7国防军事,http://live.cctv.cn/hd18/index.m3u8
CCTV8电视剧,http://cctv13.live.cctv.cn/cctv4hd/index.m3u8
CCTV9纪录,http://cctv1.live.cctv.cn/hd1/index.m3u8
CCTV10科教,http://live.hunantv.com/live417/index.m3u8
CCTV11戏曲,http://live.cctv.cn/hd45/index.m3u8
CCTV12社会与法,http://live.cctv.cn/cctv5hd/index.m3u8
CCTV13新闻,http://live.gdtv.cn/hd17/index.m3u8
CCTV14少儿,http://live.cctv.cn/cctv10hd/index.m3u8
CCTV15音乐,http://cctv13.live.cctv.cn/hdtv69/index.m3u8
CCTV16奥林匹克,http://live.gdtv.cn/live197/index.m3u8
CCTV17农业农村,http://live.gdtv.cn/cctv4hd/index.m3u8
湖南卫视,rtp://239.253.43.77:8000
浙江卫视,rtp://239.253.43.164:5140
江苏卫视,rtp://239.11.0.94:9000
东方卫视,rtp://239.253.43.86:9901
北京卫视,rtp://225.1.8.124:1234
广东卫视,rtp://225.1.8.134:9001
深圳卫视,rtp://225.1.8.30:9001
山东卫视,rtp://225.1.8.89:9901
天津卫视,rtp://239.253.43.229:8080
辽宁卫视,rtp://225.1.8.30:1234
黑龙江卫视,http://cctv13.live.cctv.cn/live485/index.m3u8
安徽卫视,rtp://225.1.8.89:5140
河北卫视,rtp://239.11.0.21:8000
河南卫视,rtp://239.11.0.72:8000
湖北卫视,rtp://239.253.43.144:1234
江西卫视,rtp://225.1.8.197:9000
福建卫视,rtp://225.1.8.249:9001
四川卫视,rtp://239.11.0.179:9901
重庆卫视,rtp://239.253.43.150:8000
贵州卫视,rtp://239.253.43.140:5140
云南卫视,rtp://225.1.8.2:1234
广西卫视,rtp://239.11.0.235:8000
海南卫视,http://live.cctv.cn/live499/index.m3u8
山西卫视,rtp://239.11.0.106:8000
陕西卫视,rtp://239.253.43.200:1234
甘肃卫视,rtp://239.11.0.253:1234
青海卫视,rtp://239.11.0.86:8080
宁夏卫视,rtp://225.1.8.111:9901
新疆卫视,rtp://239.11.0.48:9001
西藏卫视,rtp://225.1.8.234:9000
内蒙古卫视,rtp://225.1.8.190:9000
吉林卫视,rtp://239.253.43.146:1234
重庆新闻,http://live.hunantv.com/cctv3hd/index.m3u8
重庆都市,http://live.hunantv.com/cctv6hd/index.m3u8
重庆影视,rtp://239.253.43.226:9000
重庆生活,rtp://239.253.43.83:9001
重庆经济,http://live.cctv.cn/cctv17hd/index.m3u8
重庆科教,rtp://239.253.43.21:9000
重庆体育,rtp://225.1.8.172:8000
重庆公共,rtp://239.11.0.249:1234
CCTV1 4K,http://live.gdtv.cn/hd40/index.m3u8
CCTV4K,http://live.hunantv.com/hdtv49/index.m3u8
北京纪实4K,http://cctv1.live.cctv.cn/hdtv28/index.m3u8
上海纪实4K,http://cctv1.live.cctv.cn/live329/index.m3u8
广东4K,http://live.cctv.cn/hd23/index.m3u8
咪咕体育4K,http://cctv1.live.cctv.cn/live141/index.m3u8
咪咕直播4K,http://live.gdtv.cn/hd36/index.m3u8
纯享4K,http://live.cctv.cn/hd24/index.m3u8
爱上4K,http://cctv1.live.cctv.cn/hdtv30/index.m3u8
欢笑剧场4K,http://live.gdtv.cn/hdtv66/index.m3u8
CCTV5体育,http://cctv13.live.cctv.cn/cctv5hd/index.m3u8
CCTV5+体育赛事,http://cctv1.live.cctv.cn/cctv14hd/index.m3u8
CCTV16奥林匹克,http://live.gdtv.cn/hdtv4/index.m3u8
五星体育,http://cctv13.live.cctv.cn/hdtv14/index.m3u8
广东体育,rtp://239.253.43.63:5140
北京体育,http://live.cctv.cn/live269/index.m3u8
劲爆体育,rtp://225.1.8.41:8000
魅力足球,rtp://239.253.43.237:1234
CCTV6电影,http://live.cctv.cn/hd29/index.m3u8
上海电影,rtp://239.11.0.235:8080
广东电影,rtp://225.1.8.28:1234
峨眉电影,rtp://239.253.43.138:5140
CHC高清电影,http://live.gdtv.cn/hd27/index.m3u8
CHC动作电影,rtp://225.1.8.63:8080
CHC家庭影院,rtp://239.253.43.93:9001
都市剧场,rtp://225.1.8.190:9001
CCTV少儿,http://live.cctv.cn/hdtv25/index.m3u8
金鹰卡通,rtp://225.1.8.58:5140
嘉佳卡通,rtp://239.253.43.147:9901
优漫卡通,rtp://239.11.0.70:9000
炫动卡通,rtp://239.253.43.112:5140
卡酷少儿,rtp://239.253.43.253:8080
CCTV新闻,http://cctv1.live.cctv.cn/cctv12hd/index.m3u8
CCTV13,http://cctv13.live.cctv.cn/hdtv19/index.m3u8
中国教育1台,rtp://239.253.43.196:5140
