# 重庆市 联通 IPTV直播源
# 生成时间: 2025-06-21 14:02:21
# 频道数量: 104
# 格式: 频道名,直播地址
CCTV1综合,http://live.cctv.cn/hdtv38/index.m3u8
CCTV2财经,http://cctv1.live.cctv.cn/hd45/index.m3u8
CCTV3综艺,http://live.gdtv.cn/hdtv25/index.m3u8
CCTV4中文国际,http://live.cctv.cn/live248/index.m3u8
CCTV5体育,http://live.gdtv.cn/cctv1hd/index.m3u8
CCTV5+体育赛事,http://cctv13.live.cctv.cn/hdtv28/index.m3u8
CCTV6电影,http://live.gdtv.cn/hd18/index.m3u8
CCTV7国防军事,http://live.cctv.cn/hdtv50/index.m3u8
CCTV8电视剧,http://live.hunantv.com/hd18/index.m3u8
CCTV9纪录,http://cctv13.live.cctv.cn/hd17/index.m3u8
CCTV10科教,http://live.gdtv.cn/hd15/index.m3u8
CCTV11戏曲,http://live.hunantv.com/live857/index.m3u8
CCTV12社会与法,http://cctv13.live.cctv.cn/live277/index.m3u8
CCTV13新闻,http://live.cctv.cn/hdtv76/index.m3u8
CCTV14少儿,http://cctv13.live.cctv.cn/hdtv71/index.m3u8
CCTV15音乐,http://cctv13.live.cctv.cn/live536/index.m3u8
CCTV16奥林匹克,http://cctv13.live.cctv.cn/hd30/index.m3u8
CCTV17农业农村,http://cctv1.live.cctv.cn/hd13/index.m3u8
湖南卫视,rtp://225.1.8.134:8000
浙江卫视,rtp://239.253.43.112:5140
江苏卫视,http://live.cctv.cn/hdtv45/index.m3u8
东方卫视,rtp://239.253.43.158:1234
北京卫视,http://cctv13.live.cctv.cn/live286/index.m3u8
广东卫视,http://live.hunantv.com/live551/index.m3u8
深圳卫视,rtp://239.253.43.195:9901
山东卫视,rtp://239.11.0.179:5140
天津卫视,http://live.gdtv.cn/live786/index.m3u8
辽宁卫视,rtp://239.11.0.227:9001
黑龙江卫视,rtp://239.253.43.227:8080
安徽卫视,rtp://225.1.8.48:9901
河北卫视,http://cctv13.live.cctv.cn/hdtv26/index.m3u8
河南卫视,rtp://239.253.43.19:1234
湖北卫视,rtp://239.11.0.126:8000
江西卫视,rtp://239.11.0.208:9901
福建卫视,rtp://239.11.0.74:5140
四川卫视,rtp://239.253.43.224:9000
重庆卫视,rtp://225.1.8.19:1234
贵州卫视,rtp://239.11.0.178:8000
云南卫视,rtp://225.1.8.59:9001
广西卫视,rtp://239.253.43.206:9901
海南卫视,rtp://239.253.43.192:5140
山西卫视,rtp://239.11.0.58:9000
陕西卫视,rtp://239.11.0.62:9000
甘肃卫视,rtp://239.253.43.213:5140
青海卫视,http://live.cctv.cn/live326/index.m3u8
宁夏卫视,rtp://239.11.0.186:8080
新疆卫视,rtp://225.1.8.215:1234
西藏卫视,rtp://239.11.0.34:8000
内蒙古卫视,rtp://225.1.8.234:9901
吉林卫视,rtp://239.253.43.214:8080
重庆新闻,rtp://239.253.43.83:8080
重庆都市,rtp://239.253.43.238:5140
重庆影视,rtp://225.1.8.151:8080
重庆生活,http://live.gdtv.cn/live158/index.m3u8
重庆经济,rtp://225.1.8.64:5140
重庆科教,rtp://239.11.0.84:8080
