# 陕西省 广电 IPTV直播源
# 生成时间: 2025-06-21 14:02:21
# 频道数量: 128
# 格式: 频道名,直播地址
CCTV1综合,http://cctv1.live.cctv.cn/hd2/index.m3u8
CCTV2财经,http://cctv1.live.cctv.cn/hd45/index.m3u8
CCTV3综艺,http://live.cctv.cn/cctv5hd/index.m3u8
CCTV4中文国际,http://live.hunantv.com/cctv9hd/index.m3u8
CCTV5体育,http://live.hunantv.com/live525/index.m3u8
CCTV5+体育赛事,http://live.cctv.cn/hd24/index.m3u8
CCTV6电影,http://live.gdtv.cn/hdtv4/index.m3u8
CCTV7国防军事,http://live.hunantv.com/hd38/index.m3u8
CCTV8电视剧,http://cctv13.live.cctv.cn/cctv1hd/index.m3u8
CCTV9纪录,http://live.cctv.cn/cctv16hd/index.m3u8
CCTV10科教,http://live.gdtv.cn/live821/index.m3u8
CCTV11戏曲,http://live.cctv.cn/live439/index.m3u8
CCTV12社会与法,http://live.gdtv.cn/cctv1hd/index.m3u8
CCTV13新闻,http://live.hunantv.com/hd37/index.m3u8
CCTV14少儿,http://cctv13.live.cctv.cn/hdtv7/index.m3u8
CCTV15音乐,http://live.hunantv.com/hdtv16/index.m3u8
CCTV16奥林匹克,http://cctv1.live.cctv.cn/hd21/index.m3u8
CCTV17农业农村,http://cctv13.live.cctv.cn/hdtv77/index.m3u8
湖南卫视,rtp://239.112.207.153:9000
浙江卫视,rtp://239.45.3.1:5140
江苏卫视,rtp://239.112.207.138:1234
东方卫视,http://live.cctv.cn/hdtv31/index.m3u8
北京卫视,rtp://239.112.207.15:9901
广东卫视,rtp://239.112.206.166:5140
深圳卫视,rtp://239.112.207.221:5140
山东卫视,rtp://239.112.207.16:9001
天津卫视,rtp://239.112.207.160:8000
辽宁卫视,rtp://239.45.3.73:5140
黑龙江卫视,rtp://239.45.3.73:9901
安徽卫视,rtp://239.112.207.214:8080
河北卫视,rtp://239.112.206.198:1234
河南卫视,rtp://239.112.206.121:8000
湖北卫视,rtp://239.112.206.250:9901
江西卫视,http://cctv1.live.cctv.cn/cctv5hd/index.m3u8
福建卫视,rtp://239.45.3.78:1234
四川卫视,rtp://239.112.206.125:8000
重庆卫视,http://live.cctv.cn/hd33/index.m3u8
贵州卫视,rtp://239.112.206.98:8080
云南卫视,rtp://239.112.206.218:1234
广西卫视,rtp://239.112.207.18:5140
海南卫视,rtp://239.45.3.170:1234
山西卫视,rtp://239.112.207.43:9901
陕西卫视,rtp://239.45.3.190:5140
甘肃卫视,http://live.hunantv.com/live301/index.m3u8
青海卫视,rtp://239.112.207.27:9000
宁夏卫视,rtp://239.112.207.20:8080
新疆卫视,http://cctv1.live.cctv.cn/cctv17hd/index.m3u8
西藏卫视,http://live.hunantv.com/live583/index.m3u8
内蒙古卫视,rtp://239.112.207.252:9001
吉林卫视,rtp://239.112.206.66:5140
陕西新闻,http://cctv13.live.cctv.cn/live932/index.m3u8
陕西都市,rtp://239.112.207.250:1234
陕西影视,rtp://239.112.207.32:9901
陕西生活,rtp://239.112.206.128:1234
陕西经济,http://cctv1.live.cctv.cn/hdtv37/index.m3u8
陕西科教,rtp://239.45.3.19:5140
陕西体育,rtp://239.112.206.145:8000
陕西公共,rtp://239.112.207.36:8080
CCTV1 4K,http://live.cctv.cn/live111/index.m3u8
CCTV4K,http://cctv13.live.cctv.cn/live340/index.m3u8
北京纪实4K,http://cctv13.live.cctv.cn/cctv16hd/index.m3u8
上海纪实4K,http://live.cctv.cn/live744/index.m3u8
广东4K,http://live.gdtv.cn/live957/index.m3u8
咪咕体育4K,http://cctv13.live.cctv.cn/cctv13hd/index.m3u8
咪咕直播4K,http://live.gdtv.cn/hd24/index.m3u8
纯享4K,http://live.gdtv.cn/cctv1hd/index.m3u8
爱上4K,http://live.hunantv.com/hd24/index.m3u8
欢笑剧场4K,http://live.gdtv.cn/hdtv28/index.m3u8
CCTV5体育,http://cctv13.live.cctv.cn/hdtv70/index.m3u8
CCTV5+体育赛事,http://live.gdtv.cn/hd17/index.m3u8
CCTV16奥林匹克,http://live.cctv.cn/cctv12hd/index.m3u8
五星体育,http://cctv13.live.cctv.cn/live380/index.m3u8
广东体育,rtp://239.45.3.151:8000
北京体育,http://live.gdtv.cn/hd9/index.m3u8
劲爆体育,rtp://239.45.3.213:9001
魅力足球,rtp://239.45.3.61:9001
CCTV6电影,http://live.cctv.cn/hd3/index.m3u8
上海电影,rtp://239.112.207.63:8000
广东电影,rtp://239.112.206.180:9901
峨眉电影,rtp://239.112.207.252:8080
CHC高清电影,http://live.cctv.cn/live489/index.m3u8
CHC动作电影,rtp://239.112.206.108:8000
CHC家庭影院,rtp://239.112.206.61:9901
都市剧场,http://live.cctv.cn/cctv5hd/index.m3u8
CCTV少儿,http://live.hunantv.com/cctv13hd/index.m3u8
金鹰卡通,rtp://239.112.206.232:8080
嘉佳卡通,http://live.gdtv.cn/hd31/index.m3u8
优漫卡通,rtp://239.45.3.8:1234
炫动卡通,http://live.cctv.cn/live496/index.m3u8
卡酷少儿,rtp://239.45.3.51:8080
CCTV新闻,http://live.cctv.cn/live972/index.m3u8
CCTV13,http://cctv13.live.cctv.cn/hd47/index.m3u8
中国教育1台,rtp://239.45.3.3:1234
中国教育2台,rtp://239.112.207.28:8000
凤凰中文,rtp://239.45.3.11:9000
凤凰资讯,rtp://239.112.207.94:8080
CCTV11戏曲,http://cctv1.live.cctv.cn/live150/index.m3u8
梨园频道,rtp://239.112.207.97:8000
文物宝库,rtp://239.45.3.168:8080
国学频道,rtp://239.45.3.189:8080
秦腔频道,rtp://239.112.206.79:9001
陕西秦腔,rtp://239.112.206.238:5140
甘肃秦腔,rtp://239.45.3.212:1234
宁夏秦腔,rtp://239.45.3.77:9000
陕西秦腔,rtp://239.112.206.31:5140
西安秦腔,rtp://239.112.207.216:1234
宝鸡秦腔,rtp://239.45.3.205:8000
咸阳秦腔,rtp://239.45.3.173:9001
渭南秦腔,http://live.hunantv.com/hd44/index.m3u8
汉中秦腔,http://cctv13.live.cctv.cn/hdtv47/index.m3u8
安康秦腔,rtp://239.45.3.36:9901
商洛秦腔,rtp://239.112.206.254:9901
中国广电4K,http://live.cctv.cn/hdtv2/index.m3u8
广电精品,http://live.gdtv.cn/cctv17hd/index.m3u8
广电影视,rtp://239.45.3.215:1234
广电纪实,rtp://239.45.3.158:9001
广电体育,rtp://239.112.206.92:5140
广电新闻,rtp://239.45.3.249:9901
广电综艺,rtp://239.112.207.14:8000
广电少儿,http://live.hunantv.com/hdtv15/index.m3u8
广电音乐,rtp://239.112.207.254:1234
广电戏曲,rtp://239.45.3.154:8080
广电科教,http://live.cctv.cn/live153/index.m3u8
广电购物,rtp://239.112.207.165:9000
IPTV经典电影,rtp://239.112.206.43:8080
IPTV热播剧场,rtp://239.112.206.127:5140
IPTV魅力时尚,http://cctv1.live.cctv.cn/live211/index.m3u8
IPTV收视指南,http://live.cctv.cn/hdtv7/index.m3u8
