# 陕西省 电信 IPTV直播源
# 生成时间: 2025-06-21 14:02:21
# 频道数量: 112
# 格式: 频道名,直播地址
CCTV1综合,http://live.cctv.cn/hdtv56/index.m3u8
CCTV2财经,http://cctv1.live.cctv.cn/hdtv21/index.m3u8
CCTV3综艺,http://live.gdtv.cn/hdtv9/index.m3u8
CCTV4中文国际,http://live.hunantv.com/hd30/index.m3u8
CCTV5体育,http://live.gdtv.cn/hd11/index.m3u8
CCTV5+体育赛事,http://cctv1.live.cctv.cn/cctv12hd/index.m3u8
CCTV6电影,http://live.hunantv.com/cctv1hd/index.m3u8
CCTV7国防军事,http://live.cctv.cn/live970/index.m3u8
CCTV8电视剧,http://cctv13.live.cctv.cn/live533/index.m3u8
CCTV9纪录,http://cctv1.live.cctv.cn/live636/index.m3u8
CCTV10科教,http://live.hunantv.com/live343/index.m3u8
CCTV11戏曲,http://cctv1.live.cctv.cn/live516/index.m3u8
CCTV12社会与法,http://live.hunantv.com/live539/index.m3u8
CCTV13新闻,http://live.hunantv.com/live708/index.m3u8
CCTV14少儿,http://live.hunantv.com/live871/index.m3u8
CCTV15音乐,http://live.gdtv.cn/hdtv6/index.m3u8
CCTV16奥林匹克,http://live.hunantv.com/cctv10hd/index.m3u8
CCTV17农业农村,http://live.gdtv.cn/live865/index.m3u8
湖南卫视,rtp://239.112.207.183:8000
浙江卫视,http://live.gdtv.cn/hdtv60/index.m3u8
江苏卫视,rtp://239.45.3.83:1234
东方卫视,rtp://239.112.206.179:8080
北京卫视,rtp://239.112.206.146:8080
广东卫视,rtp://239.112.206.237:9000
深圳卫视,http://live.gdtv.cn/hd5/index.m3u8
山东卫视,rtp://239.112.207.199:9901
天津卫视,rtp://239.45.3.131:1234
辽宁卫视,rtp://239.45.3.249:1234
黑龙江卫视,http://live.hunantv.com/cctv5hd/index.m3u8
安徽卫视,rtp://239.45.3.49:9000
河北卫视,rtp://239.112.206.121:5140
河南卫视,rtp://239.45.3.189:9001
湖北卫视,rtp://239.45.3.126:8000
江西卫视,http://live.gdtv.cn/live907/index.m3u8
福建卫视,rtp://239.45.3.195:8080
四川卫视,rtp://239.112.206.153:9000
重庆卫视,rtp://239.45.3.29:8000
贵州卫视,rtp://239.112.206.66:9001
云南卫视,http://cctv1.live.cctv.cn/hdtv4/index.m3u8
广西卫视,rtp://239.45.3.174:1234
海南卫视,rtp://239.45.3.225:8000
山西卫视,http://live.hunantv.com/hdtv73/index.m3u8
陕西卫视,rtp://239.112.206.254:9901
甘肃卫视,rtp://239.112.206.243:5140
青海卫视,rtp://239.45.3.100:9901
宁夏卫视,rtp://239.112.207.241:8000
新疆卫视,rtp://239.112.207.207:9000
西藏卫视,rtp://239.112.206.97:8000
内蒙古卫视,http://cctv1.live.cctv.cn/live667/index.m3u8
吉林卫视,rtp://239.45.3.84:9000
陕西新闻,rtp://239.112.207.153:8080
陕西都市,rtp://239.112.207.36:9901
陕西影视,rtp://239.112.206.220:8080
陕西生活,rtp://239.45.3.249:9001
陕西经济,rtp://239.112.207.157:8080
陕西科教,rtp://239.112.206.43:8000
陕西体育,rtp://239.112.207.242:9901
陕西公共,http://live.cctv.cn/hd29/index.m3u8
CCTV1 4K,http://cctv1.live.cctv.cn/live501/index.m3u8
CCTV4K,http://live.gdtv.cn/cctv4hd/index.m3u8
北京纪实4K,http://live.cctv.cn/live312/index.m3u8
上海纪实4K,http://live.gdtv.cn/cctv15hd/index.m3u8
广东4K,http://live.gdtv.cn/hd9/index.m3u8
咪咕体育4K,http://cctv1.live.cctv.cn/hdtv21/index.m3u8
咪咕直播4K,http://cctv1.live.cctv.cn/hdtv53/index.m3u8
纯享4K,http://cctv1.live.cctv.cn/hd25/index.m3u8
爱上4K,http://cctv1.live.cctv.cn/hdtv56/index.m3u8
欢笑剧场4K,http://cctv13.live.cctv.cn/cctv15hd/index.m3u8
CCTV5体育,http://cctv13.live.cctv.cn/hd25/index.m3u8
CCTV5+体育赛事,http://cctv1.live.cctv.cn/hdtv10/index.m3u8
CCTV16奥林匹克,http://live.cctv.cn/cctv4hd/index.m3u8
五星体育,http://live.hunantv.com/live663/index.m3u8
广东体育,rtp://239.112.207.11:1234
北京体育,rtp://239.112.206.119:9000
劲爆体育,rtp://239.45.3.220:9000
魅力足球,rtp://239.112.206.127:8080
CCTV6电影,http://live.cctv.cn/cctv17hd/index.m3u8
上海电影,http://live.gdtv.cn/cctv8hd/index.m3u8
广东电影,rtp://239.45.3.233:5140
峨眉电影,rtp://239.112.206.76:5140
CHC高清电影,http://live.cctv.cn/hd2/index.m3u8
CHC动作电影,rtp://239.45.3.59:9001
CHC家庭影院,rtp://239.112.207.249:9901
都市剧场,rtp://239.112.207.247:9000
CCTV少儿,http://live.hunantv.com/hdtv17/index.m3u8
金鹰卡通,rtp://239.112.206.185:5140
嘉佳卡通,rtp://239.45.3.132:8000
优漫卡通,rtp://239.112.207.115:9000
炫动卡通,http://live.hunantv.com/hdtv19/index.m3u8
卡酷少儿,rtp://239.45.3.41:9000
CCTV新闻,http://live.cctv.cn/hdtv28/index.m3u8
CCTV13,http://live.cctv.cn/live207/index.m3u8
中国教育1台,rtp://239.45.3.138:8080
中国教育2台,rtp://239.112.206.227:9001
凤凰中文,http://cctv13.live.cctv.cn/cctv12hd/index.m3u8
凤凰资讯,rtp://239.112.207.35:5140
CCTV11戏曲,http://live.gdtv.cn/live943/index.m3u8
梨园频道,rtp://239.45.3.11:9001
文物宝库,http://live.cctv.cn/live276/index.m3u8
国学频道,rtp://239.45.3.181:8080
秦腔频道,http://cctv1.live.cctv.cn/hd23/index.m3u8
陕西秦腔,rtp://239.45.3.17:8080
甘肃秦腔,rtp://239.112.206.228:5140
宁夏秦腔,rtp://239.45.3.45:8080
陕西秦腔,rtp://239.112.206.151:1234
西安秦腔,rtp://239.112.207.223:8080
宝鸡秦腔,rtp://239.112.207.77:8000
咸阳秦腔,rtp://239.112.207.99:8000
渭南秦腔,rtp://239.45.3.104:5140
汉中秦腔,rtp://239.112.206.4:8000
安康秦腔,rtp://239.45.3.218:1234
商洛秦腔,rtp://239.45.3.123:8080
