# 陕西省 秦腔专场直播源
# 🎭 弘扬秦腔文化，传承西北艺术
# 生成时间: 2025-06-21 14:02:34
# 频道数量: 80 个
# 覆盖城市: 西安, 宝鸡, 咸阳, 渭南, 汉中, 安康, 商洛, 延安, 榆林, 铜川
# 格式: 频道名,直播地址
# 说明: 秦腔是西北地区最具代表性的地方戏曲
陕西秦腔,rtp://239.49.9.80:8000
甘肃秦腔,http://live.qinqiang.cn/live888/playlist.m3u8
宁夏秦腔,rtp://239.61.9.201:5140
青海秦腔,rtp://239.93.9.201:4120
新疆秦腔,rtp://239.93.8.249:9001
西北秦腔,rtp://239.61.9.219:9001
秦腔名家,rtp://239.93.9.218:5140
秦腔经典,rtp://239.61.8.83:9000
秦腔大全,rtp://239.93.9.188:8080
秦腔精品,rtp://239.49.9.202:4120
西安秦腔台,rtp://239.93.9.173:5140
宝鸡秦腔台,http://opera.gsrtv.cn/live948/playlist.m3u8
咸阳秦腔台,http://qinqiang.sxbc.cn/qinqiang57/playlist.m3u8
渭南秦腔台,rtp://239.93.9.169:8080
兰州秦腔台,http://live.qinqiang.cn/opera26/playlist.m3u8
天水秦腔台,http://qinqiang.sxbc.cn/xiqu8/playlist.m3u8
平凉秦腔台,http://qinqiang.qhtv.cn/opera19/playlist.m3u8
庆阳秦腔台,http://opera.xjbs.com.cn/opera10/playlist.m3u8
银川秦腔台,rtp://239.61.9.93:9001
石嘴山秦腔台,http://opera.gsrtv.cn/opera2/playlist.m3u8
吴忠秦腔台,rtp://239.93.8.133:9001
固原秦腔台,http://qinqiang.qhtv.cn/xiqu20/playlist.m3u8
西宁秦腔台,rtp://239.50.9.80:4120
海东秦腔台,rtp://239.93.9.208:8000
乌鲁木齐秦腔台,rtp://239.61.8.187:9001
伊犁秦腔台,rtp://239.50.9.72:9001
秦腔名段,http://qinqiang.qhtv.cn/live646/playlist.m3u8
秦腔全本,rtp://239.50.9.22:9001
秦腔教学,http://stream.xiqu.tv/live786/playlist.m3u8
秦腔赏析,rtp://239.49.8.89:9000
秦腔历史,rtp://239.61.9.198:9000
秦腔文化,http://xiqu.nxtv.com.cn/opera15/playlist.m3u8
秦腔传承,rtp://239.49.8.21:4120
秦腔创新,rtp://239.49.8.185:8000
秦腔名角,rtp://239.61.8.76:8080
秦腔流派,http://stream.xiqu.tv/xiqu36/playlist.m3u8
秦腔伴奏,http://stream.xiqu.tv/opera14/playlist.m3u8
秦腔器乐,http://opera.xjbs.com.cn/opera28/playlist.m3u8
现代秦腔,rtp://239.50.8.249:8080
秦腔新编,http://xiqu.nxtv.com.cn/qinqiang55/playlist.m3u8
秦腔青年,rtp://239.61.9.234:8000
秦腔少儿,http://stream.xiqu.tv/qinqiang73/playlist.m3u8
秦腔比赛,http://qinqiang.qhtv.cn/qinqiang13/playlist.m3u8
秦腔节庆,rtp://239.50.8.215:8080
秦腔展演,rtp://239.93.8.109:5140
秦腔巡演,rtp://239.49.9.138:9001
西北戏曲,rtp://239.93.9.33:8080
陕北说书,rtp://239.93.8.121:8080
陕北民歌,rtp://239.50.9.250:5140
花儿民歌,rtp://239.61.8.26:9000
信天游,rtp://239.93.9.164:9000
秦川小调,rtp://239.50.9.180:9000
关中民歌,rtp://239.49.9.49:4120
陇原花儿,rtp://239.49.9.69:4120
三滴血,http://opera.gsrtv.cn/qinqiang45/playlist.m3u8
火焰驹,rtp://239.49.8.81:9000
铡美案,rtp://239.50.8.80:5140
下河东,rtp://239.50.9.60:4120
春秋笔,rtp://239.50.8.29:8000
辕门斩子,rtp://239.50.8.187:5140
斩黄袍,rtp://239.49.8.170:9001
杨门女将,rtp://239.61.9.59:9000
穆桂英挂帅,http://live.qinqiang.cn/live551/playlist.m3u8
梁山伯与祝英台,rtp://239.50.9.119:4120
窦娥冤,rtp://239.93.9.198:8080
赵氏孤儿,http://opera.gsrtv.cn/xiqu37/playlist.m3u8
长坂坡,rtp://239.50.9.235:4120
空城计,rtp://239.93.9.186:8000
借东风,http://xiqu.nxtv.com.cn/live443/playlist.m3u8
血泪仇,rtp://239.49.8.11:8000
梁秋燕,http://live.qinqiang.cn/xiqu23/playlist.m3u8
红灯记,rtp://239.49.9.167:9001
沙家浜,rtp://239.49.9.235:8080
智取威虎山,rtp://239.50.8.141:8080
西安秦腔台,rtp://239.61.9.150:5140
宝鸡秦腔台,rtp://239.50.9.140:9000
咸阳秦腔台,rtp://239.93.9.67:5140
渭南秦腔台,rtp://239.61.8.80:8000
汉中秦腔台,rtp://239.93.9.192:8080
安康秦腔台,rtp://239.61.8.130:5140
