# 陕西省 移动 IPTV直播源
# 生成时间: 2025-06-21 14:02:21
# 频道数量: 112
# 格式: 频道名,直播地址
CCTV1综合,http://cctv1.live.cctv.cn/hd15/index.m3u8
CCTV2财经,http://live.gdtv.cn/cctv14hd/index.m3u8
CCTV3综艺,http://cctv13.live.cctv.cn/hdtv3/index.m3u8
CCTV4中文国际,http://live.hunantv.com/hdtv93/index.m3u8
CCTV5体育,http://cctv13.live.cctv.cn/cctv7hd/index.m3u8
CCTV5+体育赛事,http://live.hunantv.com/hd2/index.m3u8
CCTV6电影,http://live.cctv.cn/hdtv17/index.m3u8
CCTV7国防军事,http://live.hunantv.com/hdtv72/index.m3u8
CCTV8电视剧,http://cctv1.live.cctv.cn/live791/index.m3u8
CCTV9纪录,http://live.cctv.cn/hdtv43/index.m3u8
CCTV10科教,http://live.gdtv.cn/hd18/index.m3u8
CCTV11戏曲,http://live.hunantv.com/cctv14hd/index.m3u8
CCTV12社会与法,http://live.cctv.cn/cctv17hd/index.m3u8
CCTV13新闻,http://cctv13.live.cctv.cn/hdtv97/index.m3u8
CCTV14少儿,http://cctv1.live.cctv.cn/hd47/index.m3u8
CCTV15音乐,http://cctv1.live.cctv.cn/hd4/index.m3u8
CCTV16奥林匹克,http://cctv1.live.cctv.cn/hdtv94/index.m3u8
CCTV17农业农村,http://cctv1.live.cctv.cn/hdtv58/index.m3u8
湖南卫视,rtp://239.112.206.118:5140
浙江卫视,http://live.gdtv.cn/cctv3hd/index.m3u8
江苏卫视,rtp://239.112.207.222:9001
东方卫视,http://live.hunantv.com/live708/index.m3u8
北京卫视,rtp://239.45.3.81:9001
广东卫视,rtp://239.45.3.58:1234
深圳卫视,rtp://239.112.206.127:1234
山东卫视,rtp://239.112.207.45:9901
天津卫视,rtp://239.112.206.6:8080
辽宁卫视,rtp://239.112.206.159:9000
黑龙江卫视,http://live.hunantv.com/live478/index.m3u8
安徽卫视,rtp://239.112.206.29:9901
河北卫视,http://cctv13.live.cctv.cn/hdtv2/index.m3u8
河南卫视,rtp://239.112.206.163:9001
湖北卫视,rtp://239.112.207.120:8000
江西卫视,rtp://239.112.206.220:8080
福建卫视,rtp://239.112.206.40:1234
四川卫视,rtp://239.112.206.222:9001
重庆卫视,http://live.hunantv.com/live677/index.m3u8
贵州卫视,rtp://239.112.207.122:9901
云南卫视,http://cctv1.live.cctv.cn/hdtv71/index.m3u8
广西卫视,rtp://239.112.207.83:8000
海南卫视,http://live.cctv.cn/live430/index.m3u8
山西卫视,rtp://239.112.207.31:5140
陕西卫视,http://live.gdtv.cn/hd1/index.m3u8
甘肃卫视,http://live.gdtv.cn/hd30/index.m3u8
青海卫视,rtp://239.112.207.32:9000
宁夏卫视,rtp://239.112.206.69:9001
新疆卫视,rtp://239.45.3.194:9000
西藏卫视,http://live.cctv.cn/hdtv26/index.m3u8
内蒙古卫视,rtp://239.112.207.125:1234
吉林卫视,rtp://239.45.3.54:8080
陕西新闻,http://live.cctv.cn/live845/index.m3u8
陕西都市,rtp://239.112.206.86:8000
陕西影视,rtp://239.112.206.200:9000
陕西生活,rtp://239.45.3.12:9000
陕西经济,rtp://239.112.206.155:5140
陕西科教,http://live.cctv.cn/hd16/index.m3u8
陕西体育,rtp://239.112.206.30:9901
陕西公共,rtp://239.112.207.30:9000
CCTV1 4K,http://cctv1.live.cctv.cn/cctv8hd/index.m3u8
CCTV4K,http://live.gdtv.cn/hdtv93/index.m3u8
北京纪实4K,http://live.hunantv.com/cctv1hd/index.m3u8
上海纪实4K,http://cctv1.live.cctv.cn/cctv6hd/index.m3u8
广东4K,http://cctv1.live.cctv.cn/hd27/index.m3u8
咪咕体育4K,http://cctv1.live.cctv.cn/live178/index.m3u8
咪咕直播4K,http://live.gdtv.cn/live109/index.m3u8
纯享4K,http://cctv1.live.cctv.cn/live652/index.m3u8
爱上4K,http://cctv1.live.cctv.cn/hdtv43/index.m3u8
欢笑剧场4K,http://live.hunantv.com/cctv11hd/index.m3u8
CCTV5体育,http://cctv13.live.cctv.cn/cctv11hd/index.m3u8
CCTV5+体育赛事,http://live.gdtv.cn/hd16/index.m3u8
CCTV16奥林匹克,http://cctv1.live.cctv.cn/hd3/index.m3u8
五星体育,rtp://239.45.3.115:9001
广东体育,rtp://239.112.206.137:8080
北京体育,rtp://239.45.3.26:9001
劲爆体育,rtp://239.45.3.134:9001
魅力足球,rtp://239.112.207.245:9901
CCTV6电影,http://live.gdtv.cn/hdtv17/index.m3u8
上海电影,rtp://239.112.206.154:1234
广东电影,rtp://239.112.207.158:1234
峨眉电影,rtp://239.112.206.122:8080
CHC高清电影,http://cctv13.live.cctv.cn/hdtv7/index.m3u8
CHC动作电影,rtp://239.112.206.138:9901
CHC家庭影院,rtp://239.45.3.151:8080
都市剧场,rtp://239.112.206.65:5140
CCTV少儿,http://cctv13.live.cctv.cn/live155/index.m3u8
金鹰卡通,rtp://239.45.3.95:1234
嘉佳卡通,rtp://239.45.3.8:8000
优漫卡通,rtp://239.45.3.149:9901
炫动卡通,http://cctv13.live.cctv.cn/hd43/index.m3u8
卡酷少儿,rtp://239.112.207.185:5140
CCTV新闻,http://live.hunantv.com/hdtv66/index.m3u8
CCTV13,http://cctv1.live.cctv.cn/live178/index.m3u8
中国教育1台,rtp://239.112.206.87:5140
中国教育2台,rtp://239.112.207.16:1234
凤凰中文,rtp://239.112.207.39:9901
凤凰资讯,rtp://239.45.3.92:8000
CCTV11戏曲,http://live.gdtv.cn/hd22/index.m3u8
梨园频道,rtp://239.45.3.31:9000
文物宝库,rtp://239.112.207.7:9901
国学频道,rtp://239.45.3.64:5140
秦腔频道,http://cctv13.live.cctv.cn/hdtv70/index.m3u8
陕西秦腔,rtp://239.112.207.141:9901
甘肃秦腔,rtp://239.112.206.176:8080
宁夏秦腔,http://cctv13.live.cctv.cn/hdtv88/index.m3u8
陕西秦腔,rtp://239.112.207.23:9000
西安秦腔,rtp://239.112.207.254:8000
宝鸡秦腔,rtp://239.112.206.91:8080
咸阳秦腔,http://live.cctv.cn/live576/index.m3u8
渭南秦腔,rtp://239.45.3.144:9000
汉中秦腔,rtp://239.112.206.193:9000
安康秦腔,rtp://239.112.206.222:8000
商洛秦腔,rtp://239.112.207.163:8000
