# 陕西省 联通 IPTV直播源
# 生成时间: 2025-06-21 14:02:21
# 频道数量: 112
# 格式: 频道名,直播地址
CCTV1综合,http://live.gdtv.cn/cctv9hd/index.m3u8
CCTV2财经,http://live.gdtv.cn/cctv3hd/index.m3u8
CCTV3综艺,http://live.hunantv.com/cctv15hd/index.m3u8
CCTV4中文国际,http://live.hunantv.com/live887/index.m3u8
CCTV5体育,http://cctv1.live.cctv.cn/hd14/index.m3u8
CCTV5+体育赛事,http://live.cctv.cn/cctv17hd/index.m3u8
CCTV6电影,http://cctv13.live.cctv.cn/hdtv31/index.m3u8
CCTV7国防军事,http://cctv13.live.cctv.cn/cctv15hd/index.m3u8
CCTV8电视剧,http://live.hunantv.com/hd38/index.m3u8
CCTV9纪录,http://cctv1.live.cctv.cn/cctv2hd/index.m3u8
CCTV10科教,http://cctv1.live.cctv.cn/live644/index.m3u8
CCTV11戏曲,http://live.hunantv.com/hd5/index.m3u8
CCTV12社会与法,http://live.hunantv.com/cctv4hd/index.m3u8
CCTV13新闻,http://live.cctv.cn/hdtv91/index.m3u8
CCTV14少儿,http://cctv13.live.cctv.cn/live452/index.m3u8
CCTV15音乐,http://cctv1.live.cctv.cn/hdtv85/index.m3u8
CCTV16奥林匹克,http://cctv13.live.cctv.cn/live421/index.m3u8
CCTV17农业农村,http://live.cctv.cn/cctv1hd/index.m3u8
湖南卫视,rtp://239.112.206.161:8080
浙江卫视,rtp://239.112.207.169:1234
江苏卫视,http://live.cctv.cn/live161/index.m3u8
东方卫视,rtp://239.112.206.138:9000
北京卫视,rtp://239.112.207.227:8080
广东卫视,rtp://239.112.207.142:9001
深圳卫视,rtp://239.45.3.154:8000
山东卫视,rtp://239.45.3.1:9001
天津卫视,rtp://239.112.207.80:9000
辽宁卫视,rtp://239.112.206.177:9001
黑龙江卫视,rtp://239.112.207.179:8080
安徽卫视,rtp://239.112.206.2:9001
河北卫视,rtp://239.112.206.29:1234
河南卫视,rtp://239.112.207.148:8000
湖北卫视,rtp://239.45.3.2:1234
江西卫视,http://cctv13.live.cctv.cn/cctv12hd/index.m3u8
福建卫视,rtp://239.45.3.237:9901
四川卫视,http://cctv1.live.cctv.cn/hdtv82/index.m3u8
重庆卫视,rtp://239.112.206.245:8080
