# 青海省 广电 IPTV直播源
# 生成时间: 2025-06-21 14:02:21
# 频道数量: 123
# 格式: 频道名,直播地址
CCTV1综合,http://live.hunantv.com/hd30/index.m3u8
CCTV2财经,http://cctv13.live.cctv.cn/hdtv14/index.m3u8
CCTV3综艺,http://live.gdtv.cn/live310/index.m3u8
CCTV4中文国际,http://live.cctv.cn/hd26/index.m3u8
CCTV5体育,http://live.gdtv.cn/cctv9hd/index.m3u8
CCTV5+体育赛事,http://cctv1.live.cctv.cn/hdtv78/index.m3u8
CCTV6电影,http://cctv1.live.cctv.cn/cctv1hd/index.m3u8
CCTV7国防军事,http://cctv13.live.cctv.cn/hd19/index.m3u8
CCTV8电视剧,http://cctv1.live.cctv.cn/cctv4hd/index.m3u8
CCTV9纪录,http://live.gdtv.cn/cctv7hd/index.m3u8
CCTV10科教,http://cctv1.live.cctv.cn/hd26/index.m3u8
CCTV11戏曲,http://live.gdtv.cn/hd14/index.m3u8
CCTV12社会与法,http://cctv13.live.cctv.cn/live182/index.m3u8
CCTV13新闻,http://cctv13.live.cctv.cn/hdtv79/index.m3u8
CCTV14少儿,http://cctv1.live.cctv.cn/hdtv38/index.m3u8
CCTV15音乐,http://live.hunantv.com/hdtv42/index.m3u8
CCTV16奥林匹克,http://live.cctv.cn/hdtv86/index.m3u8
CCTV17农业农村,http://live.cctv.cn/hd17/index.m3u8
湖南卫视,http://cctv13.live.cctv.cn/hdtv91/index.m3u8
浙江卫视,rtp://225.1.2.84:9001
江苏卫视,http://cctv13.live.cctv.cn/hdtv65/index.m3u8
东方卫视,rtp://239.252.219.54:1234
北京卫视,rtp://239.252.219.1:9000
广东卫视,http://live.cctv.cn/hd24/index.m3u8
深圳卫视,rtp://239.252.219.118:1234
山东卫视,rtp://239.254.96.218:9001
天津卫视,rtp://239.254.96.176:8080
辽宁卫视,rtp://239.254.96.83:9000
黑龙江卫视,rtp://225.1.2.25:9001
安徽卫视,rtp://225.1.2.199:8080
河北卫视,rtp://225.1.2.227:9001
河南卫视,rtp://239.252.219.199:9001
