# 青海省 电信 IPTV直播源
# 生成时间: 2025-06-21 14:02:21
# 频道数量: 107
# 格式: 频道名,直播地址
CCTV1综合,http://live.cctv.cn/live192/index.m3u8
CCTV2财经,http://cctv1.live.cctv.cn/hdtv42/index.m3u8
CCTV3综艺,http://live.cctv.cn/hdtv82/index.m3u8
CCTV4中文国际,http://cctv1.live.cctv.cn/hdtv5/index.m3u8
CCTV5体育,http://cctv13.live.cctv.cn/hd17/index.m3u8
CCTV5+体育赛事,http://cctv1.live.cctv.cn/hdtv37/index.m3u8
CCTV6电影,http://live.cctv.cn/live293/index.m3u8
CCTV7国防军事,http://cctv13.live.cctv.cn/cctv8hd/index.m3u8
CCTV8电视剧,http://live.gdtv.cn/cctv2hd/index.m3u8
CCTV9纪录,http://cctv1.live.cctv.cn/hdtv69/index.m3u8
CCTV10科教,http://cctv1.live.cctv.cn/live377/index.m3u8
CCTV11戏曲,http://cctv13.live.cctv.cn/live539/index.m3u8
CCTV12社会与法,http://cctv1.live.cctv.cn/hdtv67/index.m3u8
CCTV13新闻,http://live.cctv.cn/live634/index.m3u8
CCTV14少儿,http://cctv1.live.cctv.cn/hdtv38/index.m3u8
CCTV15音乐,http://live.gdtv.cn/hdtv82/index.m3u8
CCTV16奥林匹克,http://live.hunantv.com/cctv5hd/index.m3u8
CCTV17农业农村,http://cctv13.live.cctv.cn/cctv11hd/index.m3u8
湖南卫视,rtp://239.252.219.24:9001
浙江卫视,rtp://239.254.96.80:5140
江苏卫视,rtp://225.1.2.56:9901
东方卫视,rtp://239.252.219.119:1234
北京卫视,http://cctv1.live.cctv.cn/live142/index.m3u8
广东卫视,rtp://239.254.96.50:8080
深圳卫视,http://live.cctv.cn/live622/index.m3u8
山东卫视,http://live.cctv.cn/cctv14hd/index.m3u8
天津卫视,rtp://225.1.2.194:8080
辽宁卫视,rtp://225.1.2.140:5140
黑龙江卫视,http://live.cctv.cn/hdtv86/index.m3u8
安徽卫视,rtp://239.252.219.107:9001
河北卫视,rtp://239.252.219.134:5140
河南卫视,rtp://239.254.96.26:9001
湖北卫视,http://cctv13.live.cctv.cn/cctv3hd/index.m3u8
江西卫视,rtp://239.252.219.221:5140
福建卫视,rtp://225.1.2.93:9000
四川卫视,rtp://239.254.96.61:9000
重庆卫视,rtp://239.254.96.63:9000
贵州卫视,rtp://225.1.2.122:1234
云南卫视,rtp://225.1.2.202:5140
广西卫视,rtp://225.1.2.18:8080
海南卫视,rtp://239.252.219.30:5140
山西卫视,rtp://239.254.96.201:8080
陕西卫视,rtp://225.1.2.184:9000
甘肃卫视,http://live.gdtv.cn/live297/index.m3u8
青海卫视,rtp://225.1.2.187:9001
宁夏卫视,http://cctv1.live.cctv.cn/hdtv34/index.m3u8
新疆卫视,http://live.hunantv.com/live877/index.m3u8
西藏卫视,rtp://239.252.219.198:1234
内蒙古卫视,rtp://239.254.96.201:9901
吉林卫视,rtp://239.252.219.4:9000
青海新闻,rtp://225.1.2.33:9000
青海都市,http://live.cctv.cn/hdtv15/index.m3u8
青海影视,rtp://239.252.219.90:9001
青海生活,rtp://239.254.96.1:1234
青海经济,rtp://239.252.219.253:8080
青海科教,rtp://239.252.219.18:8000
青海体育,rtp://225.1.2.72:9000
青海公共,rtp://239.252.219.191:9001
CCTV1 4K,http://live.hunantv.com/hdtv62/index.m3u8
CCTV4K,http://cctv13.live.cctv.cn/hdtv14/index.m3u8
北京纪实4K,http://cctv13.live.cctv.cn/cctv1hd/index.m3u8
上海纪实4K,http://live.cctv.cn/cctv5hd/index.m3u8
广东4K,http://live.hunantv.com/hd2/index.m3u8
咪咕体育4K,http://live.cctv.cn/cctv7hd/index.m3u8
咪咕直播4K,http://live.cctv.cn/hdtv82/index.m3u8
纯享4K,http://live.cctv.cn/cctv16hd/index.m3u8
爱上4K,http://live.hunantv.com/hdtv79/index.m3u8
欢笑剧场4K,http://cctv1.live.cctv.cn/live598/index.m3u8
CCTV5体育,http://cctv13.live.cctv.cn/hdtv4/index.m3u8
CCTV5+体育赛事,http://live.hunantv.com/hdtv64/index.m3u8
CCTV16奥林匹克,http://live.cctv.cn/hd32/index.m3u8
五星体育,rtp://225.1.2.65:1234
广东体育,rtp://225.1.2.88:9000
北京体育,rtp://239.252.219.134:1234
劲爆体育,rtp://225.1.2.226:1234
魅力足球,http://cctv13.live.cctv.cn/live160/index.m3u8
CCTV6电影,http://live.cctv.cn/cctv9hd/index.m3u8
上海电影,rtp://239.254.96.9:8080
广东电影,rtp://239.252.219.210:9001
峨眉电影,rtp://225.1.2.33:9901
CHC高清电影,http://live.gdtv.cn/hdtv39/index.m3u8
CHC动作电影,rtp://239.254.96.177:8000
CHC家庭影院,rtp://225.1.2.90:9901
都市剧场,rtp://239.254.96.150:9000
CCTV少儿,http://live.hunantv.com/cctv16hd/index.m3u8
金鹰卡通,http://live.hunantv.com/hd28/index.m3u8
