# 青海省 秦腔专场直播源
# 🎭 弘扬秦腔文化，传承西北艺术
# 生成时间: 2025-06-21 14:02:34
# 频道数量: 80 个
# 覆盖城市: 西宁, 海东, 海北, 海南, 海西, 黄南, 果洛, 玉树
# 格式: 频道名,直播地址
# 说明: 秦腔是西北地区最具代表性的地方戏曲
陕西秦腔,rtp://239.50.9.129:8000
甘肃秦腔,rtp://239.49.9.41:9000
宁夏秦腔,rtp://239.49.9.139:5140
青海秦腔,rtp://239.50.8.124:5140
新疆秦腔,http://qinqiang.sxbc.cn/qinqiang90/playlist.m3u8
西北秦腔,rtp://239.50.8.232:8080
秦腔名家,http://qinqiang.sxbc.cn/live506/playlist.m3u8
秦腔经典,http://qinqiang.sxbc.cn/opera28/playlist.m3u8
秦腔大全,rtp://239.49.9.129:5140
秦腔精品,rtp://239.61.9.77:8080
西安秦腔台,rtp://239.50.8.244:8000
宝鸡秦腔台,http://opera.gsrtv.cn/live414/playlist.m3u8
咸阳秦腔台,rtp://239.93.8.156:9000
渭南秦腔台,rtp://239.93.8.74:9000
兰州秦腔台,http://live.qinqiang.cn/live690/playlist.m3u8
天水秦腔台,rtp://239.49.8.181:8000
平凉秦腔台,http://opera.xjbs.com.cn/opera29/playlist.m3u8
庆阳秦腔台,rtp://239.49.8.242:9000
银川秦腔台,rtp://239.49.9.169:8080
石嘴山秦腔台,rtp://239.49.8.121:4120
吴忠秦腔台,rtp://239.50.9.173:5140
固原秦腔台,rtp://239.93.8.248:9001
西宁秦腔台,http://stream.xiqu.tv/xiqu12/playlist.m3u8
海东秦腔台,rtp://239.49.9.245:8000
乌鲁木齐秦腔台,rtp://239.61.8.44:8080
伊犁秦腔台,rtp://239.93.8.154:4120
秦腔名段,rtp://239.61.9.25:8000
秦腔全本,http://qinqiang.qhtv.cn/xiqu36/playlist.m3u8
秦腔教学,rtp://239.61.8.77:9001
秦腔赏析,rtp://239.50.8.35:9000
秦腔历史,rtp://239.93.9.246:9000
秦腔文化,rtp://239.93.9.221:5140
秦腔传承,http://stream.xiqu.tv/opera12/playlist.m3u8
秦腔创新,http://opera.xjbs.com.cn/qinqiang27/playlist.m3u8
秦腔名角,rtp://239.49.9.41:9001
秦腔流派,rtp://239.93.8.234:9001
秦腔伴奏,rtp://239.93.8.120:5140
秦腔器乐,http://opera.xjbs.com.cn/opera13/playlist.m3u8
现代秦腔,http://xiqu.nxtv.com.cn/qinqiang91/playlist.m3u8
秦腔新编,http://qinqiang.sxbc.cn/qinqiang92/playlist.m3u8
秦腔青年,rtp://239.49.9.138:9000
秦腔少儿,http://opera.xjbs.com.cn/opera28/playlist.m3u8
秦腔比赛,rtp://239.50.8.59:4120
秦腔节庆,rtp://239.61.8.216:4120
秦腔展演,http://qinqiang.qhtv.cn/qinqiang70/playlist.m3u8
秦腔巡演,http://xiqu.nxtv.com.cn/live740/playlist.m3u8
西北戏曲,http://qinqiang.qhtv.cn/live144/playlist.m3u8
陕北说书,rtp://239.49.8.212:8080
陕北民歌,rtp://239.50.8.33:9001
花儿民歌,http://qinqiang.sxbc.cn/opera13/playlist.m3u8
信天游,rtp://239.93.9.75:8080
秦川小调,rtp://239.61.8.88:8000
关中民歌,http://xiqu.nxtv.com.cn/qinqiang63/playlist.m3u8
陇原花儿,rtp://239.49.8.112:8080
三滴血,http://stream.xiqu.tv/opera4/playlist.m3u8
火焰驹,http://qinqiang.qhtv.cn/qinqiang55/playlist.m3u8
铡美案,rtp://239.49.9.61:9000
下河东,rtp://239.61.8.38:9000
春秋笔,http://qinqiang.sxbc.cn/live667/playlist.m3u8
辕门斩子,rtp://239.49.8.173:8000
斩黄袍,http://stream.xiqu.tv/live524/playlist.m3u8
杨门女将,http://stream.xiqu.tv/live980/playlist.m3u8
穆桂英挂帅,http://opera.gsrtv.cn/qinqiang45/playlist.m3u8
梁山伯与祝英台,rtp://239.49.9.17:5140
窦娥冤,http://stream.xiqu.tv/xiqu43/playlist.m3u8
赵氏孤儿,rtp://239.93.8.209:9001
长坂坡,rtp://239.61.9.37:8000
空城计,rtp://239.61.8.35:4120
借东风,rtp://239.61.8.219:9001
血泪仇,http://opera.xjbs.com.cn/qinqiang36/playlist.m3u8
梁秋燕,http://opera.xjbs.com.cn/xiqu8/playlist.m3u8
红灯记,rtp://239.50.9.64:9000
沙家浜,http://qinqiang.sxbc.cn/opera19/playlist.m3u8
智取威虎山,rtp://239.50.9.161:9000
西宁秦腔台,rtp://239.49.8.63:8000
海东秦腔台,rtp://239.49.9.100:5140
海北秦腔台,rtp://239.49.9.89:8000
海南秦腔台,rtp://239.49.8.56:8000
海西秦腔台,rtp://239.93.9.232:9000
黄南秦腔台,rtp://239.49.8.133:8000
