# 青海省 移动 IPTV直播源
# 生成时间: 2025-06-21 14:02:21
# 频道数量: 107
# 格式: 频道名,直播地址
CCTV1综合,http://live.cctv.cn/hd37/index.m3u8
CCTV2财经,http://live.gdtv.cn/cctv2hd/index.m3u8
CCTV3综艺,http://live.hunantv.com/live184/index.m3u8
CCTV4中文国际,http://live.hunantv.com/cctv1hd/index.m3u8
CCTV5体育,http://live.hunantv.com/cctv10hd/index.m3u8
CCTV5+体育赛事,http://cctv1.live.cctv.cn/cctv9hd/index.m3u8
CCTV6电影,http://cctv13.live.cctv.cn/cctv2hd/index.m3u8
CCTV7国防军事,http://live.hunantv.com/hd19/index.m3u8
CCTV8电视剧,http://cctv1.live.cctv.cn/hdtv67/index.m3u8
CCTV9纪录,http://live.cctv.cn/hd47/index.m3u8
CCTV10科教,http://live.hunantv.com/live814/index.m3u8
CCTV11戏曲,http://live.hunantv.com/live213/index.m3u8
CCTV12社会与法,http://cctv13.live.cctv.cn/hdtv13/index.m3u8
CCTV13新闻,http://live.gdtv.cn/live294/index.m3u8
CCTV14少儿,http://cctv13.live.cctv.cn/hdtv17/index.m3u8
CCTV15音乐,http://cctv13.live.cctv.cn/hdtv66/index.m3u8
CCTV16奥林匹克,http://live.hunantv.com/live148/index.m3u8
CCTV17农业农村,http://live.gdtv.cn/cctv3hd/index.m3u8
湖南卫视,rtp://239.254.96.225:8080
浙江卫视,http://live.cctv.cn/cctv13hd/index.m3u8
江苏卫视,rtp://225.1.2.216:9001
东方卫视,http://cctv13.live.cctv.cn/live853/index.m3u8
北京卫视,rtp://239.254.96.144:8000
广东卫视,rtp://225.1.2.219:9001
深圳卫视,rtp://225.1.2.185:8080
山东卫视,http://cctv1.live.cctv.cn/hdtv18/index.m3u8
天津卫视,rtp://239.254.96.9:9901
辽宁卫视,rtp://239.252.219.190:8080
黑龙江卫视,http://cctv1.live.cctv.cn/live481/index.m3u8
安徽卫视,rtp://239.254.96.168:8000
河北卫视,rtp://225.1.2.176:8000
河南卫视,http://cctv1.live.cctv.cn/cctv14hd/index.m3u8
湖北卫视,http://live.gdtv.cn/hdtv95/index.m3u8
江西卫视,rtp://239.254.96.194:9001
福建卫视,rtp://225.1.2.140:9001
四川卫视,rtp://239.254.96.56:9001
重庆卫视,rtp://239.252.219.175:9000
贵州卫视,rtp://239.254.96.180:8080
云南卫视,rtp://239.254.96.10:8000
广西卫视,rtp://225.1.2.141:8000
海南卫视,rtp://225.1.2.141:8080
山西卫视,rtp://239.252.219.220:9901
陕西卫视,rtp://225.1.2.165:8000
甘肃卫视,rtp://225.1.2.185:5140
青海卫视,rtp://225.1.2.176:8080
宁夏卫视,rtp://239.252.219.84:8000
新疆卫视,http://cctv13.live.cctv.cn/hdtv37/index.m3u8
西藏卫视,rtp://239.254.96.99:5140
内蒙古卫视,rtp://239.252.219.46:5140
吉林卫视,rtp://225.1.2.34:9000
青海新闻,rtp://239.254.96.187:8000
青海都市,rtp://239.254.96.205:1234
青海影视,rtp://239.254.96.12:9001
青海生活,rtp://225.1.2.97:9000
青海经济,rtp://239.252.219.90:9901
青海科教,rtp://225.1.2.229:5140
青海体育,http://live.gdtv.cn/cctv16hd/index.m3u8
青海公共,rtp://239.252.219.228:9001
CCTV1 4K,http://cctv13.live.cctv.cn/cctv1hd/index.m3u8
CCTV4K,http://live.gdtv.cn/hdtv39/index.m3u8
北京纪实4K,http://live.cctv.cn/cctv14hd/index.m3u8
上海纪实4K,http://cctv13.live.cctv.cn/hd16/index.m3u8
广东4K,http://cctv13.live.cctv.cn/cctv8hd/index.m3u8
咪咕体育4K,http://cctv1.live.cctv.cn/cctv8hd/index.m3u8
咪咕直播4K,http://cctv13.live.cctv.cn/hd42/index.m3u8
纯享4K,http://live.gdtv.cn/live225/index.m3u8
爱上4K,http://live.gdtv.cn/live996/index.m3u8
欢笑剧场4K,http://live.hunantv.com/live387/index.m3u8
CCTV5体育,http://live.hunantv.com/cctv3hd/index.m3u8
CCTV5+体育赛事,http://live.hunantv.com/hd17/index.m3u8
CCTV16奥林匹克,http://cctv13.live.cctv.cn/cctv9hd/index.m3u8
五星体育,rtp://225.1.2.235:8000
广东体育,rtp://239.252.219.26:8080
北京体育,rtp://239.254.96.79:9901
劲爆体育,rtp://239.252.219.244:5140
魅力足球,rtp://239.252.219.236:1234
CCTV6电影,http://live.hunantv.com/hd31/index.m3u8
上海电影,rtp://225.1.2.164:5140
广东电影,rtp://239.254.96.229:1234
峨眉电影,rtp://225.1.2.63:5140
CHC高清电影,http://cctv1.live.cctv.cn/live374/index.m3u8
CHC动作电影,rtp://239.252.219.33:9000
CHC家庭影院,rtp://225.1.2.179:8000
都市剧场,rtp://225.1.2.179:9901
CCTV少儿,http://cctv1.live.cctv.cn/live540/index.m3u8
金鹰卡通,rtp://225.1.2.124:9901
嘉佳卡通,http://live.gdtv.cn/hdtv59/index.m3u8
优漫卡通,rtp://225.1.2.182:5140
炫动卡通,rtp://225.1.2.96:9000
卡酷少儿,http://live.gdtv.cn/cctv12hd/index.m3u8
CCTV新闻,http://cctv1.live.cctv.cn/cctv6hd/index.m3u8
CCTV13,http://cctv13.live.cctv.cn/hd37/index.m3u8
中国教育1台,rtp://239.254.96.250:8080
中国教育2台,rtp://239.254.96.118:8080
凤凰中文,rtp://239.252.219.230:8000
凤凰资讯,rtp://239.252.219.130:8080
CCTV11戏曲,http://cctv13.live.cctv.cn/hd29/index.m3u8
梨园频道,rtp://239.254.96.31:9000
文物宝库,rtp://225.1.2.34:8000
国学频道,http://live.cctv.cn/hd49/index.m3u8
秦腔频道,rtp://225.1.2.248:8000
陕西秦腔,rtp://239.252.219.148:9901
甘肃秦腔,rtp://239.254.96.70:9901
宁夏秦腔,rtp://239.254.96.101:5140
青海秦腔,rtp://225.1.2.154:5140
西宁秦腔,http://live.gdtv.cn/hdtv19/index.m3u8
海东秦腔,rtp://225.1.2.230:9000
