# 青海省 联通 IPTV直播源
# 生成时间: 2025-06-21 14:02:21
# 频道数量: 107
# 格式: 频道名,直播地址
CCTV1综合,http://live.hunantv.com/live691/index.m3u8
CCTV2财经,http://cctv13.live.cctv.cn/hd7/index.m3u8
CCTV3综艺,http://cctv1.live.cctv.cn/hd1/index.m3u8
CCTV4中文国际,http://cctv13.live.cctv.cn/cctv16hd/index.m3u8
CCTV5体育,http://live.cctv.cn/hd28/index.m3u8
CCTV5+体育赛事,http://live.cctv.cn/live756/index.m3u8
CCTV6电影,http://cctv13.live.cctv.cn/hd45/index.m3u8
CCTV7国防军事,http://cctv13.live.cctv.cn/live857/index.m3u8
CCTV8电视剧,http://cctv1.live.cctv.cn/hd44/index.m3u8
CCTV9纪录,http://cctv13.live.cctv.cn/cctv9hd/index.m3u8
CCTV10科教,http://cctv1.live.cctv.cn/hd9/index.m3u8
CCTV11戏曲,http://cctv1.live.cctv.cn/cctv2hd/index.m3u8
CCTV12社会与法,http://live.cctv.cn/hd26/index.m3u8
CCTV13新闻,http://live.gdtv.cn/cctv7hd/index.m3u8
CCTV14少儿,http://cctv13.live.cctv.cn/hd4/index.m3u8
CCTV15音乐,http://cctv13.live.cctv.cn/live666/index.m3u8
CCTV16奥林匹克,http://live.gdtv.cn/hd23/index.m3u8
CCTV17农业农村,http://cctv13.live.cctv.cn/cctv15hd/index.m3u8
湖南卫视,rtp://225.1.2.231:1234
浙江卫视,http://cctv1.live.cctv.cn/cctv15hd/index.m3u8
江苏卫视,rtp://239.254.96.72:8000
东方卫视,rtp://239.252.219.50:9001
北京卫视,rtp://225.1.2.108:9000
广东卫视,rtp://225.1.2.94:5140
深圳卫视,http://live.gdtv.cn/hd32/index.m3u8
山东卫视,rtp://225.1.2.57:9000
天津卫视,rtp://239.254.96.45:5140
辽宁卫视,rtp://239.254.96.170:9901
黑龙江卫视,rtp://225.1.2.180:9001
安徽卫视,rtp://239.254.96.215:9901
河北卫视,rtp://225.1.2.206:5140
河南卫视,rtp://239.252.219.181:1234
湖北卫视,rtp://239.254.96.220:8080
江西卫视,rtp://239.254.96.55:8000
福建卫视,rtp://225.1.2.123:5140
四川卫视,rtp://239.254.96.141:5140
重庆卫视,rtp://225.1.2.12:1234
贵州卫视,rtp://239.252.219.7:1234
云南卫视,http://live.hunantv.com/hdtv85/index.m3u8
广西卫视,rtp://225.1.2.51:1234
海南卫视,rtp://239.252.219.32:9901
山西卫视,rtp://225.1.2.71:1234
陕西卫视,rtp://239.252.219.193:1234
甘肃卫视,rtp://225.1.2.238:9000
青海卫视,rtp://239.254.96.123:9901
宁夏卫视,rtp://225.1.2.191:8000
新疆卫视,rtp://239.252.219.105:8000
西藏卫视,rtp://225.1.2.92:8000
内蒙古卫视,rtp://239.252.219.186:9001
吉林卫视,http://live.cctv.cn/hdtv76/index.m3u8
青海新闻,rtp://239.254.96.88:5140
青海都市,http://live.gdtv.cn/cctv9hd/index.m3u8
青海影视,http://cctv1.live.cctv.cn/live645/index.m3u8
青海生活,http://live.gdtv.cn/hdtv43/index.m3u8
青海经济,rtp://239.252.219.168:1234
青海科教,rtp://225.1.2.77:9000
青海体育,rtp://225.1.2.35:9901
青海公共,rtp://225.1.2.46:9001
CCTV1 4K,http://live.hunantv.com/cctv3hd/index.m3u8
CCTV4K,http://live.cctv.cn/live742/index.m3u8
北京纪实4K,http://live.gdtv.cn/cctv13hd/index.m3u8
上海纪实4K,http://live.gdtv.cn/cctv12hd/index.m3u8
广东4K,http://live.hunantv.com/cctv17hd/index.m3u8
咪咕体育4K,http://live.hunantv.com/cctv13hd/index.m3u8
咪咕直播4K,http://cctv1.live.cctv.cn/live348/index.m3u8
纯享4K,http://live.hunantv.com/live347/index.m3u8
爱上4K,http://cctv13.live.cctv.cn/hdtv66/index.m3u8
欢笑剧场4K,http://live.hunantv.com/live195/index.m3u8
CCTV5体育,http://live.hunantv.com/hdtv29/index.m3u8
CCTV5+体育赛事,http://cctv1.live.cctv.cn/live718/index.m3u8
CCTV16奥林匹克,http://live.cctv.cn/live373/index.m3u8
五星体育,http://live.hunantv.com/hdtv60/index.m3u8
广东体育,rtp://225.1.2.77:8000
北京体育,http://cctv13.live.cctv.cn/hdtv91/index.m3u8
劲爆体育,rtp://239.252.219.136:8080
魅力足球,rtp://239.252.219.198:9001
CCTV6电影,http://live.cctv.cn/cctv12hd/index.m3u8
上海电影,rtp://225.1.2.81:8000
广东电影,rtp://239.252.219.227:9000
峨眉电影,http://live.hunantv.com/hdtv46/index.m3u8
CHC高清电影,http://cctv13.live.cctv.cn/live240/index.m3u8
CHC动作电影,http://cctv1.live.cctv.cn/hdtv34/index.m3u8
CHC家庭影院,rtp://225.1.2.229:8000
都市剧场,rtp://239.254.96.91:9000
CCTV少儿,http://live.hunantv.com/live106/index.m3u8
金鹰卡通,http://cctv1.live.cctv.cn/cctv9hd/index.m3u8
嘉佳卡通,rtp://239.252.219.222:9001
优漫卡通,rtp://239.254.96.153:8000
炫动卡通,rtp://239.254.96.186:1234
卡酷少儿,rtp://239.254.96.73:9000
CCTV新闻,http://live.hunantv.com/cctv7hd/index.m3u8
CCTV13,http://live.cctv.cn/hd1/index.m3u8
中国教育1台,http://cctv1.live.cctv.cn/cctv14hd/index.m3u8
中国教育2台,rtp://225.1.2.127:9901
凤凰中文,http://cctv1.live.cctv.cn/cctv17hd/index.m3u8
凤凰资讯,http://live.cctv.cn/cctv4hd/index.m3u8
CCTV11戏曲,http://live.hunantv.com/hd3/index.m3u8
梨园频道,http://live.hunantv.com/hdtv42/index.m3u8
文物宝库,rtp://239.252.219.44:1234
国学频道,rtp://239.252.219.180:9000
秦腔频道,rtp://239.252.219.241:9000
陕西秦腔,rtp://225.1.2.51:9000
甘肃秦腔,http://live.gdtv.cn/hdtv36/index.m3u8
宁夏秦腔,rtp://225.1.2.83:8000
青海秦腔,rtp://225.1.2.116:5140
西宁秦腔,rtp://239.254.96.118:5140
海东秦腔,rtp://225.1.2.161:9000
